week_start	sub-20221028-18-48-00/sub-20221028-18-48-00_ses-20221028T184800_ophys.nwb	sub-20221106-21-00-09/sub-20221106-21-00-09_ses-20221106T210009_ophys.nwb	sub-20221106-21-23-19/sub-20221106-21-23-19_ses-20221106T212319_ophys.nwb	sub-20221106-21-47-31/sub-20221106-21-47-31_ses-20221106T214731_ophys.nwb	sub-20221215-20-02-49/sub-20221215-20-02-49_ses-20221215T200249_ophys.nwb	sub-20230322-18-57-04/sub-20230322-18-57-04_ses-20230322T185704_ophys.nwb	sub-20230322-20-16-50/sub-20230322-20-16-50_ses-20230322T201650_ophys.nwb	sub-20230322-21-41-10/sub-20230322-21-41-10_ses-20230322T214110_ophys.nwb	sub-20230322-22-43-03/sub-20230322-22-43-03_ses-20230322T224303_ophys.nwb	sub-20230412-20-15-17/sub-20230412-20-15-17_ses-20230412T201517_ophys.nwb	sub-20230506-12-56-00/sub-20230506-12-56-00_ses-20230506T125600_ophys.nwb	sub-20230506-14-24-57/sub-20230506-14-24-57_ses-20230506T142457_ophys.nwb	sub-20230506-15-01-45/sub-20230506-15-01-45_ses-20230506T150145_ophys.nwb	sub-20230506-15-33-51/sub-20230506-15-33-51_ses-20230506T153351_ophys.nwb	sub-20230510-12-53-34/sub-20230510-12-53-34_ses-20230510T125334_ophys.nwb	sub-20230510-13-25-46/sub-20230510-13-25-46_ses-20230510T132546_ophys.nwb	sub-20230510-15-49-47/sub-20230510-15-49-47_ses-20230510T154947_ophys.nwb	sub-20230904-14-30-52/sub-20230904-14-30-52_ses-20230904T143052_ophys.nwb	sub-20230904-15-09-05/sub-20230904-15-09-05_ses-20230904T150905_ophys.nwb	sub-20230904-15-59-40/sub-20230904-15-59-40_ses-20230904T155940_ophys.nwb	sub-20230909-16-48-09/sub-20230909-16-48-09_ses-20230909T164809_ophys.nwb
2024-03-04	187864944	212177612	413737244	177339864	218578552	1775837656	1717826832	126300112	238892428	172616812	563736360	778321588	3906974114	6277428202	460983664	416271440	752549844	508127584	526315328	684120500	766711264
2024-03-11	220576912	697073134	347913966	229428852	242097544	140497896	125305642	31336736	203489748	32852820	473152	2161764	90401586	123437535	42444326	480920	6616308	2161764	62451190	46718656	469168
2024-03-18	26438708	13251332	7310804	23773404	25529324	134901600	58952914	7296260	12970584	13669384	253545152	480992	106681220	119364908	6943848	7774672	6834844	7358448	7946988	253661804	18483868
2024-03-25	13402616	14140368	5954844	17464800	210667140	22681836	45034607	13703608	14761200	12250068	13181704	12884440	63625366	64005982	8472928	6661036	1441704	3624492	10211092	169417316	15567844
2024-04-01	108966208	6354276	478264	0	0	12268900	24072047	470992	6419784	0	5437164	131016	27652925	23454197	6900736	3232256	6900352	1106168	101951380	9498660	0
2024-04-08	466924122	97253731	102368979	119519482	83675910	148445866	107901045	223882066	163544372	90327214	331773489	524315362	345057243	266594309	240820919	533185724	450544752	412328691	392669515	297747785	374547743
2024-04-15	31411132	48719232	130317924	179462132	8609464	4416682764	321490665	17896864	31576608	19940780	214146860	8027176	98389759	93847038	155773764	22573228	16415564	8705904	18198760	85800042	193750300
2024-04-22	1046413963	530059008	610036243	647923259	709921990	923979758	455734533	769509864	957100888	704239871	2084625249	2157897541	1939974605	2144440621	2041738226	2280888198	2141189054	2779107249	2018745731	2040164021	1289414119
2024-04-29	532719480	257013608	74710088	145035776	62668800	197583712	0	161750992	161760456	161760416	107417600	544398376	0	720423369	518453588	325805720	707652336	0	6419784	955479500	113771876
2024-05-06	225521308	266356960	6898048	230995876	67467980	23501036	76162483	248752884	7402404	6937092	575552	138548172	21102125	0	6937628	583320	6937244	589976	195398808	6419784	183725672
2024-05-13	551962812	516314232	260546004	268472728	654074348	12896824364	8609854433	554065776	778095964	458411436	928798180	1850653160	13937651245	27588821994	928230428	1073330532	921875768	209104420	845672064	1782175852	851990212
2024-05-20	0	0	460229272	253713592	253717112	0	16975204	276746192	0	276755616	921868352	1091875836	0	13874722556	0	207052624	0	845082776	0	1001665800	1113251096
2024-05-27	0	0	244010076	0	0	0	0	0	0	176366956	253168632	0	653582368	105316352	170195976	0	0	18014700	0	0	104968368
2024-06-03	190831140	177427360	0	0	0	0	161469409	0	0	0	0	0	0	15447018	0	145309136	0	0	0	121764188	109408896
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245548920	180046616	0	0	0	0	0
2024-06-17	253713248	253712472	253713464	0	253717112	4286413036	4293448011	276746192	0	276755616	921868352	0	13787450925	13794410997	921876152	921876120	921875768	845082776	845082432	845068584	0
2024-07-01	5106442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	253713248	256421224	0	744632	0	21985516	0	6223260	6220696	717984	6721016	702120	10677804	23200245	2947860	5699196	6354276	2878716	7725964	7712116	2620320
2024-07-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280744
2024-07-22	7729944	517447668	10939836	0	10153740	12512028	13691172	10022724	0	0	0	12577536	0	12315504	12512028	12249996	10022724	6616308	1690164864	0	0
2024-07-29	0	8103192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921876152	0	0	845082776	0	0	0
2024-09-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1690165552	0	0	0
2024-09-09	146800640	27134216	0	0	0	3124148876	0	0	0	0	0	0	0	11916695556	0	586331800	0	0	0	0	0
2024-09-16	744288	743512	4520052	13756680	12932640	26112520	0	5883692	6354276	9171120	0	7842492	28295773	4586117	7252880	571032	7580036	716952	716608	0	7118328
2024-09-23	294169376	6747324	289772712	303398760	156441676	51997452	14608284	189389276	344879892	346779504	21728452	1090815136	0	1040032029	1627475472	1614242760	544500352	1090128356	6419784	1080470296	1076138336
2024-09-30	146185960	145726628	253713464	253713592	253717112	4290802072	4293448011	276746192	283633996	0	545082508	1459854784	14346050650	0	921876152	1466638856	921875768	0	544703540	854960292	542916760
2024-10-07	571231288	260787336	5109624	392329584	143635012	4286413036	4300129827	276746192	438516112	443101592	921868352	921876192	14346050650	13799774001	7140372	1459957040	1464148848	543524740	1387493192	1389496244	878473448
2024-10-14	8778072	0	0	12053472	0	0	11557740	10022724	0	11660424	11267376	10088232	8319516	7336896	4585560	7074864	0	2161764	0	11922456	5961228
2024-11-11	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0	0	0	0
