region	bytes_sent
US/Massachusetts	94582936686
US/California	64449645342
AWS/us-east-1	46712576529
NL/North Holland	46541142093
US/New York	46285922925
US/New Jersey	46250221065
TW/Taiwan	13787450925
US/Maryland	4345173712
GitHub	4332585548
US/Texas	1124284468
US/Georgia	612485226
GCP/us-central1	507426496
AWS/us-east-2	507425720
US/Connecticut	283056563
JP/Gunma	253713248
GR/Attica	171070060
US/Pennsylvania	90186998
DE/Bavaria	61184472
US/Florida	41154828
SG/Singapore	23451864
VPN	18014700
US/Indiana	13560156
