week_start	Microscopy	Miscellaneous
2025-02-17	6076190067	7785
2025-03-03	0	370
2025-04-21	5964040371	37511
2025-06-16	48922205	2153
2025-06-30	0	9688
2025-07-21	229927527	280
2025-07-28	2032476172	1284
2025-08-04	1088116355	0
2025-08-11	1437098566	739
2025-08-18	350887784	2696
2025-08-25	379019595	401
2025-09-01	1161887447	90
2025-09-08	719045789	2696
2025-10-13	1642961	0
2025-12-08	228286516	280
2025-12-15	7896815099	114171
2025-12-22	459472351	393
2025-12-29	6386395128	37904
2026-01-05	409199006	0
2026-01-12	5102766679	14997
2026-01-19	2145008736	3497
2026-01-26	1959701657	90
2026-02-02	1344108463	0
2026-02-23	4923973	0
2026-03-16	598951958	2264
2026-03-23	0	401
2026-03-30	905226106	6760
2026-04-06	355640263	5038
2026-04-13	673013403	8002
2026-04-20	878327171	10425
2026-04-27	821050357	0
2026-05-04	5965682390	38002
2026-05-11	277460854	401
2026-05-18	1423717658	3003
2026-05-25	5175132	3155
2026-06-01	0	280
2026-06-08	1641017	0
2026-06-15	550852250	6866
2026-06-22	168859071	2264
2026-06-29	1157554134	739
2026-07-06	657691779	2264
2026-07-13	153714129	1602
2026-07-20	244980225	400
2026-07-27	0	401
2026-08-03	14149728	11517
2026-08-10	0	393
2026-08-17	596030539	1202
