date	bytes_sent	number_of_requests	number_of_downloads
2024-01-06	74251109010	<50	<50
2024-01-08	60268060	<50	<50
2024-01-09	254476472	100	<50
2024-01-11	14360556	840	<50
2024-01-22	208831212	520	<50
2024-01-26	63976716	160	<50
2024-02-06	1714342272	60	<50
2024-02-27	31841376	<50	<50
2024-02-28	52902025	<50	<50
2024-03-08	111574648	<50	<50
2024-03-09	34129668	<50	<50
2024-03-11	161316165812	<50	<50
2024-03-12	272623684861	260	<50
2024-03-13	41176354680	<50	<50
2024-03-18	67332672	160	<50
2024-03-19	157527636	320	<50
2024-03-20	150714804	320	<50
2024-03-21	166502232	320	<50
2024-03-24	39798452	<50	<50
2024-03-25	78272508	160	<50
2024-03-26	134656184	360	<50
2024-03-27	196864280	240	<50
2024-03-29	72786544954	<50	<50
2024-03-31	870094584	320	<50
2024-04-03	7168258419	480	<50
2024-04-04	22833419364	4680	<50
2024-04-08	408839648	740	<50
2024-04-09	32129741653	1740	<50
2024-04-10	196185638600	5420	<50
2024-04-11	116919385554	5080	60
2024-04-12	13450537008	440	<50
2024-04-14	45044388	<50	<50
2024-04-16	6896273128	300	<50
2024-04-19	494711096	2360	<50
2024-04-29	91084792	<50	<50
2024-04-30	21748656	<50	<50
2024-05-03	1981138806	<50	<50
2024-05-06	338152582807	<50	<50
2024-05-13	124989264	<50	<50
2024-05-30	106581516	<50	<50
2024-06-02	23648388	<50	<50
2024-06-06	68975371022	<50	<50
2024-06-11	68975371022	<50	<50
2024-06-13	35394318822	<50	<50
2024-06-15	596919535358	<50	<50
2024-06-16	7860960	<50	<50
2024-06-26	17315274220	<50	<50
2024-06-30	69954742316	<50	<50
2024-07-04	13560156	<50	<50
2024-07-13	400688832	1460	<50
2024-07-16	67419316802	<50	<50
2024-07-17	19979940	<50	<50
2024-07-22	90401040	<50	<50
2024-07-23	88697832	<50	<50
2024-07-29	68193425704	<50	<50
2024-08-01	11987964	<50	<50
2024-08-05	12643044	<50	<50
2024-08-21	19848924	<50	<50
2024-08-26	44182056	<50	<50
2024-08-30	226461156	<50	<50
2024-08-31	152311342	<50	<50
2024-09-04	152311342	<50	<50
2024-09-05	69216348288	<50	<50
2024-09-06	304622684	<50	<50
2024-09-07	67090122037	<50	<50
2024-09-08	148949561159	3840	<50
2024-09-09	442035312220	11300	<50
2024-09-10	387453485844	12000	<50
2024-09-11	178638552597	8400	<50
2024-09-13	609830361438	<50	<50
2024-09-14	67724518518	60	<50
2024-09-18	303331404	<50	<50
2024-09-19	66806339723	<50	<50
2024-09-20	395186160	1460	<50
2024-09-25	377516920	80	<50
2024-10-08	43628328	<50	<50
2024-10-09	98487196	<50	<50
2024-10-14	405151939012	<50	<50
2024-10-15	202943836299	1060	<50
2024-10-17	100583452	<50	<50
2024-10-18	230954542	<50	<50
2024-10-19	394538356	<50	<50
2024-10-25	157350216	<50	<50
2024-10-28	377516920	80	<50
2024-10-29	1661781918	<50	<50
2024-11-01	20898378228	<50	<50
2024-11-03	6550800	<50	<50
2024-11-13	9433152	<50	<50
2024-11-14	4061496	<50	<50
2024-11-19	32562068	80	<50
2024-11-22	250347396	720	<50
2024-11-23	8778072	<50	<50
2024-11-24	182890172	<50	<50
2024-11-26	827200632	<50	<50
2024-11-28	609568504598	<50	<50
2024-12-01	4127004	<50	<50
2024-12-02	287601177236	60	<50
2024-12-03	171709998	<50	<50
2024-12-04	322526278520	<50	<50
2024-12-12	1210110978	<50	<50
2024-12-28	44807472	<50	<50
2025-01-20	6207704	280	<50
2025-02-04	545630781522	<50	<50
2025-02-07	160420928	<50	<50
2025-02-09	229605540	<50	<50
2025-02-10	402653184	<50	<50
2025-02-11	42232560	60	<50
2025-02-12	58670568	160	<50
2025-02-13	58015488	160	<50
2025-02-28	460463503113	<50	<50
2025-03-01	203289196025	<50	<50
2025-03-02	15721920	<50	<50
2025-03-05	338597956998	<50	<50
2025-03-06	270983056044	<50	<50
2025-03-28	42121644	<50	<50
2025-03-29	1313143292	240	<50
2025-04-02	16777248	<50	<50
2025-04-05	161425240	280	<50
2025-04-11	434743488	<50	<50
2025-05-06	93054794638	80	<50
2025-05-07	17658395518	3380	<50
2025-05-08	33086640200	100	<50
2025-05-12	20964854838	<50	<50
2025-05-13	80056362394	<50	<50
2025-05-15	93384740	<50	<50
2025-05-19	70344901974	<50	<50
2025-06-16	2379834756	<50	<50
2025-07-14	13560156	<50	<50
2025-07-16	202172288	380	<50
2025-07-18	1325244	60	<50
2025-07-28	150738478	<50	<50
2025-07-29	152311342	<50	<50
2025-07-30	90483742298	1720	<50
2025-07-31	45096086561	860	<50
2025-08-03	1622160164	<50	<50
2025-08-04	66626834273	1280	<50
2025-08-09	171709998	<50	<50
2025-08-10	104411663278	2000	<50
2025-08-12	68975371022	1320	<50
2025-08-13	67210717736	1280	<50
2025-08-14	68403408726	1300	<50
2025-08-16	190584366	<50	<50
2025-08-19	178525742	<50	<50
2025-08-27	67300595504	1280	<50
2025-08-30	68403408726	1300	<50
2025-08-31	150738478	<50	<50
2025-09-02	67208806013	1280	<50
2025-09-03	560250162	80	<50
2025-09-04	221779502	<50	<50
2025-09-08	67839866857	1300	<50
2025-09-09	67733435811	1300	<50
2025-09-10	7372943100	<50	<50
2025-09-12	44807472	<50	<50
2025-09-18	609568504598	<50	<50
2025-09-23	69221785452	<50	<50
2025-10-07	67261504	160	<50
2025-10-08	246256024	460	<50
2025-10-09	376684704	540	<50
2025-10-10	284930656	540	<50
2025-10-11	784641312	1420	60
2025-10-12	342601865	720	<50
2025-10-13	9786705419	480	<50
2025-10-14	30099133	60	<50
2025-10-15	240590622	460	<50
2025-10-16	437057708	880	<50
2025-10-17	69555324	160	<50
2025-10-18	84207648	160	<50
2025-10-19	37353923	80	<50
2025-10-20	7164740	<50	<50
2025-10-22	23660232	<50	<50
2025-10-24	73191465	260	<50
2025-10-25	21405860	<50	<50
2025-10-26	264019903	520	<50
2025-10-27	149555912	280	<50
2025-10-29	67261504	160	<50
2025-11-04	135374612	320	<50
2025-11-05	1135315418	340	<50
2025-11-06	134785040	320	<50
2025-11-07	204535848	500	<50
2025-11-08	135178088	320	<50
2025-11-09	201391464	500	<50
2025-11-10	136291724	320	<50
2025-11-11	886533840	440	<50
