region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	1732371652589	1298	286	62
USA/MA	995534679388	20205	4	49
HKG/KKC	343018660	41	1	2
TWN/CHA	3053139716	60	5	18
CAN/QC	1964510304	249	5	1
AWS/ap-southeast-1	584067495	376	44	4
AWS/us-east-2	2704213848	67	13	4
MEX/MEX	308370939043	18298	168	40
USA	70666901398	10223	28	14
USA/CA	1923902831585	460	140	55
ITA	161425240	273	18	18
GBR/ENG	611170061949	46	28	11
MEX/CMX	539311574	653	63	62
NLD	751190196672	35377	4	10
CHN	2792140342518	74647	124	63
CHN/BJ	55960489830	8505	373	75
HKG	631371505864	173	25	28
CHN/SH	622114931700	74	33	29
AWS/us-east-1	393511489195	49324	71	12
CHN/HN	475013617057	29	20	6
USA/MS	609568504598	18	18	0
AUT/9	1085699642547	3579	86	11
USA/IL	836088260	45	13	2
DEU/BW	72032719710	15	15	0
CHE/NE	627827725114	24	18	6
USA/PA	769765493891	10907	59	58
CHE/VD	4497677826	80	20	11
USA/NV	144772680	18	18	0
SGP	247748123296	21	5	12
DEU	753825244	4	3	1
JPN/28	678823240574	23	21	2
USA/NJ	699683523410	78	27	2
USA/NY	1228611227258	1679	112	35
USA/TX	747622976826	77	27	3
TUN/21	13691172	1	1	0
ECU/G	11791440	1	1	0
JAM/01	13822188	1	1	0
IRQ	1113636	1	1	0
NPL	917112	1	1	0
PHL/03	17752668	1	1	0
BRA/PI	3930480	1	1	0
USA/MD	724857098	1300	32	25
IND/GJ	1113636	1	1	0
ZAF/GP	851604	1	1	0
DOM/25	4651068	1	1	0
DEU/BE	210152902325	12	12	0
IRQ/NA	1244652	1	1	0
USA/NH	7718304126	17904	972	874
GitHub	7398273796	13140	253	245
USA/VA	611028414104	2676	31	24
AWS/us-west-2	26712188	78	6	2
DEU/RP	135936053850	42	6	2
USA/FL	208391829943	354	22	1
SWE/AB	60268060	21	5	1
USA/VT	265443076	660	36	27
DEU/NW	110118948	4	3	1
USA/WA	1981792	6	2	2
USA/UT	402653184	1	1	0
USA/IN	374581248	482	37	20
HKG/NTW	5364177062	4	2	2
TWN/TPE	137950742044	2	2	0
AUS/NSW	13560156	1	1	0
ITA/45	377516920	78	0	9
JPN/19	607997586285	478	12	1
TUR/14	1310160	1	1	0
ESP/MD	1113636	1	1	0
FRA/IDF	52714720	211	14	12
SYC	14084220	2	2	0
USA/GA	78989990369	5849	27	18
JPN/13	1550827948	567	9	9
ISR/TA	827325307	1812	27	9
MAR/01	1310160	1	1	0
CHN/SN	4258020	1	1	0
MEX/QUE	1113636	1	1	0
KOR/27	3505028	11	3	3
USA/WV	113884356	28	5	1
GCP/asia-southeast1	164966228	291	1	1
GCP/us-east4	341491132	599	3	2
GCP/us-west4	20079204	74	1	1
USA/RI	67392592	14	0	1
AUS/VIC	19848924	1	1	0
JPN/47	5067186496	130	2	1
VNM/HN	27513360	4	4	0
IDN	8712564	1	1	0
ESP/CM	1113636	1	1	0
IND/DL	917112	1	1	0
TWN/KHH	11332884	1	1	0
NIC/MN	6616308	1	1	0
IRQ/AN	1441176	1	1	0
MYS/14	12118980	1	1	0
VNM/52	9957216	1	1	0
KEN/30	1048128	1	1	0
BGD	37208544	2	2	0
IDN/JK	5437164	3	3	0
VNM/SG	11922456	3	3	0
GCP/us-central1	31457280	6	0	1
BRA/RJ	1375668	1	1	0
BRA/SP	11856948	1	1	0
NOR/03	5961228	1	0	1
BRA/RN	34129668	2	0	1
JPN/14	13953204	1	0	1
IND/PB	917112	1	1	0
COL/DC	1375668	1	1	0
CHL/RM	7205880	1	1	0
NOR/50	313627264	62	0	2
DZA/25	917112	1	1	0
KWT/KU	1048128	1	1	0
MDA/CU	6354276	1	1	0
ALB/11	1179144	1	1	0
JOR/AM	1375668	1	1	0
DNK/84	4585560	1	1	0
CRI/L	10350264	1	1	0
UZB/TK	6747324	1	1	0
CIV/AB	1310160	1	1	0
