week_start	sub-fly-087/sub-fly-087_ses-20200228161226_behavior+image+ophys.nwb	sub-fly-087/sub-fly-087_ses-20200228161226_behavior+image+ophys/715320fc-831c-4218-a723-32ca9e147cb2_external_file_0.avi	sub-fly-089/sub-fly-089_ses-20200618081653_behavior+image+ophys.nwb	sub-fly-089/sub-fly-089_ses-20200618081653_behavior+image+ophys/5c033c49-ed7c-49c1-841a-10cc13faf1d0_external_file_0.avi	sub-fly-094/sub-fly-094_ses-20200620122048_behavior+image+ophys.nwb	sub-fly-094/sub-fly-094_ses-20200620122048_behavior+image+ophys/a8173d1b-03df-4580-b6d3-9499604280c3_external_file_0.avi	sub-fly-097/sub-fly-097_ses-20200627113329_behavior+image+ophys.nwb	sub-fly-097/sub-fly-097_ses-20200627113329_behavior+image+ophys/2226474c-b04b-4bf0-8e32-b89ba3ee9587_external_file_0.avi	sub-fly-098/sub-fly-098_ses-20200627130208_behavior+image+ophys.nwb	sub-fly-098/sub-fly-098_ses-20200627130208_behavior+image+ophys/0fd93d4a-c7d9-4157-99aa-973815d2a707_external_file_0.avi	sub-fly-099/sub-fly-099_ses-20200627142647_behavior+image+ophys.nwb	sub-fly-099/sub-fly-099_ses-20200627142647_behavior+image+ophys/03a93cbc-f437-4686-b728-e4c231b35634_external_file_0.avi	sub-fly-100/sub-fly-100_ses-20200702083849_behavior+image+ophys.nwb	sub-fly-100/sub-fly-100_ses-20200702083849_behavior+image+ophys/3b40b188-a623-47f6-a5a3-e1d53b46e62a_external_file_0.avi	sub-fly-101/sub-fly-101_ses-20200702100612_behavior+image+ophys.nwb	sub-fly-101/sub-fly-101_ses-20200702100612_behavior+image+ophys/28ff4aa7-25cb-4439-9825-f4087dd31fd6_external_file_0.avi	sub-fly-105/sub-fly-105_ses-20200704142706_behavior+image+ophys.nwb	sub-fly-105/sub-fly-105_ses-20200704142706_behavior+image+ophys/fcc255da-02e5-448f-b491-123282813f0b_external_file_0.avi
2024-09-16	6354276	0	66626834273	171709998	179267756	0	39545556	0	16132648	0	46794580	0	22542424	0	30012632	0	36870508	0
2024-09-23	41984782	0	42258273	0	37027453	0	41511636	0	44182056	0	0	0	27228055	0	0	0	0	0
2024-10-07	0	0	0	0	0	0	0	0	8843580	0	0	0	0	0	0	0	7729944	0
2024-10-14	56270886	0	1206829	0	1269360	0	1012966	100386928	67212055051	92656984	68194653609	100583452	11101836	0	1057057	98683720	1228170	0
2024-10-21	0	0	0	10677804	6681816	6747324	0	0	12249996	7598928	0	0	5568180	0	0	0	0	0
2024-10-28	0	230954542	42258273	0	22618352488	152311342	41511636	0	44182056	190584366	0	178525742	0	221779502	0	209983022	0	161745726
2024-11-11	9433152	0	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0	0	0
2024-11-18	13169012	0	23457240	0	14872892	0	185712728	0	18671796	0	8583452	0	19196532	0	15069528	0	23259820	0
2024-11-25	0	230954542	0	171709998	67208806013	0	66985223348	150738478	0	227530878	0	286249566	0	0	67839866857	0	0	159321930
2024-12-02	48571514748	230954542	66682195701	259533916	42079052528	83886080	42709329684	0	66911457680	190584366	65971456872	178525742	65548192675	221779502	67869472889	419966044	65685705580	155194926
2024-12-09	979156436	230954542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-23	0	0	0	0	0	10350264	0	9826200	5830212	10546788	0	0	0	0	0	0	0	0
2025-01-20	453186	0	279889	0	344370	0	452779	0	344984	0	409452	0	344996	0	388235	0	322943	0
2025-02-03	0	239190630	66659915813	202986982	56639852544	201664950	33147048	190713690	67240058152	186734726	33605604	178525742	31836888	221779502	65386568288	209983022	17228604	155194926
2025-02-10	407640068	0	8897024	0	2150013	0	4331804	0	10381048	0	4397312	0	16312962	0	8561208	0	13566684	0
2025-02-24	0	0	78586715417	343419996	0	152311342	79675211260	0	23337836208	190584366	0	178525742	0	0	0	0	0	155194926
