	asset_path	bytes_sent
0	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-07497983-2229-4cb2-8a45-50cee3fe9089_behavior+image.nwb	72738459
1	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-09e3a966-bf1a-45f9-bd77-358c8719a266_behavior+image.nwb	84151524
2	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-075dd0a2-48fd-4779-97cc-15ef98110310_behavior+image.nwb	36230037
3	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-08b56538-6153-4795-b581-0079ebe16178_behavior+image.nwb	30428408
4	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-00594aec-bb70-4601-862d-63a31ef0e1c0_behavior+image.nwb	215161648
5	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-0b8bf6e3-01e7-4fc6-942a-1dd5b4a4afcf_behavior+image.nwb	34699623
6	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-10244f0a-a050-4a97-9473-051096fb32c1_behavior+image.nwb	111082026
7	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-0f9f6a7f-9371-4b7d-9fb4-dddcf2032d23_behavior+image.nwb	59359475
8	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-0d672f9b-30aa-42c4-8c6d-a39067299f6e_behavior+image.nwb	87838110
9	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-180d3d38-89a4-4fc5-8b8a-ad7d06c465bb_behavior+image.nwb	19837324
10	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-1166a46e-3ed0-49ab-bb1a-3d56b4eac4da_behavior+image.nwb	69831449
11	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-1a9dcff2-cb1f-47bd-b920-d0587e7616bc_behavior+image.nwb	83434502
12	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-1f4ab19e-35b9-4448-9ab9-f788a77140aa_behavior.nwb	109345908
13	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-1c43d137-c3b9-4f12-bcc5-bdde9a801aaa_behavior+image.nwb	50873598
14	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-23957558-0ffb-4503-be97-f5cf76a110be_behavior.nwb	20966336
15	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-1c5ba2ea-febb-42c4-b2ce-8949ce472ba4_behavior+image.nwb	84641408
16	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-24378284-418c-4bfd-86f9-ec0f04dcf2a5_behavior+image.nwb	50522384
17	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-261c7622-76e7-4853-8a79-dd04134adbcf_behavior+image.nwb	45395980
18	sub-00778394-c956-408d-8a6c-ca3b05a611d5/sub-00778394-c956-408d-8a6c-ca3b05a611d5_ses-2ca672d7-40ae-4d4b-97ac-63c46ded088a_behavior.nwb	16109568
