region	bytes_sent
US/California	324382973057
AWS/us-east-2	311991463448
AWS/us-east-1	151251081488
NL/North Holland	122357000198
GitHub	67096403111
CA/Quebec	24404656789
VPN	22435434208
AWS/ap-southeast-1	21252750714
CN/Shanghai	15759289565
HK/Hong Kong	3639880403
US/Massachusetts	3623655904
GCP/us-east1	3053826696
US/Washington	2487242794
CA/British Columbia	2383965706
DE/Thuringia	1565063704
IT/Veneto	813066987
GCP/us-central1	600552208
ES/Catalonia	519973923
US/Connecticut	173877120
US/Oregon	165143352
PT/Lisbon	61039388
US/New York	35209646
IL/Haifa	23735912
IL/Tel Aviv	23175968
IT/Lombardy	21919792
US/Maryland	20565768
GCP/us-west4	19644296
IN/Telangana	19521480
US/Indiana	18479224
CH/Vaud	14612204
NG/Lagos	10959896
US/Utah	10959896
GCP/us-west1	10959896
DE/Berlin	10959896
JP/Tokyo	10959896
IT/Sicily	10959896
GB/England	9920032
CN/Beijing	8103604
US/Rhode Island	6134136
US/Pennsylvania	4089424
IN/Maharashtra	1182528
IN/Punjab	591264
VN/Ho Chi Minh	525536
VN/Kiên Giang Province	525536
US/Florida	32769
BR/Santa Catarina	32769
