region	bytes_sent
US/Massachusetts	294159328364
US/New Hampshire	423429149874
US/California	337727200754
US/Virginia	264138917433
CN/Shanghai	351056958063
AWS/us-east-1	231308662564
GitHub	6975816925
MX/Mexico City	5111754084
DE/Bavaria	229678856
VPN	232583914854
FR/Île-de-France	236427145716
US/Vermont	6264392984
GCP/us-west1	818473582
GCP/us-east1	9826200
PT/Lisbon	1607752595
US/New York	385549851
AR/Buenos Aires F.D.	7205949
IR/Māzandarān	4823729
ES/Catalonia	16170730
GCP/us-central1	1468726904
GB/England	22042875
bogon	1049805568
HU/Budapest	1793992073
