region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	840616477892	3016788	18954	17172
GH-actions	142557612995	464471	5216	3831
AWS/us-east-1	27315156698	3896	736	354
USA/VT	34891652250	126729	792	677
VPN	100989688480	5872	2463	2339
USA	3139316806	633	14	54
AWS/ap-southeast-1	2849663508	426	426	0
CHN	16802211662	1762	0	179
AWS/us-east-2	524600463358	107694	405	146
USA/MA	14560052183	633	8	245
CAN/ON	11726121969	737	251	23
DEU	10299057874	177	177	0
HKG/KKC	1278133722	164	0	25
USA/VA	11363842865	235	235	0
ITA/45	4936731864	986	0	93
GCP/us-central1	10546593803	182	182	0
USA/NV	1418575740	177	177	0
USA/IL	2354265291	213	95	2
NLD/FL	10311700918	178	178	0
CAN	10299057874	177	177	0
SGP	106369575	35	15	2
VNM/HN	152961180	25	25	0
IDN/JI	4323528	4	4	0
BGD	62494632	14	14	0
BRA/PB	70056998	1	1	0
TUN/51	917112	1	1	0
KAZ/39	1375668	1	1	0
DEU/BW	20598115748	354	354	0
MEX/MEX	1965240	2	2	0
CHE/VD	16477251	39764	2	130
AWS/us-west-2	563657683	630	14	2
CAN/QC	3343437135	64	64	0
GCP/us-west1	48607254	1	1	0
BRA/CE	2030748	1	1	0
IND/DL	2423796	2	2	0
UKR/05	22207212	1	1	0
ARG/U	3013368	1	1	0
IND/TS	917112	1	1	0
USA/MD	128092157	148	13	11
IDN/YO	28430472	6	6	0
MEX/CMX	558952496	1898	112	86
HKG	31443840	12	12	0
VNM/DN	9171120	3	3	0
NGA/FC	1113636	1	1	0
USA/CA	1879099591	164	46	6
LTU/VL	21421116	1	1	0
NZL/AUK	37208544	3	3	0
ARE/AZ	12249996	1	1	0
VEN/A	13822188	3	3	0
BRA/RS	117604563	10	10	0
BRA/SP	123220548	24	24	0
VEN/N	1637700	1	1	0
VNM/SG	104354244	26	26	0
VNM/20	22403736	4	4	0
ESP/AN	5502672	1	1	0
GBR/ENG	289540627	13	13	0
ZAF/GP	17032080	8	8	0
ISR/JM	1375668	1	1	0
PAK/SD	2882352	3	3	0
IND/MH	11987964	3	3	0
RUS/KHA	3471924	1	1	0
VNM/33	982620	1	1	0
VNM/37	8843580	3	3	0
CHL/RM	55616292	10	10	0
IRQ/NI	6812832	2	2	0
MEX/MIC	9105612	1	1	0
ARG/B	50506668	14	14	0
MEX/JAL	10677804	2	2	0
PAK/IS	2882352	2	2	0
IND	1048128	1	1	0
MYS/14	2227272	2	2	0
IND/CH	18866304	2	2	0
BLR/HM	16114968	2	2	0
MEX/QUE	1113636	1	1	0
COL/RIS	5895720	1	1	0
VNM/HP	49851588	6	6	0
BRA/TO	3144384	1	1	0
BRA/GO	26530740	5	5	0
PAK/PB	42449184	12	12	0
ETH/AA	6157752	4	4	0
TZA/02	2161764	2	2	0
USA/TN	2423796	1	1	0
ROU	12905076	1	1	0
NLD	4403676512	188	56	56
VNM/CT	13298124	1	1	0
IND/KA	2489304	2	2	0
BGD/C	42711216	6	6	0
BEL/BRU	7860960	2	2	0
MAR/09	3471924	2	2	0
COL/ANT	8647056	3	3	0
TJK	1375668	1	1	0
GEO/AJ	3930480	1	1	0
