date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-08-19	111317417	17	3	4
2026-08-20	554256938	70	3	7
2026-08-21	3679651	4	1	1
2026-08-22	15905048	28	7	7
2026-08-24	1321363	4	1	1
2026-09-01	2582567	8	2	2
2026-09-04	28960743	23	8	7
2026-09-08	191788994	5	1	1
