week_start	sub-GRISZ-02/sub-GRISZ-02_ses-20241118T164229_image+ophys.nwb	sub-GRISZ-03/sub-GRISZ-03_ses-20241119T151031_image+ophys.nwb	sub-GRISZ-04/sub-GRISZ-04_ses-20241125T131526_image+ophys.nwb	sub-GRISZ-05A/sub-GRISZ-05A_ses-20241211T171127_image+ophys.nwb	sub-GRISZ-05B/sub-GRISZ-05B_ses-20241211T174643_image+ophys.nwb	sub-MK0002/sub-MK0002_ses-20231004T145433_ophys.nwb	sub-MK0004/sub-MK0004_ses-20231011T161306_ophys.nwb	sub-SY0128/sub-SY0128_ses-20250128T160710_ophys.nwb	sub-SY0428/sub-SY0428_ses-20250428T175321_ophys.nwb	sub-SY0429/sub-SY0429_ses-20250429T181217_ophys.nwb	sub-SY0505/sub-SY0505_ses-20250505T185000_ophys.nwb	sub-SY0507/sub-SY0507_ses-20250507T180214_ophys.nwb	sub-SY0528/sub-SY0528_ses-20250528T173440_ophys.nwb	sub-SY0530/sub-SY0530_ses-20250530T170421_ophys.nwb	sub-SY0604/sub-SY0604_ses-20250604T163853_ophys.nwb	sub-SY0612/sub-SY0612_ses-20250612T171732_ophys.nwb
2026-05-11	1446961316	901703808	1729359936	1159955452	913030980	558967574	394584492	728275962	520513168	444371352	712148868	661495293	605431168	758952237	814779317	770657857
2026-05-18	9302136	11725932	12266477	0	0	0	145845748	0	12134981	0	15513600	0	0	27774461	0	10927557
2026-05-25	12524502	15388348	7896164	7236596	13472425	10626646	5635088	29441646	10886104	11770812	8342656	15040427	27445568	11910104	28795908	9059456
2026-06-01	0	0	0	5734515	0	0	3579512	0	0	10516146	0	12054481	0	0	0	0
2026-06-08	0	0	17003322	0	0	23512494	3514004	12738280	9006712	31234700	0	11792449	0	20890702	25567830	14473050
2026-06-15	0	13047590	16479258	0	0	0	0	0	0	0	12750468	0	0	0	244836973	0
2026-06-22	12475546	2358288	0	0	534938991	0	3340908	0	258336221	198911418	0	0	232022965	23052466	0	0
2026-06-29	457630086	13113098	0	11534538	0	0	120218128	27767856	0	0	12946992	23781422	24814738	0	25698846	0
2026-07-06	1259919698	1149708264	2207873300	1445804004	409333896	1029738409	807993056	1907095175	1504095985	1481022820	1454123837	1428116776	1578027383	1541480817	1640885961	1447573198
2026-07-13	0	0	16741290	0	11922766	0	0	0	0	0	0	0	0	0	0	14538558
