asset_path	bytes_sent	number_of_requests	number_of_downloads
sub-240612-Fish53-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-1-0/sub-240612-Fish53-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-1-0_ses-20250204T163029_ophys.nwb	1120198969	143	17
sub-240910-Fish79-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-2-0/sub-240910-Fish79-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-2-0_ses-20250204T173956_ophys.nwb	905753854	141	14
sub-240611-Fish49-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0/sub-240611-Fish49-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0_ses-20250204T163625_ophys.nwb	868588972	137	14
sub-240703-Fish60-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-1-0/sub-240703-Fish60-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-1-0_ses-20250204T174827_ophys.nwb	662935266	132	11
sub-250129-Fish97-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-Z-4-0/sub-250129-Fish97-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-Z-4-0_ses-20250204T182855_ophys.nwb	691951158	128	17
sub-240910-Fish80-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-4-0/sub-240910-Fish80-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-4-0_ses-20250204T182047_ophys.nwb	823662462	130	20
sub-240910-Fish79-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-3-0/sub-240910-Fish79-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-3-0_ses-20250204T175453_ophys.nwb	899831512	130	18
sub-240611-Fish50-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-4-0/sub-240611-Fish50-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-4-0_ses-20250204T165411_ophys.nwb	672509629	131	17
sub-250129-Fish98-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-2-Z-4-0/sub-250129-Fish98-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-2-Z-4-0_ses-20250204T181559_ophys.nwb	968410077	140	18
sub-240910-Fish80-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0/sub-240910-Fish80-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0_ses-20250204T174854_ophys.nwb	642969484	126	13
sub-240612-Fish53-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-5-0/sub-240612-Fish53-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-5-0_ses-20250204T164809_ophys.nwb	1000855842	150	21
sub-240910-Fish80-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-2-0/sub-240910-Fish80-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-2-0_ses-20250204T181023_ophys.nwb	896924352	145	21
sub-240612-Fish53-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-3-0/sub-240612-Fish53-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-3-0_ses-20250204T164051_ophys.nwb	1076505499	139	17
sub-250129-Fish98-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-2-Z-3-0/sub-250129-Fish98-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-2-Z-3-0_ses-20250204T180419_ophys.nwb	932236650	140	16
sub-240911-Fish83-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-2-0/sub-240911-Fish83-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-2-0_ses-20250204T180049_ophys.nwb	711250194	132	18
sub-240522-Fish47-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-0-0/sub-240522-Fish47-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-0-0_ses-20250204T154613_ophys.nwb	1129563674	150	24
sub-240611-Fish49-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-2-0/sub-240611-Fish49-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-2-0_ses-20250204T165210_ophys.nwb	647861297	133	13
sub-250129-Fish97-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-Z-3-0/sub-250129-Fish97-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-Z-3-0_ses-20250204T182516_ophys.nwb	788218944	132	18
sub-240911-Fish81-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-3-0/sub-240911-Fish81-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-3-0_ses-20250204T181550_ophys.nwb	796324100	126	21
sub-240611-Fish50-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-2-0/sub-240611-Fish50-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-2-0_ses-20250204T164003_ophys.nwb	784348943	135	18
sub-240910-Fish79-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0/sub-240910-Fish79-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0_ses-20250204T180050_ophys.nwb	937579298	133	19
sub-240910-Fish80-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-1-0/sub-240910-Fish80-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-1-0_ses-20250204T180617_ophys.nwb	882603808	136	22
sub-240522-Fish48-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-2-0/sub-240522-Fish48-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-2-0_ses-20250204T153823_ophys.nwb	659472204	130	13
sub-240514-Fish42-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-4-0/sub-240514-Fish42-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-4-0_ses-20250204T155820_ophys.nwb	1107452407	231	28
sub-240611-Fish50-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0/sub-240611-Fish50-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0_ses-20250204T162948_ophys.nwb	643343886	131	13
sub-250129-Fish97-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-Z-0-0/sub-250129-Fish97-GCaMP-TG-6dpf-FlowExperiment-warner-temp-stim-Z-0-0_ses-20250204T181124_ophys.nwb	726711696	145	18
sub-240612-Fish53-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-0-0/sub-240612-Fish53-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-0-0_ses-20250204T163355_ophys.nwb	869676504	133	16
sub-240514-Fish42-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0/sub-240514-Fish42-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-0-0_ses-20250204T155020_ophys.nwb	1152862170	412	20
sub-240522-Fish48-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-4-0/sub-240522-Fish48-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-4-0_ses-20250204T160852_ophys.nwb	595568328	111	20
sub-240626-Fish59-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-3-0/sub-240626-Fish59-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-3-0_ses-20250204T163926_ophys.nwb	779124622	133	18
sub-240515-Fish45-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-restart-Z-5-0/sub-240515-Fish45-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-restart-Z-5-0_ses-20250204T160545_ophys.nwb	1074295304	136	23
sub-240910-Fish79-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-1-0/sub-240910-Fish79-GCaMP-vglut-TG-5dpf-FlowExperiment-warner-temp-stim-Z-1-0_ses-20250204T174400_ophys.nwb	677834992	128	17
sub-240911-Fish83-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-5-0/sub-240911-Fish83-GCaMP-vglut-TG-6dpf-FlowExperiment-warner-temp-stim-Z-5-0_ses-20250204T182855_ophys.nwb	878797970	120	18
