date	bytes_sent	number_of_requests	number_of_downloads
2024-04-01	7178904574	860	<50
2024-04-02	333504771362	40980	60
2024-04-03	112103447325	19240	900
2024-04-04	97323142176	31440	740
2024-04-05	899712055	2040	260
2024-04-06	281033920	760	100
2024-04-07	286739099	600	60
2024-04-08	2359363306	4800	440
2024-04-09	35095587073	15880	1540
2024-04-10	50512276291	2820	80
2024-04-11	38433112893	6800	360
2024-04-12	21542322754	1740	60
2024-04-14	178536147	360	<50
2024-04-15	39812599	60	<50
2024-04-16	5198132874	8320	960
2024-04-17	9202327210	<50	<50
2024-04-18	9142583914	<50	<50
2024-04-19	1125683314	4500	100
2024-04-20	554919549	1980	120
2024-04-21	577673224	1880	100
2024-04-22	246160822	760	<50
2024-04-23	325572799	1080	<50
2024-04-24	436109762	1300	<50
2024-04-25	470326380	1540	60
2024-04-26	450821473	1500	60
2024-04-27	188569266	560	<50
2024-04-28	42857946	<50	<50
2024-05-01	73138356	<50	<50
2024-05-02	643225483	1600	<50
2024-05-03	406363425	980	<50
2024-05-04	471321772	1080	<50
2024-05-06	203520666	480	<50
2024-05-07	232889155	460	<50
2024-05-08	328462334	780	<50
2024-05-09	313906100	680	<50
2024-05-10	240090118	500	<50
2024-05-11	258155261	540	<50
2024-05-13	262916252	560	<50
2024-05-15	153066246	280	<50
2024-05-17	215831594	500	<50
2024-05-18	202060642	500	<50
2024-05-20	128670467	220	<50
2024-05-21	49141056	80	<50
2024-05-23	46811960	<50	<50
2024-05-24	488397173117	1560	1420
2024-05-25	84136697	140	<50
2024-05-26	429824929279	1640	980
2024-05-27	58393284314	480	460
2024-05-30	74130941	140	<50
2024-06-01	91837495	120	<50
2024-06-02	175490622	320	<50
2024-06-03	30857738	60	<50
2024-06-04	18293869497	<50	<50
2024-06-11	44339752	<50	<50
2024-06-12	86332260	<50	<50
2024-07-09	942336097	3360	80
2024-07-10	765017138	1800	160
2024-07-11	670837752	1440	140
2024-07-12	110251950	<50	<50
2024-07-13	554527015	1240	100
2024-07-14	521191601	1120	120
2024-07-15	231721243	520	<50
2024-07-16	525353341	1200	100
2024-07-17	349881473	900	60
2024-07-18	23402664	<50	<50
2024-07-19	448307961	940	80
2024-07-21	361130519	720	<50
2024-07-22	1365528326	760	200
2024-07-23	9127276162	1740	1240
2024-07-24	127859870	260	<50
2024-07-25	137403373	100	<50
2024-07-26	12512028	<50	<50
2024-08-26	20702262	<50	<50
2024-08-27	38832176611	<50	<50
2024-08-29	3893736672	<50	<50
2024-08-30	1353336521	<50	<50
2024-08-31	4016639748	<50	<50
2024-09-02	10190775747	<50	<50
2024-09-03	8308097047	<50	<50
2024-09-04	64542592982	140	140
2024-09-05	9860357649	60	60
2024-09-06	26182769931	100	80
2024-09-07	23159285073	940	40
2024-09-08	40134973986	1880	100
2024-09-09	72783776866	3440	80
2024-09-10	43425886858	2080	100
2024-09-11	39127684234	1860	100
2024-09-13	9240162	<50	<50
2024-09-14	162512577	<50	<50
2024-09-18	531435	200	<50
2024-09-20	1198179917	3700	120
2024-09-21	1510818167	3420	320
2024-09-22	289821985	500	<50
2024-09-23	288881080	520	40
2024-09-24	364393888	1060	100
2024-09-25	7133295168	1820	<50
2024-09-26	432488556	1020	80
2024-09-27	256450930	540	<50
2024-09-28	58023585	100	<50
2024-09-29	1219237997	1060	280
2024-09-30	480531531	140	120
2024-10-01	266686711	520	<50
2024-10-02	304588696	660	60
2024-10-03	265450543	240	<50
2024-10-04	209886667	400	<50
2024-10-05	875650453	560	<50
2024-10-06	651049047	400	<50
2024-10-07	1083414845	140	<50
2024-10-08	276524486	<50	<50
2024-10-09	573936337	<50	<50
2024-10-10	5024831869	80	80
2024-10-11	453800139	<50	<50
2024-10-12	4013328821	80	80
2024-10-13	857297064	<50	<50
2024-10-15	195140168	<50	<50
