week_start	sub-776270/sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06_image+ophys.nwb	sub-794237/sub-794237_ses-20250403T103830_image+ophys.nwb	sub-794237/sub-794237_ses-20250424T142019_image+ophys.nwb	sub-794237/sub-794237_ses-20250508T145040_image+ophys.nwb	sub-796630/sub-796630_ses-SLAP2-796630-2025-08-25-14-59-15_image+ophys.nwb	sub-796630/sub-796630_ses-SLAP2-796630-2025-08-28-14-25-34_image+ophys.nwb	sub-796630/sub-796630_ses-SLAP2-796630-2025-09-26-10-48-22_image+ophys.nwb	sub-796630/sub-796630_ses-SLAP2-796630-2025-10-01-14-23-25_image+ophys.nwb	sub-801381/sub-801381_ses-SLAP2-801381-2025-06-05-14-57-42_image+ophys.nwb	sub-801381/sub-801381_ses-SLAP2-801381-2025-09-26-14-17-56_image+ophys.nwb	sub-801381/sub-801381_ses-SLAP2-801381-2025-10-02-15-23-18_image+ophys.nwb	sub-803496/sub-803496_ses-SLAP2-803496-2025-07-02-15-33-26_image+ophys.nwb
2025-06-02	0	1178459448	3802802836	7179015616	0	0	0	0	0	0	0	0
2025-06-09	0	2567652064	7158147664	13825880648	0	0	0	0	0	0	0	0
2025-06-16	0	0	0	8290507968	0	0	0	0	0	0	0	0
2025-06-23	0	45235120	42915656	13855886912	0	0	0	0	0	0	0	0
2025-06-30	0	0	2385128084	8290507968	0	0	0	0	0	0	0	0
2025-07-07	0	0	4770256168	11064033348	0	0	0	0	0	0	0	0
2025-07-14	0	71799136	71484664	19186816	0	0	0	0	0	0	0	0
2025-07-21	0	0	0	5527005312	0	0	0	0	0	0	0	0
2025-07-28	0	5143811084	4272564884	8290507968	0	0	0	0	0	0	0	0
2025-08-04	0	3958434736	2385128084	1767355456	0	0	0	0	0	0	0	0
2025-08-11	0	149481092	2385128084	5527005312	0	0	0	0	0	0	0	0
2025-08-18	720001416	0	0	5527005312	0	0	0	0	0	0	0	0
2025-08-25	535993100	1743279248	0	13817513280	1658779932	0	0	0	721883480	0	0	1082555760
2025-09-01	12774060	15263364	0	2763502656	0	0	0	0	786432000	0	0	0
2025-09-08	613658860	2529711248	0	2763502656	1528694576	0	0	0	0	0	0	678863608
2025-09-15	1054581288	2529711248	0	13817513280	3099134399	0	0	0	1005358404	0	0	691244620
2025-09-22	535194324	0	4770256168	13817513280	1536624508	0	0	0	2015340492	0	0	1368720636
2025-09-29	527290644	5059422496	2385128084	2763502656	1542254732	0	0	0	1005358404	0	0	678863608
2025-10-06	2268598984	2620471288	4774611536	5541134516	15325218772	2727463416	0	0	1020421932	0	0	2549262660
2025-10-13	535050216	24303468	5093560916	0	15291072764	2965615696	2533442332	1921035672	6637040	916038188	2125539396	3023608
2025-10-20	479562064	0	0	8290507968	7536688	4585560	0	4258020	6702548	6599396	2305898808	3023608
2025-10-27	3567060	0	0	0	2151347400	2692564	4585560	6568828	0	4192512	6845824	6047216
2025-11-03	53140668	56271372	0	0	65285184	64703548	50485588	63341416	72004088	52222508	58173008	49223160
2025-11-10	50661600	0	0	2763502656	49674672	55866704	44843468	49537256	45455928	40285280	46610132	70406792
2025-11-17	821900260	48868968	2385128084	5550267092	8002322856	30691424	15119700	26537344	17421816	27986688	19488868	43110436
2025-11-24	26754036	0	0	2763502656	9316172296	19024264	15250716	21784712	38970636	35469372	33279492	32019104
2025-12-01	41722884	0	0	0	1554714324	30560408	34562928	44653608	30847644	32703264	32755428	33515548
2025-12-08	19934364	0	0	0	1547763940	18421220	24155588	28222524	8623012	11053940	18736240	24475444
2025-12-15	856496596	7533420	2392268456	13067992652	6163467088	1502628312	3794797264	50016348	1060292260	62310740	1421411668	725055304
2025-12-22	0	0	0	0	0	0	1247805440	0	0	0	0	0
2025-12-29	0	0	0	0	962463536	0	0	0	0	0	0	0
2026-01-05	32389160	0	3994309928	2763502656	4658424168	1497256656	2096878432	26750420	32595628	1007234564	4640642540	50337216
2026-01-12	2978993456	618588060	4759770408	20971520	1576580924	134479760	2206543192	0	1005358404	0	4596136248	0
2026-01-19	1616698992	4716576	0	0	10362997044	13835660	19946952	22775608	17508056	15671184	24906168	22328268
2026-01-26	161908260	1338854660	0	0	4040585732	24847740	27185352	1572802100	1006148364	595823844	21106704	406665492
2026-02-02	303087784	7868992	9649452	11605344	3951083668	1423709048	646834820	26511740	224270580	22500928	712200516	117678248
2026-02-09	161748704	0	380220776	0	3287986360	1666738148	645172656	1059615012	220504952	19616504	3436930464	345168480
2026-02-16	39269948	25419112	7165200	20745696	1563237112	9643148	12970584	11919308	445669696	14361024	14706784	23423388
2026-02-23	27848360	307200	10497200	8823240	314403836	21644584	21879516	6736736	10871016	15671184	14682544	108498852
2026-03-02	527290644	2830089476	2385128084	11054010624	1528694576	1741176152	1872522164	4520052	1075583532	960973284	2303311004	12315504
2026-03-09	0	0	0	19344518592	0	0	0	0	0	0	2587804	0
2026-03-16	5123728	0	8450532	20207275476	35570844	11863684	34456740	9167972	28951224	15605676	35252056	19118376
2026-03-23	8399128	307200	0	8290815168	0	2692564	6648984	0	1052479388	4813768	0	7486428
2026-03-30	528469788	56541436	4192512	2765686912	0	3740692	2288564	0	0	2406884	0	0
2026-04-06	0	12648556240	0	2184256	3058502788	1470626728	3747791448	5239440632	3016075212	960973284	6909933012	3023608
2026-04-13	1637700	0	0	2763502656	0	0	0	0	0	0	0	0
