week_start	sub-2174/sub-2174_ses-2174-56.nwb	sub-2174/sub-2174_ses-2174-57.nwb	sub-2181/sub-2181_ses-2181-41.nwb	sub-2181/sub-2181_ses-2181-42.nwb	sub-2182/sub-2182_ses-2182-31.nwb	sub-2182/sub-2182_ses-2182-32.nwb	sub-2183/sub-2183_ses-2183-33.nwb	sub-2183/sub-2183_ses-2183-34.nwb	sub-2185/sub-2185_ses-2185-40.nwb	sub-2185/sub-2185_ses-2185-41.nwb	sub-2191/sub-2191_ses-2191-21.nwb	sub-2191/sub-2191_ses-2191-25.nwb	sub-2195/sub-2195_ses-2195-17.nwb	sub-2195/sub-2195_ses-2195-20.nwb	sub-2196/sub-2196_ses-2196-16.nwb	sub-2196/sub-2196_ses-2196-18.nwb	sub-2197/sub-2197_ses-2197-17.nwb	sub-2197/sub-2197_ses-2197-19.nwb	sub-2198/sub-2198_ses-2198-17.nwb	sub-2198/sub-2198_ses-2198-19.nwb	sub-2200/sub-2200_ses-2200-14.nwb	sub-2200/sub-2200_ses-2200-19.nwb	sub-2201/sub-2201_ses-2201-16.nwb	sub-2201/sub-2201_ses-2201-21.nwb	sub-2202/sub-2202_ses-2202-14.nwb	sub-2202/sub-2202_ses-2202-19.nwb	sub-2203/sub-2203_ses-2203-13.nwb	sub-2203/sub-2203_ses-2203-18.nwb	sub-2204/sub-2204_ses-2204-17.nwb	sub-2204/sub-2204_ses-2204-22.nwb	sub-2205/sub-2205_ses-2205-12.nwb	sub-2205/sub-2205_ses-2205-16.nwb	sub-2208/sub-2208_ses-2208-14.nwb	sub-2208/sub-2208_ses-2208-18.nwb	sub-2209/sub-2209_ses-2209-14.nwb	sub-2209/sub-2209_ses-2209-18.nwb	sub-2210/sub-2210_ses-2210-13.nwb	sub-2210/sub-2210_ses-2210-17.nwb	sub-2211/sub-2211_ses-2211-13.nwb	sub-2211/sub-2211_ses-2211-17.nwb	sub-2212/sub-2212_ses-2212-13.nwb	sub-2212/sub-2212_ses-2212-16.nwb	sub-2213/sub-2213_ses-2213-14.nwb	sub-2213/sub-2213_ses-2213-18.nwb
2026-08-03	478304276	57321404	46467300	55457404	54741456	42623016	41958276	45346284	46531336	38368836	45353168	41040744	41085036	44616976	40624044	41123064	40872188	40912764	41118696	46612280	40823548	40014620	46664348	40641252	40755124	45573284	43876440	39507860	40973752	40614124	45564212	45383108	40530284	40800296	46162100	40699852	45937416	41014436	46263472	46163444	40568344	47101124	44847716	44834344
2026-08-10	147238328	25694180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53544	119136	103752	110224	113816	126776	0	115808	112336	121088	103272	0	0	0	0	0	0	0	0	0	0	0	0
