date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-08-06	1623634488	219	0	44
2026-08-07	742158552	1319	65	69
2026-08-08	8	1	0	1
2026-08-10	627248	6	0	6
2026-08-11	107818176	3	3	0
2026-08-12	39420152	112	8	8
2026-08-13	23857196	102	7	11
2026-08-14	2289488	14	1	1
2026-08-16	37196904	12	1	11
2026-08-17	36365908	153	8	8
2026-08-18	65244540	113	8	9
2026-08-19	2386912	8	2	2
2026-08-20	108931812	4	0	1
2026-08-21	3748268	4	1	1
2026-08-22	39699748	140	8	8
