region	bytes_sent
US/New Hampshire	117276451304
GitHub	19916556118
AWS/us-east-1	5294660578
CN/Shanghai	3166997970
US/Vermont	4877649459
CA/Quebec	5066691380
CH/Vaud	1880641180
HK/Hong Kong	305084272
US/California	4827757967
VPN	4828526022
NL/Flevoland	1356724185
NO/Oslo	229936368
US/Washington	1820987762
AWS/us-east-2	61193348
AWS/ap-southeast-1	156171072
DE/North Rhine-Westphalia	1591159936
IT/Lombardy	774099695
US/Nevada	180802080
US/Massachusetts	1986344795
US/Utah	1693195188
IT/Emilia-Romagna	1105207998
AU/South Australia	1015219114
US/Virginia	37781491
unknown	191414379
GCP/us-central1	248221022
CN/Shaanxi	133985703
GB/England	239367309
US/New York	33605028
CH/Geneva	26334216
US/District of Columbia	6354276
PL/West Pomerania	18604272
US/Indiana	1689760509
CA/Ontario	19717908
