week_start	sub-CHO-20250318-c1/sub-CHO-20250318-c1_obj-110536_image.nwb	sub-CHO-20250318-c1/sub-CHO-20250318-c1_obj-1e6x9g5_image.nwb	sub-CHO-20250318-c1/sub-CHO-20250318-c1_obj-3qgotg_image.nwb	sub-CHO-20250318-c1/sub-CHO-20250318-c1_obj-iedh17_image.nwb	sub-CHO-20250318-c1/sub-CHO-20250318-c1_obj-v66otz_image.nwb	sub-CHO-20250318-c1/sub-CHO-20250318-c1_obj-wocrdm_image.nwb	sub-CHO-20250318-c1/sub-CHO-20250318-c1_obj-z3blj9_image.nwb	sub-CHO-20250318-c10/sub-CHO-20250318-c10_obj-1mp0sxa_image.nwb	sub-CHO-20250318-c10/sub-CHO-20250318-c10_obj-1stqv9v_image.nwb	sub-CHO-20250318-c10/sub-CHO-20250318-c10_obj-1u1b1wh_image.nwb	sub-CHO-20250318-c10/sub-CHO-20250318-c10_obj-1w4t5dd_image.nwb	sub-CHO-20250318-c10/sub-CHO-20250318-c10_obj-3683hd_image.nwb	sub-CHO-20250318-c10/sub-CHO-20250318-c10_obj-3iumfc_image.nwb	sub-CHO-20250318-c10/sub-CHO-20250318-c10_obj-av06wq_image.nwb	sub-CHO-20250318-c2/sub-CHO-20250318-c2_obj-13wu787_image.nwb	sub-CHO-20250318-c2/sub-CHO-20250318-c2_obj-1edqsec_image.nwb	sub-CHO-20250318-c2/sub-CHO-20250318-c2_obj-1f4hj4u_image.nwb	sub-CHO-20250318-c2/sub-CHO-20250318-c2_obj-1k8fzab_image.nwb	sub-CHO-20250318-c2/sub-CHO-20250318-c2_obj-as2gmq_image.nwb	sub-CHO-20250318-c2/sub-CHO-20250318-c2_obj-w0d8hf_image.nwb	sub-CHO-20250318-c2/sub-CHO-20250318-c2_obj-xzoo8v_image.nwb	sub-CHO-20250318-c3/sub-CHO-20250318-c3_obj-14ydkh7_image.nwb	sub-CHO-20250318-c3/sub-CHO-20250318-c3_obj-1a84abu_image.nwb	sub-CHO-20250318-c3/sub-CHO-20250318-c3_obj-1egj7s0_image.nwb	sub-CHO-20250318-c3/sub-CHO-20250318-c3_obj-1pjmzic_image.nwb	sub-CHO-20250318-c3/sub-CHO-20250318-c3_obj-1xr20sg_image.nwb	sub-CHO-20250318-c3/sub-CHO-20250318-c3_obj-4213bs_image.nwb	sub-CHO-20250318-c3/sub-CHO-20250318-c3_obj-8z3y9l_image.nwb	sub-CHO-20250318-c4/sub-CHO-20250318-c4_obj-16w5n6p_image.nwb	sub-CHO-20250318-c4/sub-CHO-20250318-c4_obj-1cc2fdo_image.nwb	sub-CHO-20250318-c4/sub-CHO-20250318-c4_obj-1e0zrqa_image.nwb	sub-CHO-20250318-c4/sub-CHO-20250318-c4_obj-1pa6rma_image.nwb	sub-CHO-20250318-c4/sub-CHO-20250318-c4_obj-5timwx_image.nwb	sub-CHO-20250318-c4/sub-CHO-20250318-c4_obj-abdm8v_image.nwb	sub-CHO-20250318-c4/sub-CHO-20250318-c4_obj-de0ek2_image.nwb	sub-CHO-20250318-c4/sub-CHO-20250318-c4_obj-n5uny2_image.nwb	sub-CHO-20250318-c5/sub-CHO-20250318-c5_obj-1ditxx0_image.nwb	sub-CHO-20250318-c5/sub-CHO-20250318-c5_obj-1f497lm_image.nwb	sub-CHO-20250318-c5/sub-CHO-20250318-c5_obj-1ftlftr_image.nwb	sub-CHO-20250318-c5/sub-CHO-20250318-c5_obj-1quwljr_image.nwb	sub-CHO-20250318-c5/sub-CHO-20250318-c5_obj-1r0fn9m_image.nwb	sub-CHO-20250318-c5/sub-CHO-20250318-c5_obj-1ssckwr_image.nwb	sub-CHO-20250318-c5/sub-CHO-20250318-c5_obj-8pg2s8_image.nwb	sub-CHO-20250318-c5/sub-CHO-20250318-c5_obj-t2xw75_image.nwb	sub-CHO-20250318-c6/sub-CHO-20250318-c6_obj-15ydvb6_image.nwb	sub-CHO-20250318-c6/sub-CHO-20250318-c6_obj-1r7p2xq_image.nwb	sub-CHO-20250318-c6/sub-CHO-20250318-c6_obj-1tudpnc_image.nwb	sub-CHO-20250318-c6/sub-CHO-20250318-c6_obj-1xauxx8_image.nwb	sub-CHO-20250318-c6/sub-CHO-20250318-c6_obj-5qo892_image.nwb	sub-CHO-20250318-c6/sub-CHO-20250318-c6_obj-pmp04m_image.nwb	sub-CHO-20250318-c6/sub-CHO-20250318-c6_obj-vxw8j5_image.nwb	sub-CHO-20250318-c6/sub-CHO-20250318-c6_obj-yuhap2_image.nwb	sub-CHO-20250318-c7/sub-CHO-20250318-c7_obj-10lvw4o_image.nwb	sub-CHO-20250318-c7/sub-CHO-20250318-c7_obj-1mkinhv_image.nwb	sub-CHO-20250318-c7/sub-CHO-20250318-c7_obj-1vq2wf6_image.nwb	sub-CHO-20250318-c7/sub-CHO-20250318-c7_obj-g5zjda_image.nwb	sub-CHO-20250318-c7/sub-CHO-20250318-c7_obj-jymw85_image.nwb	sub-CHO-20250318-c7/sub-CHO-20250318-c7_obj-nrq2w8_image.nwb	sub-CHO-20250318-c7/sub-CHO-20250318-c7_obj-p833wb_image.nwb	sub-CHO-20250318-c8/sub-CHO-20250318-c8_obj-11cuzya_image.nwb	sub-CHO-20250318-c8/sub-CHO-20250318-c8_obj-1l4bh5j_image.nwb	sub-CHO-20250318-c8/sub-CHO-20250318-c8_obj-1myxoo3_image.nwb	sub-CHO-20250318-c8/sub-CHO-20250318-c8_obj-56bsnc_image.nwb	sub-CHO-20250318-c8/sub-CHO-20250318-c8_obj-6yahv5_image.nwb	sub-CHO-20250318-c8/sub-CHO-20250318-c8_obj-a5mu0s_image.nwb	sub-CHO-20250318-c8/sub-CHO-20250318-c8_obj-u55m4d_image.nwb	sub-CHO-20250318-c9/sub-CHO-20250318-c9_obj-1mbbt99_image.nwb	sub-CHO-20250318-c9/sub-CHO-20250318-c9_obj-1pivdt1_image.nwb	sub-CHO-20250318-c9/sub-CHO-20250318-c9_obj-1qdzxxl_image.nwb	sub-CHO-20250318-c9/sub-CHO-20250318-c9_obj-gt9g0s_image.nwb	sub-CHO-20250318-c9/sub-CHO-20250318-c9_obj-jyq06z_image.nwb	sub-CHO-20250318-c9/sub-CHO-20250318-c9_obj-p45ta9_image.nwb	sub-CHO-20250318-c9/sub-CHO-20250318-c9_obj-w1l3k2_image.nwb
2025-07-14	54010491	50511306	45807798	55132509	54181116	55545955	53862828	46725701	45546303	54340588	55391202	54068964	45968175	45885579	55185686	47372753	45812945	53902946	54405179	57837214	47457070	53365572	46545508	54495291	45735759	46185099	54135912	54466057	54721607	42688862	55424614	46422607	46562834	46222382	46194764	46407366	55494778	54123872	54617987	47807804	45705001	48395829	54038717	46847696	46473972	46579212	54370905	54751673	51561564	55137054	47583580	46398153	48940312	46217125	55183757	46710877	54692152	54899033	46400197	46409234	56672270	54584831	57463970	55862362	46575706	56888161	46739051	56028709	46160369	56427082	54047152	46011320	45819143
2025-07-21	0	34184182	0	0	0	0	0	0	0	0	0	0	0	0	34322838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34361236	0	0	34362116	0	0	0	0	0	0	34541724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	34149597	0	34188538	0	0	34180933	34187720	34166779	34166881	34128576	34129274	0	0	0	0	0	0	0	34346705	0	0	0	0	0	0	34183289	0	34192235	0	34371634	0	0	0	0	0	34344666	0	0	0	34352848	34394543	0	0	0	0	0	0	0	34578052	0	34540176	0	0	0	34496995	0	0	0	34495259	0	34774638	0	0	34766906	0	34781187	0	34341739	34349771	0	0	0	0
2025-08-04	0	0	0	0	0	0	0	0	0	0	0	0	34154653	0	0	0	0	0	0	0	34345042	0	0	34158289	0	0	34191404	0	34321165	0	0	34393549	0	0	0	0	0	0	0	0	0	34308511	0	0	0	0	34553715	0	0	34525118	0	0	0	0	0	34489639	0	34489431	0	0	0	34734241	34776506	0	34794070	0	0	0	0	34365350	0	0	0
2025-08-11	0	0	0	0	0	0	0	0	0	0	0	0	0	34170793	0	0	34343143	0	0	34355002	0	0	0	0	34186361	0	0	0	0	0	34315230	0	0	0	0	0	34316782	0	0	0	0	0	34355567	0	0	0	0	34615055	0	0	0	34581959	34511860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34402088	0	0
2025-08-18	0	0	0	34195951	0	0	0	0	0	0	0	34169088	0	0	0	0	0	34332146	0	0	0	34131148	34194208	0	0	0	0	0	0	0	0	0	34352910	34370442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34486072	0	0	34760378	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	34180933	0	0	0	0	34129274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34192235	34321165	0	0	0	0	0	0	0	0	0	0	0	34394543	34308511	34355567	0	0	0	0	0	0	0	34540176	0	34511860	0	0	61609951	0	0	0	0	0	34734241	0	34766906	0	0	0	0	34349771	0	34402088	0	0
2025-09-01	0	0	0	0	34184636	0	34187720	0	0	0	0	0	0	34170793	0	0	0	0	0	0	34345042	0	34194208	0	0	0	34191404	0	0	0	0	0	0	34370442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34338847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34352133	0	0	0	0	34316680	0	34576804	0	0	0	0	0	0	0	34499743	0	0	0	34489431	0	0	0	0	0	0	0	0	34367865	0	0	0	0	34343760	34301537
2025-10-06	0	0	0	17463402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	43505206	0	0	0	0	0	0	59408834	0	0	0	0	0	0	38336796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	48823389	82583600	48338266	49459315	47024204	52850713	47092796	51395383	45630781	45330444	51750926	47598228	49418017	44914105	86398344	47899003	83229062	82748512	50985737	52959274	46791562	46577668	46509712	51124861	48467105	48398525	44083112	50307203	46767685	49110934	48268434	52015201	45358254	46816962	81365516	50328618	46894318	80646688	49287957	47388940	48544271	45641395	44247275	42570688	86770608	44337496	47131251	48699275	46500508	45333938	42794184	47093987	54491800	47142787	42685495	52569847	42674572	48573651	46745255	42948878	50824098	54059101	48860726	49833746	45340858	44803911	51072405	46788259	49547627	48711602	52940852	49279584	49040837
2025-12-22	0	0	34188538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34355002	0	0	0	34158289	0	34183289	0	0	0	0	0	0	0	0	0	34344666	34316782	0	0	34352848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	34166779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34352910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34525118	0	0	0	0	0	0	0	0	0	34760378	34774638	0	0	0	34794070	0	0	34341739	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	38140216	0	34128576	0	0	0	0	0	0	0	0	34346705	0	0	0	0	0	34186361	0	0	0	0	0	0	34393549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34615055	0	0	0	34581959	0	0	0	0	34486072	0	0	0	0	0	0	0	0	0	0	0	0	34365350	0	0	0
2026-01-12	0	102552546	102565614	0	0	0	0	102500337	0	0	0	0	0	0	102968514	103016541	103029429	102996438	0	103065006	0	0	102582624	102474867	0	102549867	0	0	0	0	102945690	103180647	0	0	103083708	103033998	102950346	103086348	103056399	103058544	0	0	0	0	310875516	0	0	0	0	0	0	103745877	0	0	0	0	0	0	0	104281134	0	0	104329518	0	0	0	0	0	0	103096050	0	0	0
