week_start	sub-009/sub-009_ophys.nwb	sub-011/sub-011_ophys.nwb	sub-012/sub-012_ophys.nwb	sub-014/sub-014_ophys.nwb	sub-CFC16/sub-CFC16_ophys.nwb	sub-CFC17/sub-CFC17_ophys.nwb	sub-CFC19/sub-CFC19_ophys.nwb	sub-CFC4/sub-CFC4_ophys.nwb	sub-NR14/sub-NR14_ophys.nwb	sub-NR21/sub-NR21_ophys.nwb	sub-NR23/sub-NR23_ophys.nwb	sub-NR32/sub-NR32_ophys.nwb	sub-NR34/sub-NR34_ophys.nwb	sub-NR6/sub-NR6_ophys.nwb
2023-04-10	1772266227	787353287	998591547	591414906	810146720	236146720	816220080	2004484560	514484608	602564608	897924608	665860080	630786720	387924992
2023-04-17	1751157566	787353287	998591547	591414906	405073360	118073360	272073360	1002242280	257242304	301282304	448962304	221953360	315393360	193962496
2023-05-22	0	0	0	0	0	0	0	0	0	0	0	963840	0	0
2023-05-29	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-06-05	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-06-12	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-06-19	0	0	0	0	0	0	0	0	0	0	0	22270960	0	0
2023-06-26	0	0	0	0	0	0	0	0	0	0	0	63760720	0	0
2023-07-03	33605604	0	0	0	0	0	0	0	0	0	0	8119760	0	0
2023-07-10	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-07-17	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-07-24	0	0	998591547	0	0	0	9929360	0	0	0	0	1124480	0	0
2023-07-31	0	0	0	0	0	0	0	0	0	0	0	223077840	0	193962496
2023-08-07	0	0	0	0	0	0	0	0	0	0	0	963840	0	0
2023-08-14	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-08-21	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-08-28	0	0	0	0	0	0	0	0	0	0	0	667305840	0	581887488
2023-09-04	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-09-11	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-09-18	0	0	0	0	0	0	0	0	0	0	0	1124480	0	0
2023-09-25	0	0	0	0	0	0	0	0	0	0	0	223077840	0	193962496
2023-10-02	0	0	0	0	0	0	0	0	0	0	0	321280	0	0
2023-10-09	0	0	0	0	0	0	0	0	0	0	0	481920	0	0
2023-10-16	0	0	0	0	0	0	0	0	0	0	0	481920	0	0
2023-10-23	0	41331760	0	0	0	0	0	0	0	0	0	443906720	0	387924992
2023-10-30	580972881	1574706574	998591547	591414906	405073360	118073360	272073360	2004484560	257242304	301282304	448962304	444228000	315393360	387924992
2023-11-06	0	0	0	0	0	0	0	0	0	0	0	160640	0	0
2023-11-13	580972881	787353287	998591547	591414906	405073360	118073360	272073360	1002242280	257242304	301282304	448962304	491115688	315393360	775849984
2023-11-20	0	0	0	0	0	0	0	0	0	0	0	68470392	0	0
2023-11-27	580972881	787353287	998591547	591414906	570669420	236146720	412055792	1002242280	257242304	301282304	448962304	281029056	424230820	287798624
2023-12-04	9498961	11407047	7687227	9455226	6614480	7972880	9929360	11337960	10826944	7681024	8560384	14472480	11306320	10461696
2023-12-11	0	0	0	0	0	0	0	0	0	0	0	222274640	0	193962496
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	443906720	0	387924992
2024-01-08	36580209	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	13332126	10726834	9063254	4876044	7917492	10461196	13078868	4791132	9951820	12653648	12888572	236372328	13661488	202807464
2024-02-19	0	0	0	0	0	0	0	0	0	0	0	0	13429140	0
2024-03-04	0	0	0	0	0	0	0	0	0	0	0	27981120	0	0
2024-03-11	6633309	8606063	13457267	4992834	8118504	6245972	8144380	12254520	17717216	8947144	8376772	9698788	2703740	6780772
2024-03-25	21079071	21232629	24690561	8493210	20359524	13038720	21026724	20517576	20790696	17211756	20348232	19663212	20164692	19621728
2024-04-01	587999238	797400526	1006210326	598503996	412864324	124843396	279497152	1009059636	264085192	308329716	456094424	229293860	323010200	201332840
2024-04-08	0	0	7860960	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	32426045	33138295	60203423	29455070	4843104	7621640	7292776	7079388	554120	6850888	5756452	5768308	2900264	14641732
2024-05-27	0	23844912	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	9498961	11407047	7687227	9455226	21990279	7972880	9929360	11337960	10826944	30919831	8560384	6995280	27944179	10461696
2024-06-10	7729944	0	24041436	0	0	0	0	0	0	0	0	0	0	0
2024-07-01	0	0	0	0	0	0	0	0	11594916	0	0	0	0	0
2024-07-08	589288946	795414890	7553467	5455654	7659976	8624880	7829072	6813260	6826532	6826340	14845792	8171680	10319164	17008240
2024-07-22	10022724	11332884	13822188	4651068	11267376	6943848	8319516	6616308	9957216	7009356	11070852	11594916	10022724	11529408
2024-08-26	16508016	20962560	31116300	30788760	22403736	21486624	296507844	20504004	19717908	22796784	16311492	31233240	24041436	22665768
2024-09-02	0	787353287	0	7991976	421703432	136341132	1088293440	2060561200	0	940784464	0	0	0	235271164
2024-09-09	625706788	57956522	0	28365678	66144800	0	0	28771000	274330932	0	490487432	0	333726640	0
2024-09-16	7267937	7930587	7094911	6503782	7070404	8231832	7108484	19718336	6892040	6826340	7377880	6992536	7109272	5937388
2024-09-30	9957216	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-07	100910992	0	100452436	100321420	0	0	0	94491208	0	0	0	0	100779976	0
2024-10-21	14018712	11332884	7860960	11660424	8254008	11529408	4585560	8385024	9564168	8385024	10677804	9957216	12118980	11136360
2024-10-28	0	0	0	0	6550800	0	0	0	5633688	0	0	0	0	0
2024-11-11	580972881	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	7467912	8778072	8319516	2161764	8319516	12774060	19652400	6616308	7664436	10219248	7926468	7664436	6616308	8319516
2024-12-02	0	0	0	0	0	0	272073360	0	0	0	0	0	0	193962496
2025-01-20	87886966	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-27	697665277	787353287	998591547	591414906	405073360	118073360	272073360	1002242280	257242304	301282304	448962304	221953360	315393360	193962496
2025-02-03	66043388	0	707483	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	33474588	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	580972881	787353287	998591547	591414906	405073360	118073360	272073360	1002242280	257242304	301282304	448962304	221953360	315393360	193962496
2025-07-14	609358446	816385754	0	0	420480	0	0	68550040	257242304	301319024	970471900	0	0	0
