date	bytes_sent
2023-04-10	1875930248
2023-04-11	115359588
2023-04-12	2205277056
2023-04-14	1663980865
2023-04-15	1161945762
2023-04-17	2784976988
2023-04-18	60398376
2023-04-19	142872948
2023-04-20	129443808
2023-04-21	1061355389
2023-04-26	81033396
2023-04-27	80181792
2023-04-28	118241940
2023-04-29	101930448
2023-04-30	109332852
2023-05-01	79854252
2023-05-02	160953156
2023-05-03	108219216
2023-05-04	79199172
2023-05-05	48934476
2023-05-06	89025372
2023-05-07	94134996
2023-05-08	104026704
2023-05-09	90925104
2023-05-10	155647008
2023-05-11	62167092
2023-05-12	122827500
2023-05-13	229867572
2023-05-14	77954520
2023-05-15	83981256
2023-05-16	126561456
2023-05-17	73499976
2023-05-18	129836856
2023-05-19	96624300
2023-05-20	65311476
2023-05-21	160953156
2023-05-22	83326176
2023-05-23	8909088
2023-05-24	54895704
2023-05-25	142571172
2023-05-26	102198776
2023-05-27	73525740
2023-05-28	110821664
2023-05-29	65102396
2023-05-30	126958364
2023-05-31	57933240
2023-06-01	176067492
2023-06-02	76708272
2023-06-03	80486004
2023-06-04	157683212
2023-06-05	28763468
2023-06-06	30359828
2023-06-07	41313816
2023-06-08	44049404
2023-06-09	119272196
2023-06-10	88745468
2023-06-11	124769412
2023-06-12	16539236
2023-06-13	96994020
2023-06-14	39876360
2023-06-15	70598016
2023-06-16	92693820
2023-06-17	43727320
2023-06-18	160640
2023-06-19	91272
2023-06-20	5456
2023-06-21	111408
2023-06-22	107688
2023-06-24	149680
2023-06-25	14145744
2023-06-26	21102704
2023-06-27	71187588
2023-06-28	121844880
2023-06-29	68717892
2023-06-30	60488052
2023-07-01	106094808
2023-07-02	103377080
2023-07-03	87111564
2023-07-04	181390056
2023-07-05	87113084
2023-07-06	111041516
2023-07-07	69882884
2023-07-08	79836240
2023-07-09	46425564
2023-07-10	105511656
2023-07-11	19567284
2023-07-12	48112496
2023-07-13	65573508
2023-07-14	102693216
2023-07-15	126476340
2023-07-16	90497768
2023-07-17	83046272
2023-07-18	28871156
2023-07-19	116329652
2023-07-20	80862636
2023-07-21	144776540
2023-07-22	49920956
2023-07-23	53418644
2023-07-24	102126972
2023-07-25	30002664
2023-07-26	133526680
2023-07-27	124530708
2023-07-28	1110610227
2023-07-29	36013124
2023-07-30	112523136
2023-07-31	277770036
2023-08-01	40658736
2023-08-02	23823180
2023-08-03	39144952
2023-08-04	36881004
2023-08-05	54139232
2023-08-06	65757476
2023-08-07	5456
2023-08-08	67062180
2023-08-09	55201512
2023-08-10	111887664
2023-08-11	30115808
2023-08-12	99603380
2023-08-13	91605948
2023-08-14	70353996
2023-08-15	84378164
2023-08-16	75625856
2023-08-17	73767464
2023-08-18	126913164
2023-08-19	59350248
2023-08-20	77037408
2023-08-21	129127880
2023-08-22	53680676
2023-08-23	63109968
2023-08-24	168184800
2023-08-25	67602660
2023-08-26	115205244
2023-08-27	89398812
2023-08-28	47868336
2023-08-29	326681044
2023-08-30	53700284
2023-08-31	665808032
2023-09-01	118206056
2023-09-02	63131840
2023-09-03	62704892
2023-09-04	169558872
2023-09-05	24285456
2023-09-06	121497732
2023-09-07	226709036
2023-09-08	85138668
2023-09-09	107629644
2023-09-10	166878500
2023-09-11	10052348
2023-09-12	10414176
2023-09-13	37827740
2023-09-14	37583720
2023-09-15	18866304
2023-09-16	45772220
2023-09-17	72713880
2023-09-18	27996084
2023-09-19	60446012
2023-09-20	32080908
2023-09-21	39457860
2023-09-22	83444636
2023-09-23	92150148
2023-09-24	119992644
2023-09-25	103707056
2023-09-26	42513096
2023-09-27	416076496
2023-09-28	74024040
2023-09-29	82545536
2023-09-30	98708000
2023-10-01	59727020
2023-10-02	116217348
2023-10-03	58262376
2023-10-04	99834192
2023-10-05	70748640
2023-10-06	177788712
2023-10-07	85618956
2023-10-08	37339560
2023-10-09	20811936
2023-10-10	61274148
2023-10-11	9498660
2023-10-12	35898384
2023-10-13	72058800
2023-10-14	22665768
2023-10-15	35667572
2023-10-16	79657728
2023-10-17	117390336
2023-10-18	31620756
2023-10-19	56970228
2023-10-20	38846244
2023-10-21	30381560
2023-10-22	60856932
2023-10-23	217152328
2023-10-26	40614960
2023-10-29	96362268
2023-10-30	90490716
2023-10-31	1143624219
2023-11-01	32819508
2023-11-02	37390916
2023-11-03	9760692
2023-11-04	5910269225
2023-11-05	145034712
2023-11-06	41073516
2023-11-07	177657696
2023-11-08	33736620
2023-11-09	75516572
2023-11-10	54764688
2023-11-11	30330204
