region	bytes_sent
US/Washington	7179349685
US/New York	6716544469
AWS/us-east-1	6628751493
US/California	6542311282
US/South Carolina	6494591109
CA/Ontario	6494591109
GB/England	4990990272
US/Wisconsin	3536258488
CN/Shanghai	1789595567
AWS/us-east-2	1477474568
ES/La Rioja	1170184685
US/Virginia	998591547
GitHub	974337821
GCP/us-central1	968897873
IN/Karnataka	580972881
IN/Maharashtra	415915856
VPN	361291468
US/Georgia	177191802
CA/Quebec	136730069
US/Maryland	104378756
AWS/ap-southeast-1	81885000
US/Massachusetts	33605604
IN/Uttar Pradesh	29347584
US/Rhode Island	20985840
