week_start	sub-20210708001/sub-20210708001_icephys.nwb	sub-20210708002/sub-20210708002_icephys.nwb	sub-20210708003/sub-20210708003_icephys.nwb	sub-20210708004/sub-20210708004_icephys.nwb	sub-20210708005/sub-20210708005_icephys.nwb	sub-20210709001/sub-20210709001_icephys.nwb	sub-20210709002/sub-20210709002_icephys.nwb	sub-20210709003/sub-20210709003_icephys.nwb	sub-20210709004/sub-20210709004_icephys.nwb	sub-20210709005/sub-20210709005_icephys.nwb	sub-20210715001/sub-20210715001_icephys.nwb	sub-20210715002/sub-20210715002_icephys.nwb	sub-20210715003/sub-20210715003_icephys.nwb	sub-20210715004/sub-20210715004_icephys.nwb	sub-20210715005/sub-20210715005_icephys.nwb	sub-20210721001/sub-20210721001_icephys.nwb	sub-20210721002/sub-20210721002_icephys.nwb	sub-20210721003/sub-20210721003_icephys.nwb	sub-20210721004/sub-20210721004_icephys.nwb	sub-20210721005/sub-20210721005_icephys.nwb	sub-20210728001/sub-20210728001_icephys.nwb	sub-20210728002/sub-20210728002_icephys.nwb	sub-20210728003/sub-20210728003_icephys.nwb	sub-20210728004/sub-20210728004_icephys.nwb	sub-20210804001/sub-20210804001_icephys.nwb	sub-20210804002/sub-20210804002_icephys.nwb	sub-20210805001/sub-20210805001_icephys.nwb	sub-20210805002/sub-20210805002_icephys.nwb	sub-20210805003/sub-20210805003_icephys.nwb	sub-20210805004/sub-20210805004_icephys.nwb	sub-20210825001/sub-20210825001_icephys.nwb	sub-20210825002/sub-20210825002_icephys.nwb	sub-20210826001/sub-20210826001_icephys.nwb	sub-20210826002/sub-20210826002_icephys.nwb	sub-20210826003/sub-20210826003_icephys.nwb	sub-20210908001/sub-20210908001_icephys.nwb	sub-20210908002/sub-20210908002_icephys.nwb	sub-20210908003/sub-20210908003_icephys.nwb	sub-20210908004/sub-20210908004_icephys.nwb	sub-20210908005/sub-20210908005_icephys.nwb	sub-20210930001/sub-20210930001_icephys.nwb	sub-20210930002/sub-20210930002_icephys.nwb	sub-20210930003/sub-20210930003_icephys.nwb	sub-20210930004/sub-20210930004_icephys.nwb	sub-20210930005/sub-20210930005_icephys.nwb	sub-20210930006/sub-20210930006_icephys.nwb
2022-12-12	169025411	0	0	223012001	0	5242880	0	0	0	22696488	126055190	0	0	0	0	0	0	0	0	0	0	0	0	0	153498056	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-12-26	20304936	18605728	10208736	20155744	20470536	23661680	20790104	10418248	18331216	31768736	20304936	20418544	20155744	20304936	20304936	19838504	13721112	10582072	15352656	20097312	16278480	20523424	10259384	17418328	34838864	26978352	19566352	20365288	20523336	20365240	30952264	20786640	20365464	20365240	20628512	20186920	30049248	19936008	19838504	20101376	20628416	20523320	20628384	20577392	20577056	20577232
2023-01-02	0	0	0	42041125	0	0	0	10418248	0	0	0	0	4427104	0	0	0	0	0	5242880	9611552	0	4794784	0	0	51829470	0	0	0	0	0	0	0	0	0	0	0	0	0	16391908	0	0	0	0	0	0	0
2023-02-13	0	0	0	9669984	32552464	10053677	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	6337293	0	0	0	176748088	0	0	0	0	10451861	0	0	0	0	0	0	15728640	0	0	0	0	0	0	0	6403657	0
2023-04-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14944040	0	0	0	0	0	0	0	0	0	0
2023-04-10	0	0	0	0	20470536	0	0	0	0	0	20304936	0	0	0	0	0	0	0	0	0	0	0	0	0	34838864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20577392	0	0
2023-04-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241227512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6934569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10142624	0	0	0
2023-05-08	0	0	0	4446388	12081928	0	0	10418248	0	0	0	0	0	0	0	0	13721112	0	0	0	0	0	0	0	34838864	0	0	0	0	0	0	0	0	0	10142752	0	0	0	0	0	0	0	0	0	0	0
2023-05-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9879480	0	0	0	0	10142752	0	0	0	0	0	0	0	0	0	0	0
2023-05-22	0	0	0	0	0	0	5061464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4627872	0	0	0	0	0	0	0	0	0	0	0	0	14944040	0	0	0	0	0	0	0	0	0	0
2023-05-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3572752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3710672	0	304867829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4425800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46127256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
