region	bytes_sent
GitHub	18752869657
US/California	3758362426
AWS/us-east-2	1410580352
AWS/us-east-1	1409211072
NL/North Holland	1375210108
CA/Ontario	960682072
CA/Quebec	934651944
US/New Mexico	929635440
JP/Kanagawa	929635440
VPN	422284741
GB/England	371568840
CN/Shanghai	311164008
PT/Lisbon	143695864
GCP/us-central1	96133104
CA/British Columbia	55309400
HK/Hong Kong	55309400
US/Maryland	50676752
IN/Maharashtra	41355264
AWS/ap-southeast-1	40083856
US/Rhode Island	30778152
VN/Ho Chi Minh	30676856
VN/Kiên Giang Province	20468120
IT/Lazio	20304936
IT/Lombardy	18331216
