region	bytes_sent
GitHub	699165984585
AWS/us-east-2	232624480355
US/California	106137931631
US/Massachusetts	51386256699
GCP/us-east1	43787093560
AWS/us-east-1	42115182165
GCP/us-central1	37954623624
US/Maryland	35042266816
US/Washington	33053607353
US/New York	32655533514
GB/England	28807761566
US/Georgia	22164765560
US/Texas	13589721080
FI/Uusimaa	13459354032
GCP/us-east4	13014575344
US/Illinois	12687575592
GCP/europe-west4	12394948040
US/New Jersey	11953947360
US/Connecticut	11024993660
US/Virginia	10260443922
CA/Quebec	9985760452
CA/Ontario	8619643182
UA/Kyiv City	8484313498
VPN	8120941924
ES/Madrid	7944485882
US/Pennsylvania	7409433580
NL/North Holland	7339782659
US/Indiana	7071319256
DE/North Rhine-Westphalia	6805232864
FR/Île-de-France	6743497880
HK/Sham Shui Po	6672196984
CN/Shanghai	6581138424
US/Tennessee	6542665924
US/Florida	6505216848
CH/Vaud	6489309368
US/Michigan	6470565404
CO/Bogota D.C.	6343245308
AT/Tyrol	6341663532
GCP/asia-east1	6325923064
US/New Mexico	6270630908
US/Oregon	6270102724
US/Idaho	6197474020
NP/Bagmati Province	6197474020
IL/Southern District	6197474020
JP/Miyagi	6197474020
JP/Ibaraki	6197474020
HU/Pest County	6197474020
DE/Baden-Wurttemberg	6197466260
US/District of Columbia	6057507444
MX/Querétaro	5593908948
KR/Seoul	4229871144
PT/Lisbon	2547586751
US/Nevada	2502242154
HK/Hong Kong	1153967626
IN/Delhi	1142095907
JP/Tokyo	995474608
HU/Budapest	812355763
DE/Lower Saxony	753259660
IN/Uttar Pradesh	673451710
DE/Bavaria	489988884
US/Wisconsin	465439849
SE/Stockholm	426297144
CA/British Columbia	419449728
ES/Galicia	362455688
JP/Hokkaido	334245964
IT/Veneto	303427480
AT/Vienna	292279576
ES/Andalusia	291601128
IN/Assam	291571184
VN/Ho Chi Minh	251907154
US/North Dakota	235464540
AWS/ap-southeast-1	234928560
SG/Singapore	234212589
AWS/ap-northeast-1	232393340
RU/Moscow	229827896
US/New Hampshire	219470664
GCP/us-west1	218942480
DK/Central Jutland	218414296
CH/Zurich	218414296
US/Arizona	218042792
JP/Osaka	217886112
AWS/us-west-2	204467484
IN/Telangana	156301089
ES/Catalonia	146173152
GB/Scotland	145996048
US/Colorado	145815536
NL/South Holland	145785592
CA/Alberta	145785592
BE/Flanders	145785592
DE/Thuringia	131068900
RS/Vojvodina	128481812
CR/Guanacaste Province	128449044
VN/Hanoi	125090853
CN/Beijing	113143457
IT/Campania	112400942
IN/Maharashtra	109325552
VN/Kiên Giang Province	109073488
EG/Beheira	104224194
KR/Daejeon	102731473
IN/Tamil Nadu	101828864
US/Louisiana	100897040
UA/Kiev	96583380
US/Kansas	96169136
IN/Karnataka	91738808
IT/Emilia-Romagna	91738808
IR/Tehran	88439556
TW/Taiwan	84375132
US/Ohio	83399216
DE/Berlin	73156888
ZA/Western Cape	73156888
GR/Central Macedonia	73156888
AT/Styria	73156888
ES/Basque Country	73156888
PL/Lower Silesia	73156888
AR/Buenos Aires F.D.	73156888
IT/Friuli Venezia Giulia	73156888
KR/Gyeonggi-do	73156888
IQ/Sulaymaniyah	73156888
NO/Oslo	72628704
LB/South Governorate	72628704
NL/Gelderland	72628704
AU/Victoria	72628704
BR/Rio de Janeiro	72628704
SA/Riyadh Region	72628704
MX/Mexico City	72628704
DK/Capital Region	72628704
US/North Carolina	72628704
DE/Hesse	72628704
US/Alabama	72628704
FR/Provence-Alpes-Côte d'Azur	72628704
JP/Aichi	72628704
IL/Central District	72628704
HK/Sha Tin	71228476
unknown	55262212
UY/Montevideo Department	55060760
CH/Geneva	54940368
US/Rhode Island	40969312
HK/Kwai Tsing	34509280
CN/Jiangsu	22231002
AM/Yerevan	13073708
IE/Leinster	11680064
RU/St.-Petersburg	9954600
NG/Lagos	7830953
