week_start	sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish15)/sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish15)_ses-1p-x-10cycles-CanCan-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish2)/sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish2)_ses-1p-x-10cycles-CanCan-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish2-2)/sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish2-2)_ses-1p-x-10cycles-CanCan-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish4)/sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish4)_ses-1p-x-10cycles-CanCan-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish6)/sub-1p-x4-10cycles-CC-600ns-200ms-6-4kV-(dish6)_ses-1p-x-10cycles-CanCan-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish19)/sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish19)_ses-1p-x-10cycles-Control-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish3)/sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish3)_ses-1p-x-10cycles-Control-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish5)/sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish5)_ses-1p-x-10cycles-Control-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish5-2)/sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish5-2)_ses-1p-x-10cycles-Control-600ns-200ms-6-4kV_image.nwb	sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish7)/sub-1p-x4-10cycles-Ctrl-600ns-200ms-6-4kV-(dish7)_ses-1p-x-10cycles-Control-600ns-200ms-6-4kV_image.nwb	sub-40p-CC-600ns-200ms-6-4kV-(dish09)/sub-40p-CC-600ns-200ms-6-4kV-(dish09)_ses-40p-CC-600ns-200ms-6-4kV_image.nwb	sub-40p-CC-600ns-200ms-6-4kV-(dish10)/sub-40p-CC-600ns-200ms-6-4kV-(dish10)_ses-40p-CC-600ns-200ms-6-4kV_image.nwb	sub-40p-CC-600ns-200ms-6-4kV-(dish10-2)/sub-40p-CC-600ns-200ms-6-4kV-(dish10-2)_ses-40p-CC-600ns-200ms-6-4kV_image.nwb	sub-40p-CC-600ns-200ms-6-4kV-(dish11)/sub-40p-CC-600ns-200ms-6-4kV-(dish11)_ses-40p-CC-600ns-200ms-6-4kV_image.nwb	sub-40p-Ctrl-600ns-200ms-6-4kV-(dish11)/sub-40p-Ctrl-600ns-200ms-6-4kV-(dish11)_ses-40p-Ctrl-600ns-200ms-6-4kV_image.nwb	sub-40p-Ctrl-600ns-200ms-6-4kV-(dish12)/sub-40p-Ctrl-600ns-200ms-6-4kV-(dish12)_ses-40p-Ctrl-600ns-200ms-6-4kV_image.nwb	sub-40p-Ctrl-600ns-200ms-6-4kV-(dish14)/sub-40p-Ctrl-600ns-200ms-6-4kV-(dish14)_ses-40p-Ctrl-600ns-200ms-6-4kV_image.nwb	sub-40p-Ctrl-600ns-200ms-6-4kV-(dish9)/sub-40p-Ctrl-600ns-200ms-6-4kV-(dish9)_ses-40p-Ctrl-600ns-200ms-6-4kV_image.nwb
2025-06-09	0	605696083	0	0	606672110	0	0	0	699154202	0	618217358	0	627452441	0	652963121	660583697	0	654723980
2025-07-28	412452906	0	0	0	367001600	412442899	495104368	0	751583002	0	251215758	0	209715200	0	0	0	0	0
2025-08-04	0	0	0	0	0	0	0	419430400	0	0	0	466266956	0	262144000	0	0	491485664	0
2025-08-11	0	0	524288000	314572800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-18	0	471859200	0	0	0	0	0	0	0	0	0	0	0	0	0	503297297	0	0
2025-08-25	412452906	0	0	367001600	0	0	0	0	0	0	0	0	104857600	0	0	0	0	0
2025-09-01	0	0	471859200	0	0	0	390246768	508289781	541867802	0	524288000	0	0	0	471859200	0	0	0
2025-09-08	0	0	0	0	449385710	0	0	0	0	262144000	0	0	0	0	0	0	0	419430400
2025-09-22	4727110	1843449	13299776	14829504	13645048	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	8517692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	24411112	25001909	33409092	14937969	32439188	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	45198216	35735996	33812040	29374425	38873758	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	10054326	17802490	15988908	6290913	9090826	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	10719940	14420985	11405000	6290913	15662776	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	49846980	54302435	58063216	58048668	47330654	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	26418488	43369060	45868816	30510612	43212072	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	29159290	28268084	17959104	29022189	25721436	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	23221434	27522585	29028304	29286366	24688094	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	36999182	28751551	28044032	20375133	26099698	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	22762878	25460465	24375584	15419076	12176066	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	667727768	27768931	655279616	1283099470	653814662	1460844230	718772772	13101600	11332884	721719015	633087674	1256605372	638654309	626805260	657417665	668706689	1307697868	1309447960
2025-12-29	0	0	0	0	0	438657299	0	0	0	0	0	0	0	424673280	0	0	0	0
2026-01-05	35076078	39373072	33613864	15441627	33597182	0	0	0	0	0	0	0	0	0	0	519025937	0	0
2026-01-12	0	0	0	0	0	0	1409639136	0	0	0	0	623553356	0	0	0	650097937	0	0
2026-01-19	18101276	463921633	15661368	9390195	11026494	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-26	349707018	25934707	393868580	24307758	18690930	0	0	0	0	0	356515840	461024076	391522841	0	529530880	0	449542624	0
2026-02-02	13581224	10424997	9041756	383416406	204685514	0	447918448	424673280	510410522	414187520	0	0	0	0	0	0	0	282479500
2026-02-09	15239992	9482974	14873620	5963373	5669624	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	15880022	18047887	21132588	4943927	10459984	0	409600	0	4127004	7672712	0	0	0	0	0	0	0	0
2026-02-23	5992830	14945049	14218540	8866131	11339248	0	0	4709309	0	4540419	0	0	0	0	0	0	0	5231784
2026-03-02	0	15222767	2752988	0	0	4512303	0	0	4127004	0	4127004	0	764441	4764952	0	615697	682464	0
2026-03-09	4127004	0	0	612123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	14094754	31543484	16250940	10133334	8391388	9302136	0	0	0	0	0	1703208	0	10350264	0	0	0	0
2026-03-23	10829888	794372	6210012	4192512	4963822	4331804	8647056	9760692	6354276	4810727	0	0	0	0	3668448	0	0	10153740
2026-03-30	8974596	0	0	0	0	0	0	8385024	0	655080	0	9564168	0	0	0	0	0	8057484
2026-04-06	0	0	7926468	0	0	0	0	4127004	0	0	0	0	0	0	0	0	5764704	51096240
2026-04-13	0	0	9564168	0	0	1048128	7598928	0	0	0	0	0	0	0	0	0	1048128	0
2026-04-20	4727110	614483	4847592	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
