week_start	Microscopy	Miscellaneous
2023-06-26	176161120	19218291
2023-09-11	0	384672
2023-10-16	0	1037328
2023-10-23	0	250352
2023-10-30	0	1764392
2023-11-06	0	384672
2023-11-13	0	16384
2024-03-11	0	6232
2024-04-15	0	6232
2024-04-22	0	16781
2024-04-29	0	16384
2024-05-13	0	16384
2024-06-03	371144992	53665542
2024-06-10	13691172	121914607
2024-07-08	73004584	5288628
2024-07-15	0	7072
2024-07-22	13363632	154721795
2024-07-29	0	16384
2024-08-05	0	16384
2024-08-12	0	840464
2024-08-19	0	388184
2024-08-26	189524752	50339487
2024-09-02	0	58550426
2024-09-09	0	27035783
2024-09-16	17949192	155277291
2024-09-23	0	3824
2024-09-30	0	1040
2024-10-07	0	1139
2024-10-21	0	467
2024-10-28	0	16781
2024-11-04	96980512	202767
2024-11-11	0	11693824
2024-11-18	20176464	93842919
2024-11-25	0	9444465
2024-12-02	176161120	16384
2024-12-30	0	1752
2025-02-03	0	16384
2025-02-10	0	1753944
2025-02-17	0	1009408
2025-02-24	0	594
2025-03-31	0	376928
2025-04-07	0	382610
2025-04-21	0	594
2025-06-09	8254008	17091838168
2025-06-16	188744032	3348334233
2025-06-23	0	299
2025-07-14	0	299
2025-07-21	369811981	968197054
2025-07-28	30330204	6576884315
2025-08-04	364905152	4121646568
2025-08-11	0	5004227854
2025-08-18	0	2017347456
2025-08-25	377488064	2419374409
2025-09-01	18822752	3077883297
2025-09-08	8342147512	2518560185
2025-09-15	186787270	0
2025-09-22	6611226560	0
2025-09-29	1971009225	15296
2025-10-06	1694132314	1908713
2025-10-13	28566106	2478028
2025-10-20	0	2622
2025-10-27	4618	2622
2025-11-03	0	13984
2025-11-10	0	9614
2025-11-17	0	7234
2025-11-24	96820824	9834214387
2025-12-01	0	3723943298
2025-12-08	0	543412021
2025-12-15	605744624	63561599175
2025-12-22	0	1821496034
2025-12-29	0	2163262158
2026-01-05	0	2236878565
2026-01-12	528483360	34393261667
2026-01-19	566232096	4665786140
2026-01-26	207566784	6803436152
2026-02-02	0	2265179496
2026-02-09	4618	0
2026-02-16	0	23369777
2026-02-23	0	250798328
2026-03-02	52411018	2113339
2026-03-09	0	34688
2026-03-16	20569512	15008224570
2026-03-23	17687160	11396870
2026-03-30	0	27918856
2026-04-06	0	19556290
2026-04-13	0	36083736
2026-04-20	76185804	14175868044
2026-04-27	0	18607686
2026-05-04	46379664	15052476474
2026-05-11	1015547616	1908589577
2026-05-18	345096648	18596619358
2026-05-25	976369692	20864760339
2026-06-01	0	185401336
2026-06-08	1696368514	20730929973
2026-06-15	76971900	215609305
2026-06-22	987178512	31576034102
2026-06-29	2536144544	45045720316
2026-07-06	8319516	10417581381
2026-07-13	2358288	17563050944
2026-07-20	1113636	41501722
