week_start	sub-Jenkins/sub-Jenkins_ses-20090912_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090916_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090918_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090923_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090812_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090819_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090910_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090920_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090922_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20100923_behavior+ecephys.nwb
2023-07-24	938478109	4621862504	5369499141	4040811670	124362384	33512882	6918439314	595235884	36233806	0
2023-07-31	8222878244	4019992332	4516943772	7574514449	14773629970	6566134716	13251934863	12009609014	4485170628	0
2023-08-07	1910068368	206590304	21501936	125693416	432758816	399708716	6370944	388493200	193981144	0
2023-08-14	3614482688	4129824862	1128846672	3773669430	247868712	6840416300	7050381209	438464464	8899729960	0
2023-08-21	2906964280	4392094562	583936836	4393308442	0	6575226584	389488660	6318472297	4802721540	0
2023-08-28	3063288344	4685305410	377079420	3832202478	7706236965	6936895688	7003513365	507418316	204466656	0
2023-09-04	327410408	0	10208480489	730133416	0	821849292	751173288	65899452	450013456	0
2023-09-11	5484776464	8121679796	5191486830	7547338860	7401945977	13108643848	13263714942	19767112491	9181179684	0
2023-09-18	210709820	1118710126	415635248	763978228	439926956	247205072	523611960	0	342702040	0
2023-09-25	4154584428	288349924	0	87202296	0	0	137770008	163189076	371902200	0
2023-10-02	290430380	171219120	191261048	404289488	194445692	85476832	325647320	723431480	35438376	0
2023-10-09	488968296	0	482597352	403824112	794773608	262933340	186614740	0	162059232	0
2023-10-16	237449304	45525704	4615793419	0	10020964	322327464	0	111756976	319740096	0
2023-10-23	108896	0	4493392139	0	7375599469	10488498844	170952836	0	0	0
2023-10-30	90029124	36035652	98285084	375885696	7692486741	67824008	213357776	6415562829	4565669332	0
2023-11-06	2731073828	76517692	4892995847	4077348610	7680011137	6796284240	0	6538867969	4758656672	0
2023-11-13	3777476476	405858362	302808355	3773669430	7375599469	6554321924	0	6106305761	67558552	0
