region	bytes_sent
US/New York	55117921250
CN/Beijing	52765455420
GitHub	51575428900
US/Georgia	40252919698
HK/Hong Kong	39804388602
US/Pennsylvania	31552761762
KR/Seoul	26459090068
CN/Shanghai	26358967420
PT/Lisbon	25416495298
US/California	15250223247
AWS/us-east-1	14235147317
CH/Geneva	13724374026
US/Florida	13614316989
VPN	13559385574
GB/England	13558871962
GB/Scotland	13418273685
AWS/us-east-2	13289675082
US/Washington	13269622718
US/North Carolina	13202797390
CN/Jiangsu	13202342418
GR/Attica	13185868026
CN/Zhejiang	13179483710
GCP/asia-east1	13179483710
CH/Vaud	13179483710
CA/Quebec	13179483710
NL/North Holland	13179483710
CN/Guangdong	12966723904
CL/Santiago Metropolitan	8567707657
GCP/us-central1	1374087900
US/Massachusetts	656971224
CA/British Columbia	580577048
JP/Tokyo	554227734
US/New Jersey	517643444
CL/Valparaíso	323734480
IN/Delhi	242621364
AWS/ap-southeast-1	215586828
US/Maryland	173775183
SE/Stockholm	117457252
US/Connecticut	114660494
US/Texas	94777122
US/Virginia	91815514
US/South Dakota	74037256
US/New Hampshire	72566862
SG/Singapore	58279676
US/Illinois	41902776
GCP/us-west4	23988300
IN/Maharashtra	14368812
