week_start	sub-Rat203/sub-Rat203_ecephys.nwb
2022-07-25	232448
2022-08-01	7670784
2022-08-08	6043648
2022-08-15	3486720
2022-08-22	929792
2022-08-29	2789376
2022-09-05	3254272
2022-09-19	464896
2022-11-07	232448
2022-12-19	232448
2023-02-13	232448
2023-05-08	232448
2023-05-22	2014208
2023-05-29	1559040
2023-06-05	1559040
2023-06-12	2014208
2023-06-19	2479104
2023-06-26	3883520
2023-07-03	1791488
2023-07-10	1559040
2023-07-17	1559040
2023-07-24	1791488
2023-07-31	1559040
2023-08-07	1559040
2023-08-14	2438570
2023-08-21	1559040
2023-08-28	2701824
2023-09-04	1781760
2023-09-11	1559040
2023-09-18	1559040
2023-09-25	1791488
2023-10-02	445440
2023-10-09	222720
2023-10-16	222720
2023-10-23	697344
2023-10-30	455168
2023-11-13	910336
2023-11-20	1162240
2023-11-27	232448
2023-12-04	222720
2023-12-11	677888
2024-01-01	464896
2024-01-08	222720
2024-01-22	1627136
2024-03-04	929792
2024-03-11	926328
2024-03-18	1394688
2024-03-25	1394688
2024-04-01	464896
2024-04-15	464896
2024-07-08	929792
2024-07-29	232448
2024-08-26	697344
2024-09-02	697344
2024-09-09	6508544
2024-09-16	464896
2024-10-14	232448
2024-10-21	232448
2024-11-18	929792
2025-06-23	48000
2025-07-14	24000
2025-07-28	232448
2025-08-11	232448
2025-09-22	2324480
2025-09-29	464896
2025-10-06	2092032
2025-10-13	1859584
2025-10-20	464896
2025-10-27	3254272
2025-11-03	6408824
2025-11-10	5578752
2025-11-17	3254272
2025-11-24	3254272
2025-12-01	3254272
2025-12-08	2789376
2025-12-15	4881408
2025-12-29	464896
2026-01-05	3719168
2026-01-12	697344
2026-01-19	1859584
2026-01-26	2789376
2026-02-02	1859584
2026-02-09	1859584
2026-02-16	1599488
2026-02-23	2324480
2026-03-09	464896
2026-03-16	2324480
2026-03-23	1264640
2026-04-06	669696
2026-04-13	464896
2026-04-20	2324480
2026-04-27	334848
2026-05-11	697344
2026-05-18	1599488
2026-05-25	1004544
2026-06-01	334848
2026-06-08	1804288
2026-06-15	929792
2026-06-22	697344
2026-06-29	2092032
2026-07-06	731763
