region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	52898424	342	114	103
GitHub	61962872	54613	111	161
USA/VT	4184064	27	9	6
USA/RI	697344	3	0	1
AWS/us-east-2	6411264	3908	2	16
USA/CA	4572786	98	14	8
JPN/13	464896	3	1	1
USA/NY	1394688	8	4	2
AWS/ap-southeast-1	1394688	6	6	0
GBR/ENG	4184064	18	18	0
USA/WA	879530	7	1	1
CAN/QC	464896	2	2	0
GCP/us-central1	1394688	6	6	0
USA/MD	1599488	10	4	3
AWS/us-east-1	1394688	6	6	0
VPN	4358464	30	14	6
PRT/11	929792	4	4	0
NOR/50	6508544	28	0	2
USA/GA	232448	1	0	1
VNM/SG	232448	1	1	0
USA/VA	1162240	6	2	3
CHN	1162240	5	4	1
USA/NV	232448	1	1	0
USA/MA	697345	4	0	3
NLD	464896	2	2	0
USA/MI	464896	3	1	1
USA/NM	232448	1	1	0
USA	464896	2	2	0
IND/MH	232448	1	1	0
EST/37	232448	1	1	0
MEX/CMX	2009088	12	6	5
CHE/VD	334848	2	1	1
SGP	464896	2	2	0
BRA/PR	232448	1	1	0
USA/IL	334848	2	1	1
FRA/IDF	1339392	8	4	3
CHN/SH	232448	1	0	1
USA/TX	232448	1	1	0
