region	bytes_sent
GitHub	5177923396
US/New York	5868081758
US/Rhode Island	58475060
US/California	263607227691
AWS/us-east-2	14331547315
NL/Flevoland	52951541486
AWS/us-east-1	138411312975
CA/Ontario	8775683816
US/Massachusetts	135547439079
US/Maryland	1365707316
CA/Quebec	34664302887
GB/England	35308812
VPN	6261406932
KR/Ulsan	17224195383
JP/Tokyo	2873499930
KR/Seoul	109536212666
US/Montana	129066795249
US/Virginia	129125424909
GCP/us-central1	1818555636
AWS/ap-southeast-1	523343412
UA/Kyiv City	13887696
NO/Oslo	774107470
CN/Shanghai	17897776769
US/Michigan	13036092
IE/Leinster	8122992
US/Georgia	13232616
IR/Razavi Khorasan	20569512
US/New Jersey	13756680
US/Tennessee	8188500
