region	bytes_sent
AWS/us-east-1	1069095812
US/New York	136735854001
GitHub	3366857273
US/Rhode Island	648720
JP/Kyoto	225114966099
US/New Jersey	1914127772
IT/Lombardy	1913138428
AWS/us-east-2	648720
US/Illinois	126064
VPN	433797976
US/New Hampshire	74494345509
US/California	120321293372
US/Washington	285768
AWS/ap-southeast-1	188937832
US/Utah	23738944
HU/Budapest	64019084
GCP/us-west1	1978688
US/District of Columbia	3957376
AWS/ap-northeast-1	989344
GCP/us-central1	989344
SG/Singapore	989344
US/Pennsylvania	1261888
GCP/us-west4	989344
US/Maryland	105288740
GB/England	53462960
CA/Quebec	8165236054
AT/Vienna	6475920
IT/Emilia-Romagna	184512068
HK/Hong Kong	8655904
NL/Flevoland	64756386254
UA/Kiev	4431324
NO/Vestland	281280
NO/Oslo	28339792
US/Virginia	53079700
CH/Zurich	2087010647
US/Massachusetts	10417188059
AU/Queensland	4192512
