week_start	sub-20211022001/sub-20211022001_ses-20211022T174057_slice-20211022001_cell-20211022001_icephys.nwb	sub-20211223001/sub-20211223001_ses-20211223T145910_slice-20211223001_cell-20211223001_icephys.nwb	sub-20211223002/sub-20211223002_ses-20211223T171703_slice-20211223002_cell-20211223002_icephys.nwb	sub-20220105001/sub-20220105001_ses-20220105T155227_slice-20220105001_cell-20220105001_icephys.nwb	sub-20220105002/sub-20220105002_ses-20220105T161435_slice-20220105002_cell-20220105002_icephys.nwb	sub-20220105003/sub-20220105003_ses-20220105T170726_slice-20220105003_cell-20220105003_icephys.nwb	sub-20220105004/sub-20220105004_ses-20220105T172228_slice-20220105004_cell-20220105004_icephys.nwb	sub-20220106001/sub-20220106001_ses-20220106T171639_slice-20220106001_cell-20220106001_icephys.nwb	sub-20220106002/sub-20220106002_ses-20220106T180609_slice-20220106002_cell-20220106002_icephys.nwb	sub-20220106003/sub-20220106003_ses-20220106T193954_slice-20220106003_cell-20220106003_icephys.nwb	sub-20220106004/sub-20220106004_ses-20220106T200624_slice-20220106004_cell-20220106004_icephys.nwb	sub-20220113001/sub-20220113001_ses-20220113T160741_slice-20220113001_cell-20220113001_icephys.nwb	sub-20220113002/sub-20220113002_ses-20220113T163313_slice-20220113002_cell-20220113002_icephys.nwb	sub-20220113003/sub-20220113003_ses-20220113T192811_slice-20220113003_cell-20220113003_icephys.nwb	sub-20220113004/sub-20220113004_ses-20220113T200217_slice-20220113004_cell-20220113004_icephys.nwb	sub-20220119001/sub-20220119001_ses-20220119T160753_slice-20220119001_cell-20220119001_icephys.nwb	sub-20220119002/sub-20220119002_ses-20220119T165903_slice-20220119002_cell-20220119002_icephys.nwb	sub-20220119003/sub-20220119003_ses-20220119T194445_slice-20220119003_cell-20220119003_icephys.nwb	sub-20220119004/sub-20220119004_ses-20220119T200600_slice-20220119004_cell-20220119004_icephys.nwb	sub-20220218001/sub-20220218001_ses-20220218T181126_slice-20220218001_cell-20220218001_icephys.nwb	sub-20220317001/sub-20220317001_ses-20220317T155206_slice-20220317001_cell-20220317001_icephys.nwb	sub-20220317002/sub-20220317002_ses-20220317T170214_slice-20220317002_cell-20220317002_icephys.nwb	sub-20220317003/sub-20220317003_ses-20220317T174455_slice-20220317003_cell-20220317003_icephys.nwb	sub-20220317004/sub-20220317004_ses-20220317T190549_slice-20220317004_cell-20220317004_icephys.nwb	sub-20220330001/sub-20220330001_ses-20220330T163935_slice-20220330001_cell-20220330001_icephys.nwb
2023-04-10	6403657	0	0	0	0	0	0	0	0	0	0	0	18088356	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7000933	0	0
2023-05-01	0	0	0	0	0	0	0	0	0	0	7656750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8800475	0	0	0	0	0	8643512	0
2023-05-15	0	0	6661431	9045012	0	0	0	0	0	0	0	0	0	0	0	0	8892776	0	0	0	0	0	0	0	0
2023-05-22	0	0	6661431	4981816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-29	0	0	0	4347632	6403657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	17330671	0	0	4305168	0	0	0	0	0	0	7656750	0	0	0	0	0	0	5242880	0	0	6959769	0	0	0	0
2023-06-12	0	0	0	4726392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-19	0	0	0	32240044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	94234444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	0	0	0	4380496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	0	0	0	4852000	0	0	0	0	0	7339798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-17	0	11788221	0	5040896	0	0	0	0	0	0	0	0	10750968	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	0	0	0	4198144	0	0	0	0	17310985	0	0	0	0	8921372	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	0	0	0	4801968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-07	0	18159165	0	4434152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	0	0	0	4223336	0	0	0	6370944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	0	0	0	4354608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	0	4889256	0	0	0	0	0	0	0	0	0	0	0	0	0	17600950	0	0	0	0	0	8643512	0
2023-09-04	34661342	0	0	4807368	17971174	5456578	0	16544445	0	0	0	0	18088356	0	0	17862076	18059833	0	17739921	0	22688409	0	17367152	8643512	17292320
2023-09-11	0	0	0	4267152	0	0	0	0	0	0	0	0	0	0	0	0	0	6370944	7254161	0	0	0	0	0	0
2023-09-18	0	0	0	3235056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	0	0	0	4743632	0	0	0	0	0	0	0	0	0	0	0	0	0	8800475	0	0	0	0	0	0	0
2023-10-02	34661342	0	0	1217328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	0	11788221	0	0	0	0	0	0	0	0	0	0	7602596	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	716232	0	0	0	0	0	0	0	0	0	0	0	0	0	17600950	0	0	0	0	0	8643512	8388608
2023-10-30	17330671	8388608	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8800475	0	9185942	0	0	0	8643512	0
2023-11-06	0	0	0	1303832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	69322684	0	0	595264	0	0	0	0	0	0	0	7364887	0	0	0	0	0	0	0	0	0	0	0	8643512	0
2023-11-20	0	0	0	19703024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	0	0	17147191	9842972	17971174	5456578	17550576	0	17477612	17825558	18142510	0	18088356	8921372	18585092	17862076	18059833	0	17739921	17574550	0	17428484	0	0	17292320
2023-12-04	17330671	22273981	17147191	18716208	17971174	5456578	17550576	16544445	17477612	17825558	18142510	17850647	18088356	8921372	18585092	17862076	18059833	8800475	17739921	17574550	22688409	17428484	17367152	8643512	17292320
2023-12-11	0	0	0	1612304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8643512	0
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8800475	0	0	0	0	0	8643512	0
2024-01-15	34661342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	15534579	21840098	28073014	22979824	48929696	29271678	24897380	25943378	22920904	17883738	4446388	37112818	4446388	15110004	0	20995832	33976074	17653766	15818597	25553828	21093197	25991356	34883124	16713336	12069920
2024-01-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8099332	0	0	0	0	0	0	0	0	0	0
2024-03-04	0	0	0	36180048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	120628283	113941792	138785902	33521771	90584384	30769399	95843908	70456572	104534384	120446832	86156054	124251650	42220104	24157495	67354456	75354632	115183435	2190012	111091472	83114166	50526009	131448028	115150492	132728	74960896
2024-03-18	29112142	57126911	35033394	24532352	63677840	20187912	70757216	46632031	47085256	27210096	312771000	55101213	49888408	19152500	33345408	34867884	44802690	25607347	59509730	41685644	46509338	69286248	79526980	39615648	23584796
2024-03-25	22732219	12361661	24713070	254073576	61206572	20954820	29527332	45702935	44463860	31358274	26177748	282939082	17312344	31270416	205975024	41915860	382625446	29703601	36563122	50503722	46868427	26482312	36780928	13171424	303873000
2024-04-01	12415471	6370944	18571546	4446388	421002926	10093956	18018356	16566589	12255212	10817332	0	12730647	210679392	144329904	20488260	21720128	12018233	6437308	20640337	0	20069197	19780864	17798896	12352224	11353120
2024-04-08	196127276	0	0	0	0	81848670	0	272032254	85774888	0	0	0	0	0	0	0	0	0	0	322169714	313701511	367899852	0	0	0
2024-04-15	19329663	218448512	455919244	3915476	21093660	9083766	180381408	10195645	0	159068004	6238216	18039767	0	5644572	13055492	111510620	12018233	168738680	11083921	12280078	20069197	6437308	467020364	162796220	11353120
2024-04-22	0	359842317	0	0	299687578	0	306723112	0	362524504	452227926	0	0	392030324	0	0	85609560	0	0	0	157495048	0	0	0	173536756	0
2024-04-29	0	0	0	0	0	0	0	778847100	0	0	0	339149543	0	0	0	0	0	0	0	176906600	0	137822964	0	508813216	0
2024-05-06	209133760	0	0	0	511385352	0	0	0	333761216	0	0	0	0	271397176	0	0	186278083	0	0	283579750	0	295464144	223160644	0	0
2024-05-13	0	0	336334403	366095059	0	114588138	0	0	0	206706226	97151434	0	0	0	249671712	0	0	0	0	0	265932217	0	0	0	0
2024-05-20	0	0	0	192744392	0	0	420236580	0	511714476	0	0	0	0	219249392	0	102883268	0	416170756	0	193185290	0	0	0	0	0
2024-05-27	0	327780854	0	285091720	0	0	0	0	0	460358616	266163742	294957157	342823300	0	0	0	0	0	0	0	406530682	0	423154388	0	0
2024-06-03	189733133	0	352781872	0	0	0	0	190986425	0	0	0	181215150	0	0	0	0	341651616	0	0	389722514	413760629	238036212	0	0	0
2024-06-10	0	0	0	0	404517452	0	0	118196721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-17	0	0	0	0	0	0	12277340	0	0	0	0	0	7830952	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	24829803	52098554	12690743	11394248	6238216	23661320	6437308	18860437	13545452	14155542	21843866	6901856	13631908	12408732	24599252	0	14127673	6370944	27628157	17849818	4446388	20205712	12255344	14045492	21312248
2024-07-29	11547336	0	0	0	0	4446388	0	0	11746428	5441848	10220056	0	4446388	6769128	11480972	132728	8892776	0	10020964	7034584	4446388	9954600	0	0	12476432
2024-08-26	5176392	0	15728268	24308732	11547336	5456578	0	17918280	19577380	6370944	9755508	10419148	26981132	17415964	20108292	6769128	30659340	8933203	21634664	28403792	25815596	6370944	23758312	8643512	20108292
2024-09-02	0	0	0	0	0	0	0	0	0	0	0	0	18088356	0	0	0	0	8800475	0	35149100	0	0	0	0	69169280
2024-09-09	0	0	0	63315084	0	0	0	0	0	0	0	0	0	0	18585092	57853100	0	0	0	0	13919538	0	0	0	0
2024-09-16	20826311	24581693	12690743	13650624	20293196	10820470	25573872	18196797	27090904	5441848	0	20680991	0	13736012	6968220	4512752	7300040	6437308	14200977	18248002	21352725	6769128	12255344	12917304	14277664
2024-09-23	103984026	89095924	68588764	9045012	17971174	5456578	70202304	66177780	34955224	53476674	54427530	53551941	54265068	26764116	55755276	71448304	54179499	26401425	53219763	52723650	68065227	34856968	34734304	17287024	17292320
2024-09-30	17330671	22273981	17147191	0	0	0	17550576	24043577	17477612	0	18142510	0	0	0	18585092	17862076	18059833	8800475	17739921	0	0	0	0	0	0
2024-10-07	0	0	17147191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8800475	0	0	0	0	0	0	0
2024-10-21	17330671	32294945	33605463	9045012	26863950	9902966	17550576	22716297	27631304	22736494	28229838	17850647	29768420	17814148	18585092	17862076	20847121	17600950	17739921	27993698	22688409	17428484	33161784	8643512	17292320
2024-10-28	0	20855249	0	11525320	36339096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-04	18503571	17935233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-11	0	11680064	0	124002956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	9699748	0	0	0	0	0	0	0	0	0	0	0	8903712
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	0	4446388	0	0	0	0	0	0	0	0	0	5441848	861112	0
2025-03-31	17330671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	17330671	27516861	17147191	9045012	17971174	5456578	17550576	16544445	17477612	17825558	18142510	17850647	18088356	8921372	18585092	17862076	18059833	8800475	17739921	17574550	22688409	17428484	17367152	8643512	17292320
2025-05-05	17330671	27516861	17147191	9045012	0	5456578	17550576	16544445	17477612	17825558	0	17850647	18088356	8921372	18585092	17862076	18059833	8800475	0	17574550	22688409	17428484	17367152	8643512	0
2025-06-09	34661342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-30	11945520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	27516861	17147191	0	17971174	0	0	0	0	17825558	0	0	0	8921372	18585092	0	18059833	0	0	17574550	22688409	17428484	0	8643512	17292320
2025-08-04	17343990	36180	0	0	0	0	0	0	17477612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	17330671	0	0	9045012	0	0	0	0	0	0	0	0	18088356	0	0	0	0	0	17739921	0	0	0	0	0	0
