week_start	sub-Mouse12/sub-Mouse12_ses-Mouse12-120806_behavior+ecephys.nwb	sub-Mouse12/sub-Mouse12_ses-Mouse12-120807_behavior+ecephys.nwb	sub-Mouse12/sub-Mouse12_ses-Mouse12-120808_behavior+ecephys.nwb	sub-Mouse12/sub-Mouse12_ses-Mouse12-120809_behavior+ecephys.nwb	sub-Mouse12/sub-Mouse12_ses-Mouse12-120810_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130125_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130128_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130129_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130130_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130131_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130201_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130202_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130203_behavior+ecephys.nwb	sub-Mouse17/sub-Mouse17_ses-Mouse17-130204_behavior+ecephys.nwb	sub-Mouse20/sub-Mouse20_ses-Mouse20-130514_behavior+ecephys.nwb	sub-Mouse20/sub-Mouse20_ses-Mouse20-130515_behavior+ecephys.nwb	sub-Mouse20/sub-Mouse20_ses-Mouse20-130516_behavior+ecephys.nwb	sub-Mouse20/sub-Mouse20_ses-Mouse20-130517_behavior+ecephys.nwb	sub-Mouse20/sub-Mouse20_ses-Mouse20-130520_behavior+ecephys.nwb	sub-Mouse24/sub-Mouse24_ses-Mouse24-131213_behavior+ecephys.nwb	sub-Mouse24/sub-Mouse24_ses-Mouse24-131216_behavior+ecephys.nwb	sub-Mouse24/sub-Mouse24_ses-Mouse24-131217_behavior+ecephys.nwb	sub-Mouse24/sub-Mouse24_ses-Mouse24-131218_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140123_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140124_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140128_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140129_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140130_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140131_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140203_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140204_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140205_behavior+ecephys.nwb	sub-Mouse25/sub-Mouse25_ses-Mouse25-140206_behavior+ecephys.nwb	sub-Mouse28/sub-Mouse28_ses-Mouse28-140310_behavior+ecephys.nwb	sub-Mouse28/sub-Mouse28_ses-Mouse28-140311_behavior+ecephys.nwb	sub-Mouse28/sub-Mouse28_ses-Mouse28-140312_behavior+ecephys.nwb	sub-Mouse28/sub-Mouse28_ses-Mouse28-140313_behavior+ecephys.nwb	sub-Mouse28/sub-Mouse28_ses-Mouse28-140317_behavior+ecephys.nwb	sub-Mouse28/sub-Mouse28_ses-Mouse28-140318_behavior+ecephys.nwb	sub-Mouse32/sub-Mouse32_ses-Mouse32-140820_behavior+ecephys.nwb
2022-07-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1275068416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	13152612374	0	1404103206	0	16928210944	0	0	1891146361	0	1191182336	951805112	0	0	0	0	0	0	1233125376	0	0	0	805802678	0	0	1233125376	1174405120	1426063360	1233125376	0	0	0	0	0	0	0	0	0	0	0	1265964448
2022-08-08	0	1610612736	0	21311719037	0	1073741824	1073741824	0	375593402	0	0	2147483648	3244362988	2146952223	818330780	1073741824	1610612736	0	1313671884	769288466	0	0	536870912	1478320849	0	0	0	0	1719146503	1610612736	1073741824	536870912	1610612736	2684354560	0	1610612736	536870912	2684354560	2147483648	0
2022-08-22	30600917014	0	0	0	29992834258	2787606103	2464340826	3090717305	0	0	0	0	3244362988	0	1892072604	0	0	0	2387413708	0	5374889586	2240254646	2545277745	0	0	2509921813	2614726263	2859018250	0	0	0	2054037139	2293399299	3757771225	0	0	0	4291157614	3967964613	0
2022-08-29	0	3606049723	0	66794600294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7836956268	0	0	0	2552062673	0	0	0	0	0	0	2859337954	0	0	0	0	10875362674	0	0	0	0
2022-09-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3918478134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-10-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560381084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-14	0	0	0	5242880	0	0	6337293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	6403657	0	0	0	5242880	5242880	0	0
2022-12-12	89128960	138234336	135016151	166477221	73400320	192452468	284561934	253706053	359853795	176259404	140259775	184389890	250256256	153862147	114111863	324117706	212095026	267043644	259548030	105485163	227161778	211568664	239740279	264957204	157051053	129342994	98018124	244045747	206421428	133588166	263295817	266482351	186381693	136345167	228194129	183196911	117166537	306463433	227628256	160333092
2023-01-02	68254642	232303016	271192320	60525084	57671680	116665098	147458932	131066141	133123370	43766589	113910523	139460718	173171809	216572927	213256493	46852046	196368317	117826937	96855913	141020686	102795960	86669508	120282405	101104147	198557336	134153419	248430351	237843886	161824448	219526594	93272257	221686597	124962474	77476742	232965718	169059255	271857766	146695277	121807839	234626639
2023-02-06	172742043	105548659	103367279	0	737198139	177649862	48742951	654324037	104751408	128674223	85340352	114610434	155140334	133338119	140082396	146261628	195645565	124727855	290007448	92574966	188168142	100703204	124694204	76017617	120246933	121045122	47713840	67823070	122923919	91214973	88958597	87098529	41542926	116498719	671212323	79900380	69944897	41376602	76215826	45424806
2023-02-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2518662166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1146719863	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-27	0	0	0	0	0	0	0	0	76749242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
