week_start	sub-YMV01/sub-YMV01_ses-YMV01-170818_ecephys.nwb	sub-YMV02/sub-YMV02_ses-YMV02-170815_ecephys.nwb	sub-YMV03/sub-YMV03_ses-YMV03-170818_ecephys.nwb	sub-YMV04/sub-YMV04_ses-YMV04-170907_ecephys.nwb	sub-YMV05/sub-YMV05_ses-YMV05-170912_ecephys.nwb	sub-YMV06/sub-YMV06_ses-YMV06-170913_ecephys.nwb	sub-YMV07/sub-YMV07_ses-YMV07-170914_ecephys.nwb	sub-YMV08/sub-YMV08_ses-YMV08-170922_ecephys.nwb	sub-YMV09/sub-YMV09_ses-YMV09-171204_ecephys.nwb	sub-YMV10/sub-YMV10_ses-YMV10-171213_ecephys.nwb	sub-YMV11/sub-YMV11_ses-YMV11-171208_ecephys.nwb	sub-YMV12/sub-YMV12_ses-YMV12-171211_ecephys.nwb	sub-YMV13/sub-YMV13_ses-YMV13-180127_ecephys.nwb	sub-YMV14/sub-YMV14_ses-YMV14-180128_ecephys.nwb	sub-YMV15/sub-YMV15_ses-YMV15-180205_ecephys.nwb	sub-YMV16/sub-YMV16_ses-YMV16-180206_ecephys.nwb	sub-YMV17/sub-YMV17_ses-YMV17-180207_ecephys.nwb	sub-YMV18/sub-YMV18_ses-YMV18-180208_ecephys.nwb	sub-YMV19/sub-YMV19_ses-YMV19-180209_ecephys.nwb
2023-09-04	2113328	0	0	0	0	0	0	0	0	0	0	10020964	0	0	0	0	0	0	0
2023-09-11	1716832	0	0	0	29399252	0	0	0	0	0	16259180	0	0	0	0	0	6503672	533711688	0
2023-09-18	11481052	123835224	0	0	0	0	0	10020964	0	10485512	132728	0	0	0	10020964	6304580	0	0	5441848
2023-09-25	15498105897	15072695228	18084889189	10975731535	30734572841	31435610251	14027290832	28735518920	31355658880	12715865836	15192030576	12783759184	3682677160	14637880264	35874662132	33378783316	4179689060	41516409592	10234297048
2023-10-02	742664	0	29001068	8560128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	283960	64572172	0	0	0	0	0	0	2190012	9423688	0	8892776	0	8892776	0	0	12741888	0	7034584
2023-10-16	902768	6304580	0	0	0	0	16391908	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	15447354046	19226125185	20292568875	30662568893	52662294486	0	0	0	0	0	30979129344	47757516278	43003994149	48949939611	99712618717	59987773353	61376922457	0
2023-10-30	28627944	0	0	0	0	0	0	0	0	132728	35072770048	0	0	6437308	0	0	8826412	0	0
2023-11-06	638376	0	0	0	11547336	0	0	7233676	0	0	0	0	0	0	0	0	0	10352784	9357324
2023-11-13	517776688	0	0	0	0	0	0	0	0	0	6370944	0	8892776	0	0	0	17984644	0	9224596
2023-11-20	523597525	0	0	0	0	0	0	0	0	0	0	39615478890	0	0	0	0	0	0	0
2023-11-27	230192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	27624869	28043966	21455745	28837675	28421053	26569707	33047013	27127932	36643172	26851823	31525720	30686314	36822518	22863909	28626331	26595549	29534281	24740697	29146156
2023-12-11	74391645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-15	0	81163172	35770196	33512992	56343036	0	6304580	408944640	0	0	524288000	524288000	0	524288000	0	0	0	0	0
2024-01-22	1947194	2880892	7209037	9781790	5624117	13004423	18087530	10473860	3873824	7482543	5574864	7106212	1565806	1613898	6095635	4119670	8249949	18796274	6370944
2024-02-19	199229440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	54826554	0	10419148	0	0	0	0	0	0	0	9423688	0	0	11812792	0	0	0	0	0
2024-03-11	53042601	50259730	6424085	37830016	30089857	23580795	5164325	17841060	21105496	58126115	29827880	45093222	26933950	23162796	15729588	9311529	12609160	9443801	33673796
2024-03-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225280	0
2024-03-25	4137206	8859360	8999058	9353278	15108762	13904190	9786322	10768868	22133552	544834573	203810324	15286330	10179744	7918478	15056457	118627329	6536014	23123482	8875736
2024-04-01	8605457	7745026	10286420	9020627	3771633	9158232	8144997	126814776	127964548	9828115	6370944	6503672	2866678	10352784	97239478	913629	0	9070237	5009584
2024-04-08	0	0	54735237	0	0	0	57688064	0	0	0	0	8361864	65719798	0	0	0	76255232	0	0
2024-04-15	0	0	1130780084	14621116	0	0	78569665	0	0	233831051	0	0	814391296	0	0	0	0	0	0
2024-04-22	2190012	31348092	31318701	7560963	28487513	22473707	8144997	176421168	579247888	7233676	17413652	22132826	10220056	0	21313623	707932823	166774480	149328729	0
2024-04-29	0	0	148078592	161792468	0	0	0	0	0	0	47239168	209685610	0	0	586121216	0	6304580	0	0
2024-05-06	0	47178696	0	0	204519290	0	15855616	0	0	0	0	0	0	334270464	0	0	79437824	635883520	107646976
2024-05-13	61836503940	0	10087328	0	0	545234944	0	0	0	720702819	0	0	0	0	0	192549527	0	0	0
2024-05-20	79210838016	208834560	0	0	42000384	124775546	0	109124424	17990996	0	0	31449088	0	9224596	0	0	0	0	0
2024-05-27	15590687505	0	0	415162004	0	0	7651328	0	10220056	0	0	0	2489256438	909660160	0	0	257519055	12874616	0
2024-06-03	15410023197	651740800	0	0	5246976	122303425	0	0	0	41955328	0	0	0	0	920125440	0	0	60397998	0
2024-06-10	15410023197	0	0	0	0	0	0	549662720	155004928	0	0	0	0	0	7830952	0	0	0	0
2024-07-08	236338345	25370942	31863620	34427155	3217017	33175996	0	27259004	22749540	24361455	25458196	22559850	23453174	27912541	4446388	8729765	2795593	9353689	22723628
2024-07-15	36539352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-22	34948848	0	12343704	9158232	0	9954600	10020964	20041928	0	10020964	12144612	10087328	0	0	4446388	12476432	13803712	11945520	13737348
2024-08-05	20412371518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	586469003	0	19232429765	11480972	24289224	17999949097	9888236	8892776	14998264	13870076	8627320	17539393927	10551876	0	4380024	12675524	16524636	10020964	0
2024-09-02	0	0	0	0	0	15612696507	0	0	0	33795337915	30344487172	46806992736	0	18347927314	0	93342110980	79706365662	0	0
2024-09-09	13405528	11819649384	53881475	16169026839	26737243957	138446722	69741350384	31873881220	31140015668	0	204882960	0	24883837232	0	43985582548	0	0	57889475581	19027165052
2024-09-16	33916949	53813092	60816770	64193926	49158457	62397254	34636746	58833324	66560024	58181498	53997412	60347112	4446388	51971002	53937650	26595549	2795593	32040737	2322740
