asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-BAYLORGC83/sub-BAYLORGC83_ses-20190822_ecephys+ogen.nwb	20795894118	1456	21	10
sub-BAYLORGC78/sub-BAYLORGC78_ses-20190703_ecephys+ogen.nwb	15862513534	1440	34	17
sub-BAYLORGC94/sub-BAYLORGC94_ses-20191204_ecephys+ogen.nwb	16228563450	1217	20	9
sub-BAYLORGC50/sub-BAYLORGC50_ses-20181206_ecephys+ogen.nwb	17960489226	19389	133	112
sub-BAYLORGC72/sub-BAYLORGC72_ses-20190514_ecephys+ogen.nwb	20915184466	12180	135	113
sub-BAYLORGC81/sub-BAYLORGC81_ses-20190917_ecephys+ogen.nwb	15969917160	1972	34	15
sub-BAYLORGC86/sub-BAYLORGC86_ses-20190801_ecephys+ogen.nwb	15703535919	3246	35	14
sub-BAYLORGC93/sub-BAYLORGC93_ses-20191202_ecephys+ogen.nwb	15755373442	2448	24	13
sub-BAYLORGC4/sub-BAYLORGC4_ses-20180322_ecephys+ogen.nwb	15561780006	16720	135	113
sub-BAYLORGC91/sub-BAYLORGC91_ses-20191003_ecephys+ogen.nwb	19905382326	1155	21	10
sub-BAYLORGC26/sub-BAYLORGC26_ses-20181025_ecephys+ogen.nwb	16891565342	22834	136	114
sub-BAYLORGC75/sub-BAYLORGC75_ses-20190609_ecephys+ogen.nwb	20128926918	24350	134	111
sub-BAYLORGC100/sub-BAYLORGC100_ses-20200114_ecephys+ogen.nwb	13085853222	3701	39	31
sub-BAYLORGC61/sub-BAYLORGC61_ses-20190223_ecephys+ogen.nwb	13581780546	15197	138	113
sub-BAYLORGC21/sub-BAYLORGC21_ses-20180719_ecephys+ogen.nwb	19147588914	23426	139	114
sub-BAYLORGC18/sub-BAYLORGC18_ses-20180531_ecephys+ogen.nwb	17624070006	24867	138	115
sub-BAYLORGC80/sub-BAYLORGC80_ses-20190708_ecephys+ogen.nwb	16796172389	1838	32	16
sub-BAYLORGC81/sub-BAYLORGC81_ses-20190920_ecephys+ogen.nwb	16610579065	2774	33	14
sub-BAYLORGC88/sub-BAYLORGC88_ses-20190826_ecephys+ogen.nwb	15364352214	1810	25	11
sub-BAYLORGC95/sub-BAYLORGC95_ses-20191216_ecephys+ogen.nwb	10212816914	1183	21	10
sub-BAYLORGC86/sub-BAYLORGC86_ses-20190726_ecephys+ogen.nwb	11388258490	2691	28	13
sub-BAYLORGC84/sub-BAYLORGC84_ses-20190719_ecephys+ogen.nwb	14470902058	2372	22	12
sub-BAYLORGC4/sub-BAYLORGC4_ses-20180321_ecephys+ogen.nwb	16341866534	15873	136	111
