region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/VA	1010374074	265	3	4
GitHub	4793931417	139855	119	160
POL/12	275063894	7	7	0
AWS/us-east-2	1061547358	15483	1	19
CAN/QC	78589684	16	0	2
USA/ME	392948420	10	10	0
VPN	649088054	104	25	2
AWS/us-east-1	81900530	9	4	1
GCP/us-central1	432243262	11	11	0
USA/CA	130415182	91	9	4
USA/MD	123703656	315	5	3
GBR/ENG	707307156	18	18	0
PRT/11	314358736	8	8	0
CHN	39294842	8	0	1
DEU/HE	39294842	1	1	0
NLD/UT	196474210	5	5	0
USA/WA	2223714614	61	61	0
DEU/NW	824786144	21	21	0
NOR/50	453268298	91	0	2
JPN/13	19356482	88	1	1
USA	9821872	1	1	0
CHE/VD	41291470	5	3	1
VNM/SG	78589684	2	2	0
GBR/SCT	48253982	2	2	0
USA/MA	119484178	17	0	7
NLD/NH	196474210	5	5	0
USA/NM	39294842	1	1	0
USA/NV	94947445	3	2	1
IND/MH	78589684	2	2	0
USA/NY	78589684	2	2	0
GBR	39294842	1	1	0
IND	6570036	1	1	0
USA/RI	83832564	17	0	1
NLD	39294842	1	1	0
VEN/K	8030044	1	1	0
DEU/BW	39294842	1	1	0
ESP/VC	39294842	1	1	0
GCP/us-east4	39294842	1	1	0
CHE/AG	4216968	2	1	1
IRQ/BA	4114568	1	1	0
EST/37	39294842	1	1	0
MEX/CMX	10242888	13	6	5
PAK/PB	1128188	1	1	0
SGP	78589684	2	2	0
PHL/40	1061824	1	1	0
VNM/HN	929096	1	1	0
USA/IL	4681516	2	1	1
FRA/IDF	6315996	8	4	3
CHN/SH	5242888	1	0	1
