week_start	sub-Cori/sub-Cori_ses-20161214T120000.nwb	sub-Cori/sub-Cori_ses-20161217T120000.nwb	sub-Cori/sub-Cori_ses-20161218T120000.nwb	sub-Forssmann/sub-Forssmann_ses-20171101T120000.nwb	sub-Forssmann/sub-Forssmann_ses-20171102T120000.nwb	sub-Forssmann/sub-Forssmann_ses-20171104T120000.nwb	sub-Forssmann/sub-Forssmann_ses-20171105T120000.nwb	sub-Hench/sub-Hench_ses-20170615T120000.nwb	sub-Hench/sub-Hench_ses-20170616T120000.nwb	sub-Hench/sub-Hench_ses-20170617T120000.nwb	sub-Hench/sub-Hench_ses-20170618T120000.nwb	sub-Lederberg/sub-Lederberg_ses-20171205T120000.nwb	sub-Lederberg/sub-Lederberg_ses-20171206T120000.nwb	sub-Lederberg/sub-Lederberg_ses-20171207T120000.nwb	sub-Lederberg/sub-Lederberg_ses-20171208T120000.nwb	sub-Lederberg/sub-Lederberg_ses-20171209T120000.nwb	sub-Lederberg/sub-Lederberg_ses-20171210T120000.nwb	sub-Lederberg/sub-Lederberg_ses-20171211T120000.nwb	sub-Moniz/sub-Moniz_ses-20170515T120000.nwb	sub-Moniz/sub-Moniz_ses-20170516T120000.nwb	sub-Moniz/sub-Moniz_ses-20170518T120000.nwb	sub-Muller/sub-Muller_ses-20170107T120000.nwb	sub-Muller/sub-Muller_ses-20170108T120000.nwb	sub-Muller/sub-Muller_ses-20170109T120000.nwb	sub-Radnitz/sub-Radnitz_ses-20170108T120000.nwb	sub-Radnitz/sub-Radnitz_ses-20170109T120000.nwb	sub-Radnitz/sub-Radnitz_ses-20170110T120000.nwb	sub-Radnitz/sub-Radnitz_ses-20170111T120000.nwb	sub-Radnitz/sub-Radnitz_ses-20170112T120000.nwb	sub-Richards/sub-Richards_ses-20171029T120000.nwb	sub-Richards/sub-Richards_ses-20171030T120000.nwb	sub-Richards/sub-Richards_ses-20171031T120000.nwb	sub-Richards/sub-Richards_ses-20171101T120000.nwb	sub-Richards/sub-Richards_ses-20171102T120000.nwb	sub-Tatum/sub-Tatum_ses-20171206T120000.nwb	sub-Tatum/sub-Tatum_ses-20171207T120000.nwb	sub-Tatum/sub-Tatum_ses-20171208T120000.nwb	sub-Tatum/sub-Tatum_ses-20171209T120000.nwb	sub-Theiler/sub-Theiler_ses-20171011T120000.nwb
2021-04-19	134217728	243269632	220946283	330509841	129154656	218498401	197097254	297123688	276824064	243269632	184549376	187662223	301989888	118716642	234881024	132886416	90362664	262751888	150994944	303668667	100663296	176160768	194639024	192937984	159383552	109051904	352321536	203564508	182129000	109051904	142606336	92274688	109051904	109051904	251658240	150994944	213292627	268435456	226492416
2021-04-26	3284549	0	0	0	2920016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-03	320408331	0	573267819	0	8627320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10053677	0	10916409	0	9888236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-10	0	0	0	0	0	310773089	280983334	0	515855832	596786816	0	372211599	619346872	0	394827803	0	0	0	0	429497787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-31	0	0	0	422784529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-07	284168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-28	14499182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-02	668225932	734327596	147589605	0	60092133	127366438	0	265068745	270227284	0	243600460	282869157	58864868	0	0	267104144	0	0	0	0	0	0	0	251497776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-09	92028077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432383568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-23	0	0	0	0	0	0	0	0	0	0	0	0	1351346165	0	0	0	864767136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-30	311814662	332879362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-12-13	0	332879362	573267819	0	0	0	0	615890792	0	596786816	0	372211599	619346872	286488802	394827803	0	0	355026576	416303544	429497787	366732376	0	295302320	0	770096828	0	0	346170844	358289768	299965420	0	204150135	544151392	0	971564530	342873376	0	0	0
2022-02-14	311814662	0	0	597881014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-07	0	0	573267819	0	347258464	0	280983334	0	0	596786816	0	0	619346872	286488802	0	0	0	355026576	0	0	0	443613734	0	0	0	283392876	498000376	0	358289768	0	315079362	408300270	0	0	485782265	0	0	759859970	0
2022-04-04	23161036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
