week_start	sub-2021-12-03-w00-NP1/sub-2021-12-03-w00-NP1_ses-20211203_ophys.nwb	sub-2022-01-22-w04-NP1/sub-2022-01-22-w04-NP1_ses-20220122_ophys.nwb	sub-2022-02-11-w03-NP1/sub-2022-02-11-w03-NP1_ses-20220211_ophys.nwb	sub-2022-02-12-w00-NP1/sub-2022-02-12-w00-NP1_ses-20220212_ophys.nwb	sub-2022-02-12-w01-NP1/sub-2022-02-12-w01-NP1_ses-20220212_ophys.nwb	sub-2022-02-22-w04-NP1/sub-2022-02-22-w04-NP1_ses-20220222_ophys.nwb	sub-2022-03-05-w00-NP1/sub-2022-03-05-w00-NP1_ses-20220305_ophys.nwb	sub-2022-04-01-w00-NP1/sub-2022-04-01-w00-NP1_ses-20220401_ophys.nwb	sub-2022-04-26-w00-NP1/sub-2022-04-26-w00-NP1_ses-20220426_ophys.nwb	sub-2022-04-26-w01-NP1/sub-2022-04-26-w01-NP1_ses-20220426_ophys.nwb
2026-03-16	26399724	12053472	0	21814164	0	15787428	22862292	0	0	19259352
2026-03-23	4331804	0	4532068	4536604	0	0	0	0	89712084	104066800
2026-03-30	4593364	4592668	1330452	5926204	1278080	4811872	4681144	4736884	47241192	57704232
2026-04-06	197074360	197073664	233271420	224135416	216277400	261801820	216274048	216264280	8337835906	8412993256
2026-04-13	516874792	516938212	566698996	564567808	567196960	566727484	563452948	619039936	19626077470	19838808760
2026-04-20	15721920	0	0	23320848	0	17490636	22469244	1965240	0	25286088
2026-04-27	0	0	0	9760692	0	0	0	0	0	0
2026-05-04	4695764	0	0	1340644	4750004	0	0	4671376	45649714	0
2026-05-11	0	197073664	0	4943584	1540112	0	0	0	44994634	0
2026-05-18	666655668	461762260	674656036	697503816	484906640	487712564	491381876	499803104	8512264140	9036649116
2026-05-25	200448372	3439520	220509376	4127704	16844532	6873108	18604972	4245160	50243196	57888692
2026-06-01	395569084	395306132	434055504	459145160	432554800	432547520	434084856	433859028	16675671812	16825986512
2026-06-08	839040600	125857512	137866592	137506832	136208448	133645008	166631432	132291060	1101776666	388064976
2026-06-15	119385164	0	3119460	35042240	2161764	0	30717896	0	55924218	96701288
2026-06-22	402599252	1175558244	435189432	435693296	432554800	435298856	434709860	432528560	16675671812	16829261912
