region	bytes_sent
GitHub	10418160910
US/California	1234377442
US/Washington	939557259
AU/South Australia	934207317
CA/Ontario	727876113
AWS/us-east-1	675389606
IN/Maharashtra	586023582
CH/Vaud	470876305
GCP/europe-west4	469952284
US/Massachusetts	467923395
US/New Mexico	466999374
AT/Tyrol	463147031
CA/Quebec	452230797
GCP/us-central1	367545980
VPN	361964659
DE/Baden-Wurttemberg	347920534
AWS/us-east-2	281852943
NL/North Holland	261624058
FR/Grand Est	234976142
GCP/asia-east1	234976142
MX/Nuevo León	234976142
GCP/us-west1	234976142
GCP/us-west4	234976142
IR/Tehran	221867541
US/New York	78127801
GB/England	63451427
AWS/ap-southeast-1	41039008
CN/Shanghai	27622725
US/Wisconsin	16709080
PT/Lisbon	13666990
US/Texas	12012273
US/Maryland	11470904
HK/Hong Kong	8493447
US/Rhode Island	6451246
IT/Veneto	6067012
VN/Ho Chi Minh	3781848
FR/Centre	2772063
GCP/us-east4	2755390
IN/Delhi	2389859
DE/Bavaria	1848042
IT/Friuli Venezia Giulia	1848042
US/Ohio	1848042
PL/Mazovia	1848042
US/Florida	1848042
RU/St.-Petersburg	1848042
VN/Kiên Giang Province	1533027
CA/British Columbia	1157616
NO/Oslo	924021
US/New Jersey	924021
AWS/us-west-2	924021
DE/North Rhine-Westphalia	924021
US/South Carolina	924021
SA/Riyadh Region	924021
US/Indiana	715794
