week_start	sub-CS41/sub-CS41_ses-P41CSR1_behavior+ecephys.nwb	sub-CS41/sub-CS41_ses-P41CSR2_behavior+ecephys.nwb	sub-CS42/sub-CS42_ses-P42CSR1_behavior+ecephys.nwb	sub-CS42/sub-CS42_ses-P42CSR2_behavior+ecephys.nwb	sub-CS43/sub-CS43_ses-P43CSR1_behavior+ecephys.nwb	sub-CS43/sub-CS43_ses-P43CSR2_behavior+ecephys.nwb	sub-CS44/sub-CS44_ses-P44CSR1_behavior+ecephys.nwb	sub-CS47/sub-CS47_ses-P47CSR1_behavior+ecephys.nwb	sub-CS47/sub-CS47_ses-P47CSR2_behavior+ecephys.nwb	sub-CS48/sub-CS48_ses-P48CSR1_behavior+ecephys.nwb	sub-CS48/sub-CS48_ses-P48CSR2_behavior+ecephys.nwb	sub-CS49/sub-CS49_ses-P49CSR1_behavior+ecephys.nwb	sub-CS49/sub-CS49_ses-P49CSR2_behavior+ecephys.nwb	sub-CS51/sub-CS51_ses-P51CSR1_behavior+ecephys.nwb	sub-CS51/sub-CS51_ses-P51CSR2_behavior+ecephys.nwb	sub-CS53/sub-CS53_ses-P53CSR1_behavior+ecephys.nwb	sub-CS53/sub-CS53_ses-P53CSR2_behavior+ecephys.nwb	sub-CS54/sub-CS54_ses-P54CSR1_behavior+ecephys.nwb	sub-CS54/sub-CS54_ses-P54CSR2_behavior+ecephys.nwb	sub-CS55/sub-CS55_ses-P55CSR1_behavior+ecephys.nwb	sub-CS55/sub-CS55_ses-P55CSR2_behavior+ecephys.nwb	sub-CS56/sub-CS56_ses-P56CSR1_behavior+ecephys.nwb	sub-CS56/sub-CS56_ses-P56CSR2_behavior+ecephys.nwb	sub-CS57/sub-CS57_ses-P57CSR1_behavior+ecephys.nwb	sub-CS57/sub-CS57_ses-P57CSR2_behavior+ecephys.nwb	sub-CS58/sub-CS58_ses-P58CSR1_behavior+ecephys.nwb	sub-CS60/sub-CS60_ses-P60CSR1_behavior+ecephys.nwb	sub-CS62/sub-CS62_ses-P62CSR1_behavior+ecephys.nwb	sub-CS62/sub-CS62_ses-P62CSR2_behavior+ecephys.nwb
2024-02-26	1085792235	835284469	0	894307064	0	834923452	2052553420	927817738	0	1625975062	988293480	1257984064	946447895	1244681559	0	1033846161	882270191	0	1127644867	0	820276509	1364000582	80181792	910108268	0	7729944	7336896	1141998613	492201332
2024-03-04	6598982710	2161116636	989142302	2200295580	3694008812	2060818460	3175828196	1855635476	1795370242	3039062070	2964880440	2515968128	946447895	3734044677	3682046664	1033846161	3529080764	3398966085	1311656839	1849458072	1622341794	1390340948	2966245493	929633236	1325454452	815928563	1718608098	548202540	1476603996
2024-03-11	3203716896	2730433180	1828198608	2206919632	1385751548	2527642140	1997390772	949654952	2708868351	1047528431	999168190	1268121532	959117366	19134199	1239474000	1047545094	1766776734	1445657982	1131654534	934686252	1639777192	1196118996	2424499537	939361771	971665288	1645265661	2760469563	556864956	994965960
2024-03-18	1939544016	1200227212	932246834	50638216	23171132	28200984	42988040	956176434	926366144	34012194	1002867564	1539494476	39236990	1286239110	1268961980	1064818029	899778913	1326854859	1171367406	952719036	830970696	25532074	27630310	945378508	961480896	847483790	951769483	571099548	26480580
2024-03-25	3850560359	2422366545	3681290654	3600877716	4165071192	857262160	2005869616	1892613896	1809207423	8234482234	2993346796	4747379764	2852036117	4898955209	4764941180	2510433931	911514817	2632262356	2277388877	2790398388	2463401706	3430788300	1224375697	921606978	1882434382	2460378159	1841154650	1831702396	997558168
2024-04-01	2935113223	2413973220	1832391120	2692301208	2039592376	1676266688	2986628424	1865262018	1798619979	2032723196	991396560	3776205056	3789001472	2492342277	2596929464	1043026166	1162501718	3401458780	2230123910	1031238028	2461191864	2288268954	3210094080	910108268	2814778928	1641616305	2745813531	2200654076	500875340
2024-04-08	1858640798	2595656524	2739055266	1954902156	3048709584	2504770356	2016691296	1855635476	897685121	1013020690	2964880440	1257984064	1986605188	2489363118	1227348888	2222717673	1764540382	3398966085	1127644867	2774187108	130982113	2357312418	2374557774	1820216536	935356986	2552382259	913830001	1096405080	999782708
2024-04-15	5000910100	3356645661	3657510852	2769203628	3137398620	3680006424	4167556108	5814959108	2034034528	6118864476	3009876484	6335208976	4789471586	3773537849	6166698712	1109566690	3607784391	3441025036	4523072268	2938634504	4096874982	4585643090	4899975573	2785259256	2124200908	4140151090	3855167937	1812578644	1882518568
2024-04-22	978933931	1684723937	1982295052	1919725784	1057768600	1686737216	1988915904	2783453214	1795370242	1013020690	2182645392	2531672128	1892895790	1550194543	2337257264	1033846161	901322267	14673792	1127644867	1996443200	811170897	1139766698	1187278887	2122663828	1870713972	1785326523	2741490003	1096405080	659588272
2024-04-29	1027402492	817957515	913018422	894307064	81644284	0	994457952	0	897685121	1013020690	1127550120	0	0	180179016	1227348888	1033846161	882270191	0	1127644867	1000849332	0	0	1308758190	1043909960	0	502850993	921756469	548202540	0
2024-05-06	0	59088272	144879560	0	0	151598424	0	0	0	141799610	0	43753224	0	1328298439	1558540216	0	0	0	0	0	127400803	128879196	0	84248740	0	0	0	434752104	0
2024-05-13	964960335	0	0	1137395628	1091482088	834923452	2110537940	1088001812	383430668	1013020690	1211871872	1257984064	542504600	1244681559	1143052872	1033846161	1103093345	188700245	2033272655	1849458072	154590716	2279533396	1187278887	1820216536	1015075956	815928563	393736305	1096405080	984402664
2024-05-20	1866436250	997904802	1922726384	1801126156	1026521284	846321844	0	927817738	28124801	1103860996	988293480	1257984064	1892895790	0	1227348888	1158616948	1043203559	2265977390	0	1084189104	0	1139766698	1187278887	910108268	0	1631857126	1827660002	548202540	492201332
2024-05-27	0	0	0	0	0	0	0	191992290	0	0	0	0	0	0	0	0	150671782	0	0	0	116753880	937569734	11601252	0	131808134	287504062	0	0	0
2024-06-03	7860960	12249996	214343190	0	198056640	99522052	0	0	0	0	199565944	110429832	0	0	0	12577536	0	0	0	0	0	0	0	0	10088232	0	69284057	0	0
2024-06-10	173588036	0	139392860	128686384	0	0	0	0	109686917	0	0	0	0	0	0	0	0	0	0	81177592	0	0	0	0	0	0	0	0	0
2024-06-17	2142900276	1978226042	1826036844	894307064	1016236528	834923452	0	0	0	0	988293480	0	946447895	0	0	0	882270191	0	1127644867	924729036	0	1139766698	1187278887	0	0	815928563	913830001	548202540	492201332
2024-06-24	1235527690	1394081015	286122616	1953184560	1782046152	220786052	1174568848	1668647968	1595894073	1049446722	1489874496	1738526260	1651338663	1843129991	1227348888	1075312725	1292952187	1132988695	1127644867	366595112	1448607341	1241332770	2437376362	1179067788	472943268	1657081290	1870050846	1121349292	984402664
2024-07-01	929320455	803882951	913018422	894307064	1016236528	834923452	1031190020	927817738	897685121	1134042638	988293480	1257984064	1046048727	0	0	1033846161	882270191	1132988695	1127644867	924729036	811170897	1139766698	1187278887	910108268	935356986	0	100714468	1096405080	984402664
2024-07-08	19721821433	6801883955	7058708651	2804120335	3681298250	2374800155	3300902996	1900735808	1854338870	2074659761	2000909724	2543837324	2858799561	1254596234	3692192316	2074112106	891516299	4661869071	4541069324	1936654838	2455580124	4622852062	4773566652	2736744588	1880306398	4905469961	3014154184	2199229944	2065898920
2024-07-15	0	0	11987964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-22	1680550479	91562264	1015079886	506509448	1094635268	60725916	1050375388	33984316	943406121	1051066502	1001322404	113088312	989876115	100052220	1216587656	1200889274	932784027	129552324	1127644867	942376772	794393681	1388776942	92497296	920130992	945379710	790231507	9695184	6681816	494162988
2024-07-29	1928537834	377520094	2739055266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	30461220	803882951	913018422	894307064	1016236528	834923452	994457952	927817738	897685121	1013020690	0	0	946447895	1244681559	1227348888	1033846161	882270191	1132988695	1127644867	0	0	1139766698	1187278887	910108268	935356986	0	0	548202540	492201332
2024-08-19	1819291775	1607765902	1826036844	894307064	2032473056	834923452	1988915904	927817738	897685121	3039062070	1976586960	2515968128	1892895790	1244681559	1227348888	3101538483	1764540382	1132988695	2255289734	924729036	823617417	3419300094	2374557774	910108268	0	815928563	1827660002	548202540	0
