week_start	sub-la-plaid-01-0119-nac-het-#2024-1-25/sub-la-plaid-01-0119-nac-het-#2024-1-25_ses-20240125T093800_behavior.nwb	sub-la-plaid-01-0124-nac-het-#2024-1-30/sub-la-plaid-01-0124-nac-het-#2024-1-30_ses-20240130T112900_behavior.nwb	sub-la-plaid-01-0126-nac-het-#2024-2-1/sub-la-plaid-01-0126-nac-het-#2024-2-1_ses-20240201T114900_behavior.nwb	sub-la-plaid-01-6dpf-0118-nac-het-#2024-1-18/sub-la-plaid-01-6dpf-0118-nac-het-#2024-1-18_ses-20240118T115100_behavior.nwb	sub-la-plaid-01-6dpf-1122-nac-het-#2023-11-28/sub-la-plaid-01-6dpf-1122-nac-het-#2023-11-28_ses-20231128T131400_behavior.nwb	sub-la-plaid-01-6dpf-1124-nac-het-#2023-11-30/sub-la-plaid-01-6dpf-1124-nac-het-#2023-11-30_ses-20231130T130400_behavior.nwb	sub-la-plaid-01-nac-het-#2023-10-26/sub-la-plaid-01-nac-het-#2023-10-26_ses-20231026T140200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-11-2/sub-la-plaid-01-nac-het-#2023-11-2_ses-20231102T140600_behavior.nwb	sub-la-plaid-01-nac-het-#2023-11-9/sub-la-plaid-01-nac-het-#2023-11-9_ses-20231109T130000_behavior.nwb	sub-la-plaid-01-nac-het-#2023-7-12/sub-la-plaid-01-nac-het-#2023-7-12_ses-20230712T133200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-7-13/sub-la-plaid-01-nac-het-#2023-7-13_ses-20230713T113500_behavior.nwb	sub-la-plaid-01-nac-het-#2023-7-19/sub-la-plaid-01-nac-het-#2023-7-19_ses-20230719T112100_behavior.nwb	sub-la-plaid-01-nac-het-#2023-7-26/sub-la-plaid-01-nac-het-#2023-7-26_ses-20230726T112200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-14/sub-la-plaid-01-nac-het-#2023-8-14_ses-20230814T105200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-2/sub-la-plaid-01-nac-het-#2023-8-2_ses-20230802T115900_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-24/sub-la-plaid-01-nac-het-#2023-8-24_ses-20230824T121300_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-3/sub-la-plaid-01-nac-het-#2023-8-3_ses-20230803T094300_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-30/sub-la-plaid-01-nac-het-#2023-8-30_ses-20230830T115300_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-31/sub-la-plaid-01-nac-het-#2023-8-31_ses-20230831T103000_behavior.nwb	sub-la-plaid-01-nac-het-#2023-9-13/sub-la-plaid-01-nac-het-#2023-9-13_ses-20230913T133200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-9-14/sub-la-plaid-01-nac-het-#2023-9-14_ses-20230914T122200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-9-20/sub-la-plaid-01-nac-het-#2023-9-20_ses-20230920T124900_behavior.nwb	sub-la-plaid-02-0117-nac-het-#2024-1-23/sub-la-plaid-02-0117-nac-het-#2024-1-23_ses-20240123T145100_behavior.nwb	sub-la-plaid-02-0119-nac-het-#2024-1-25/sub-la-plaid-02-0119-nac-het-#2024-1-25_ses-20240125T112700_behavior.nwb	sub-la-plaid-02-0126-nac-het-#2024-2-1/sub-la-plaid-02-0126-nac-het-#2024-2-1_ses-20240201T134000_behavior.nwb	sub-la-plaid-02-6dpf-0118-nac-het-#2024-1-18/sub-la-plaid-02-6dpf-0118-nac-het-#2024-1-18_ses-20240118T143800_behavior.nwb	sub-la-plaid-02-6dpf-0201-nac-het-#2024-2-9/sub-la-plaid-02-6dpf-0201-nac-het-#2024-2-9_ses-20240209T114100_behavior.nwb	sub-la-plaid-02-6dpf-1122-nac-het-#2023-11-28/sub-la-plaid-02-6dpf-1122-nac-het-#2023-11-28_ses-20231128T151800_behavior.nwb	sub-la-plaid-02-6dpf-1124-nac-het-#2023-11-30/sub-la-plaid-02-6dpf-1124-nac-het-#2023-11-30_ses-20231130T150700_behavior.nwb	sub-la-plaid-02-nac-het-#2023-10-26/sub-la-plaid-02-nac-het-#2023-10-26_ses-20231026T161400_behavior.nwb	sub-la-plaid-02-nac-het-#2023-11-9/sub-la-plaid-02-nac-het-#2023-11-9_ses-20231109T145500_behavior.nwb	sub-la-plaid-02-nac-het-#2023-7-13/sub-la-plaid-02-nac-het-#2023-7-13_ses-20230713T132300_behavior.nwb	sub-la-plaid-02-nac-het-#2023-7-26/sub-la-plaid-02-nac-het-#2023-7-26_ses-20230726T142800_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-14/sub-la-plaid-02-nac-het-#2023-8-14_ses-20230814T123900_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-16/sub-la-plaid-02-nac-het-#2023-8-16_ses-20230816T155500_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-2/sub-la-plaid-02-nac-het-#2023-8-2_ses-20230802T134700_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-24/sub-la-plaid-02-nac-het-#2023-8-24_ses-20230824T143100_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-3/sub-la-plaid-02-nac-het-#2023-8-3_ses-20230803T125200_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-30/sub-la-plaid-02-nac-het-#2023-8-30_ses-20230830T134100_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-31/sub-la-plaid-02-nac-het-#2023-8-31_ses-20230831T122700_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-9/sub-la-plaid-02-nac-het-#2023-8-9_ses-20230809T125600_behavior.nwb	sub-la-plaid-03-0119-nac-het-#2024-1-25/sub-la-plaid-03-0119-nac-het-#2024-1-25_ses-20240125T133900_behavior.nwb	sub-la-plaid-03-6dpf-0201-nac-het-#2024-2-9/sub-la-plaid-03-6dpf-0201-nac-het-#2024-2-9_ses-20240209T134400_behavior.nwb	sub-la-plaid-03-nac-het-#2023-10-26/sub-la-plaid-03-nac-het-#2023-10-26_ses-20231026T180100_behavior.nwb	sub-la-plaid-03-nac-het-#2023-7-13/sub-la-plaid-03-nac-het-#2023-7-13_ses-20230713T152100_behavior.nwb	sub-la-plaid-03-nac-het-#2023-8-14/sub-la-plaid-03-nac-het-#2023-8-14_ses-20230814T142800_behavior.nwb	sub-la-plaid-03-nac-het-#2023-8-24/sub-la-plaid-03-nac-het-#2023-8-24_ses-20230824T174000_behavior.nwb	sub-la-plaid-03-nac-het-#2023-8-31/sub-la-plaid-03-nac-het-#2023-8-31_ses-20230831T142200_behavior.nwb	sub-la-plaid-03-nac-het-#2023-8-9/sub-la-plaid-03-nac-het-#2023-8-9_ses-20230809T120000_behavior.nwb	sub-la-plaid-04-0119-nac-het-#2024-1-25/sub-la-plaid-04-0119-nac-het-#2024-1-25_ses-20240125T152900_behavior.nwb	sub-la-plaid-04-nac-het-#2023-10-26/sub-la-plaid-04-nac-het-#2023-10-26_ses-20231026T202000_behavior.nwb	sub-la-plaid01-6dpf-0201-nac-het-#2024-2-9/sub-la-plaid01-6dpf-0201-nac-het-#2024-2-9_ses-20240209T093500_behavior.nwb
2024-10-14	47722586	6642826	13388084	6812832	6354276	7070143	13094867	13869368	4651068	6242459	12570194	11783667	14667665	14187816	6747324	14783424	6782594	14547987	4680478	7570915	13109353	6821620	15177417	12700438	13216137	6550800	7198846	4127004	13651543	0	12731019	17376972	7437337	6934632	9433152	16756879	9469066	7645173	0	4192512	3995988	3930480	6858766	8577478	4520052	2882352	10301329	0	10380576	11841356	12031866	7478550
2024-10-28	6681816	10153740	0	10284756	0	4651068	0	8188500	5109624	7402404	10022724	0	8581548	7926468	9433152	7205880	10153740	0	5830212	10350264	7664436	10350264	8385024	7860960	7402404	0	4454544	0	0	10153740	8254008	6288768	7860960	0	6223260	7860960	0	4847592	7860960	7860960	0	0	8254008	9957216	7926468	0	0	0	10153740	6550800	7402404	0
2024-11-11	35315893	0	0	0	0	0	0	0	0	0	0	0	0	0	35462803	0	0	0	0	0	35001121	0	0	0	0	0	0	0	0	35314040	0	0	0	0	0	0	0	0	0	0	0	35871501	0	0	34653651	0	0	0	0	0	0	0
2024-11-18	0	0	0	0	0	0	0	0	45301068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	26988862	0	0	26652164	33554432	0	0	0	0	0	0	0	18710146	0	0	0	0	0	0	0	26915877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41943040	0	0	0	0
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409600	0	0	409600	0	0	0	0	0	0	0	0	0	4127004	0	0	409600	409600	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0	0
2025-06-23	24043118	18059526	36032144	36063551	42083338	12030862	18041855	12040500	30082981	30106921	6043081	18047306	30075037	24047178	18055717	24049783	24047702	30062564	18041274	24060980	36072464	30045108	24045001	24046634	18049948	12043015	6037758	36069435	18038296	30066393	30061728	30050304	30090393	30057385	24073773	24041035	24043135	30049277	24035821	24048600	24032209	24046022	24051508	36062253	30052643	24052171	36043160	18053524	24049466	24052995	30047217	18047126
2025-07-14	18047368	30070854	24045226	30047523	18061629	36033543	24046177	24050501	30069453	24069471	24043731	18030440	30048051	24042451	18043839	12029391	12034135	24047606	18055832	36080068	24047470	18057998	36048768	18049672	12065494	24073428	18028839	30069743	18045573	30079582	30047170	24048528	6047046	30042831	24054636	18024753	12053305	30057669	24043096	18067524	36049943	30073747	24045172	24066863	24029932	18047755	24059075	24067847	30050384	24060276	30054496	18040924
2025-07-21	0	0	0	0	35377470	0	0	0	0	0	0	0	0	0	0	0	35487362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	35398810	0	0	0	0	35040772	35147328	0	0	0	0	0	35462803	35692684	0	0	0	35751395	0	0	0	0	0	0	35379326	0	35412575	0	0	0	0	35115112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-04	0	0	0	0	0	35512767	0	0	0	0	34855178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34748352	0	0	0	0	0	0	0	35440505	34769210	0	34908174	0	0	34941997	0	0	35024128	35763816	0	0
2025-08-11	0	0	0	35456684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34871028	0	0	0	0	0	0	0	0	35409051	0	35224601	0	35414351	0	0	0	35438999	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-18	0	0	0	0	0	0	35248947	0	0	0	0	35247459	0	0	0	0	0	0	0	0	35001121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35110823	0	35368161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	35512767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35409051	0	0	0	0	0	0	0	0	0	34769210	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34871028	0	0	0	0	0	0	0	0	0	0	35224601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	35347594	0	0	0	0	0	0	0	0	0	0	35511137	0	0	0	0	0	0	0	0	0	0	0	0	35068084	0	0	0	35314040	0	0	0	0	0	0	35292322	70736322	0	0	0	0	0	0	0	0	0	0	0	0	0	35396886
2025-10-06	33474557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	70631786	50348926	116350170	84014968	72519176	35512767	14608284	86262020	40905312	35340443	20569512	74687430	88119862	35358660	6878340	89531084	81259480	121503585	44456714	99212674	46071973	57405780	80675826	72067100	44541113	46728508	35379326	93499436	81044398	14149728	79334142	42740328	43085561	35115112	79541266	80178862	15721920	70736322	83914090	76711222	10284756	77966262	45323946	45209162	75989118	79251638	39137449	43277557	74240768	89411316	54362018	84812484
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	30004579	0	0	0	0	0	0	0	0	0	0	0	0	24818725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15728640	0	0	0	0
2025-12-29	0	0	0	31457280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26214400	0	0	0	0	0	0	0	24893566	0	0	0	0	0	0	0	0	20971520	0	0	26214400	0	0	14899981	0	14083902	0	0	35010445	0	19295488	30520936	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	30097563	0	0	0	0	0	0	0	0	0	25265635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14468985	0	0	24422414	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	81240700	0	95261081	80567304	80780416	0	0	24761699	0	0	56434323	0	0	0	0	132519820	0	0	0	0	45790245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95835755	0	0	80302108	0	69307302	0	0	0	0	0	0	0
2026-01-19	0	0	19670170	81399128	0	0	30006067	0	0	70680886	0	0	0	0	0	0	0	0	0	0	20971520	0	0	0	0	0	0	0	0	0	0	24262592	0	0	0	0	0	0	0	0	0	0	0	0	0	26214400	0	94388363	0	71527632	0	0
2026-01-26	24830133	20971520	0	0	0	0	0	0	0	0	13883658	0	0	0	0	0	0	25102335	0	0	0	0	20971520	26214400	0	0	0	30337724	15728640	0	9194651	0	0	0	30171471	0	15728640	5242880	0	0	20971520	0	0	0	10485760	0	0	0	0	0	35364698	24911126
2026-02-02	0	0	0	0	0	19784127	0	0	0	0	0	0	19782497	26214400	19734163	19964044	0	0	0	0	0	10485760	0	0	0	19339444	0	0	0	30071160	0	0	20971520	20971520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
