week_start	sub-Dmel-EGstrain-tpn5-front/sub-Dmel-EGstrain-tpn5-front_ses-supplemental_ophys.nwb	sub-Dmel-EGstrain-tpn5-top/sub-Dmel-EGstrain-tpn5-top_ses-supplemental_ophys.nwb	sub-Dmel-front-1/sub-Dmel-front-1_ses-main_ophys.nwb	sub-Dmel-front-2/sub-Dmel-front-2_ses-main_ophys.nwb	sub-Dmel-front-3/sub-Dmel-front-3_ses-main_ophys.nwb	sub-Dmel-front-4/sub-Dmel-front-4_ses-main_ophys.nwb	sub-Dmel-front-5/sub-Dmel-front-5_ses-main_ophys.nwb	sub-Dmel-top-1/sub-Dmel-top-1_ses-main_ophys.nwb	sub-Dmel-top-2/sub-Dmel-top-2_ses-main_ophys.nwb	sub-Dmel-top-3/sub-Dmel-top-3_ses-main_ophys.nwb	sub-Dmel-top-4/sub-Dmel-top-4_ses-main_ophys.nwb	sub-Dmel-top-5/sub-Dmel-top-5_ses-main_ophys.nwb	sub-Dmet-front-1/sub-Dmet-front-1_ses-main_ophys.nwb	sub-Dmet-front-2/sub-Dmet-front-2_ses-main_ophys.nwb	sub-Dmet-front-3/sub-Dmet-front-3_ses-main_ophys.nwb	sub-Dmet-front-4/sub-Dmet-front-4_ses-main_ophys.nwb	sub-Dmet-front-5/sub-Dmet-front-5_ses-main_ophys.nwb	sub-Dmet-top-1/sub-Dmet-top-1_ses-main_ophys.nwb	sub-Dmet-top-2/sub-Dmet-top-2_ses-main_ophys.nwb	sub-Dmet-top-3/sub-Dmet-top-3_ses-main_ophys.nwb	sub-Dmet-top-4/sub-Dmet-top-4_ses-main_ophys.nwb	sub-Dmet-top-5/sub-Dmet-top-5_ses-main_ophys.nwb	sub-Dmoj-TPN1a/sub-Dmoj-TPN1a_ses-main_ophys.nwb	sub-Dmoj-TPN1b/sub-Dmoj-TPN1b_ses-main_ophys.nwb	sub-Dmoj-TPN6/sub-Dmoj-TPN6_ses-main_ophys.nwb	sub-Dmoj-front-1/sub-Dmoj-front-1_ses-main_ophys.nwb	sub-Dmoj-front-2/sub-Dmoj-front-2_ses-main_ophys.nwb	sub-Dmoj-front-3/sub-Dmoj-front-3_ses-main_ophys.nwb	sub-Dmoj-front-4/sub-Dmoj-front-4_ses-main_ophys.nwb	sub-Dmoj-front-5/sub-Dmoj-front-5_ses-main_ophys.nwb	sub-Dmoj-top-1/sub-Dmoj-top-1_ses-main_ophys.nwb	sub-Dmoj-top-2/sub-Dmoj-top-2_ses-main_ophys.nwb	sub-Dmoj-top-3/sub-Dmoj-top-3_ses-main_ophys.nwb	sub-Dmoj-top-4/sub-Dmoj-top-4_ses-main_ophys.nwb	sub-Dmoj-top-5/sub-Dmoj-top-5_ses-main_ophys.nwb	sub-Dmoj-wrig-tpn5-front/sub-Dmoj-wrig-tpn5-front_ses-supplemental_ophys.nwb	sub-Dmoj-wrig-tpn5-top/sub-Dmoj-wrig-tpn5-top_ses-supplemental_ophys.nwb	sub-Dper-front-1/sub-Dper-front-1_ses-main_ophys.nwb	sub-Dper-front-2/sub-Dper-front-2_ses-main_ophys.nwb	sub-Dper-front-3/sub-Dper-front-3_ses-main_ophys.nwb	sub-Dper-front-4/sub-Dper-front-4_ses-main_ophys.nwb	sub-Dper-front-5/sub-Dper-front-5_ses-main_ophys.nwb	sub-Dper-strain-tpn5-front/sub-Dper-strain-tpn5-front_ses-supplemental_ophys.nwb	sub-Dper-strain-tpn5-top/sub-Dper-strain-tpn5-top_ses-supplemental_ophys.nwb	sub-Dper-top-1/sub-Dper-top-1_ses-main_ophys.nwb	sub-Dper-top-2/sub-Dper-top-2_ses-main_ophys.nwb	sub-Dper-top-3/sub-Dper-top-3_ses-main_ophys.nwb	sub-Dper-top-4/sub-Dper-top-4_ses-main_ophys.nwb	sub-Dper-top-5/sub-Dper-top-5_ses-main_ophys.nwb
2025-12-08	0	0	13957533	21455581	13729626	22817948	10197666	18739640	99396508	9412641	9748113	17632570	14489961	19100612	9826362	85845320	14416780	9747534	14097522	14196052	19021038	1279356	13610540	5475336	13229148	9450840	15445940	18505504	19472508	18180735	13682864	22094742	23244213	17260954	22986138	0	0	5270694	21122418	18729060	9761545	5189595	0	0	13698436	10102081	13312564	9251568	18845384
2025-12-15	109608764	8122992	167774061	123579936	252401434	108306756	39319950	146203876	124026040	91047874	120008324	131176602	238104181	36952548	31378602	29676084	141035024	110983516	141533604	126576672	131896074	156580503	56350524	159136520	247130756	180257852	150918628	162047024	48211456	96443555	139828572	126352582	193806220	135448096	142785758	135550055	9957216	23130742	121807994	33861408	116049487	261234701	133484787	12708552	110396288	99176081	27083684	185516012	190094804
2025-12-22	0	0	0	0	0	0	0	0	0	26214400	0	0	0	0	82124714	0	0	0	0	0	0	0	0	0	0	0	78442944	0	0	0	0	69576602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68750234	0	0
2025-12-29	62914560	0	0	0	0	47185920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	18940470	19628201	39185184	27468008	27979872	102560148	18230600	29539921	18190259	22922341	5122317	32629020	23910852	32362392	18675804	21338064	23806008	28184724	18534622	19278654	32265196	29208318	21288366	33482232	27695936	18439996	26828468	31569223	27056642	22500154	22669059	27741426	34581054	0	0	29503254	23630592	32092692	22417520	18339688	0	0	84473532	31945218	18804142	27625604	18414352
2026-01-12	0	0	0	0	169221150	0	0	0	0	126312110	248880441	0	249700342	0	237649748	263876824	0	0	118889338	0	0	0	0	20971520	252473692	0	141357504	0	0	0	193465070	0	107559823	0	0	0	0	0	0	0	0	115510525	350319942	271974680	0	0	189929268	0	205148612
2026-01-19	192363728	0	5617624	14087642	14441196	16813384	14776032	18412100	17620176	18452745	9359258	9154743	23137017	15035092	13429302	10089192	9830216	9096840	9594872	13863084	22558470	5348553	15549684	9929880	5430228	15112260	10159656	14378500	21691464	10188759	22872438	186224414	22760112	18440098	11980794	0	0	5217004	14683764	23761320	9852915	5320611	0	73400320	10224696	13814626	14531682	8957740	9684724
2026-01-26	0	50102097	112013313	66685345	22442190	23734052	26887818	5507024	82464156	14857967	85690379	20422119	13970128	97120480	26596464	13953684	90760480	62640570	119874060	75828252	69112040	100835157	9921934	91135902	20233302	114204472	10119928	13879128	63766960	22625116	21075122	10321848	26756100	41921173	83400534	0	47185920	90810398	81431654	118553624	18474109	29968634	62914560	0	5444428	48131909	23218712	115729832	26154756
2026-02-02	0	0	19546106	17331999	4960572	5348476	58565174	17755932	4258020	9310298	9940444	78226260	14035636	18933824	13822296	5306868	13628676	5297376	9463856	15107736	10163528	13610262	13081442	8993682	4975140	5192820	8561684	82994496	5360908	67515028	96790350	17908412	18618690	17260954	8991652	67137303	0	9016468	13120470	17514348	45268777	13378095	0	0	9436784	13778091	4494518	9186060	10001804
2026-02-09	0	0	8999318	9043526	17538108	8690392	9425958	13825452	13384484	5285637	9035911	8319516	14494192	11630688	9171282	17818896	13826204	5424006	12887674	13898552	14042430	14126625	614764	9330765	4975140	18097896	17798312	13682604	13745932	13791699	13748372	13238798	13181526	14951595	17507692	0	0	13155290	8665926	9272196	13350701	9627124	0	0	8583364	9229066	18029140	9399440	9357184
2026-02-16	0	0	745310	9240050	4511034	9541996	4971414	4717664	5195984	364375	4773698	4427249	8254008	4488304	8516094	4913340	328544	777324	4127004	9075572	9143260	4520052	4741768	337083	4778616	355272	9655456	4127004	8778072	8571385	8319516	9111794	4494507	310961	4864648	0	0	25384946	21317246	409600	25084909	24892577	0	0	13310032	19362109	17772302	22264140	10852896
2026-02-23	4441988	0	13871632	4916522	9986652	9083440	14783226	14021976	14629136	13932693	96511917	13205321	5580873	5242652	5175240	9957936	17295116	13485876	9153718	5543568	14632002	17613951	9261820	9452238	5104422	18032388	4873372	18988752	8955532	13529667	13551848	17836722	10524534	13461490	13839244	0	0	9028286	9901680	13923264	14229020	18177194	0	4585560	9764324	18065084	22116170	13460936	12201552
2026-03-02	0	0	0	4489009	0	0	4774890	4454544	4585560	0	4192512	0	0	5012368	327594	0	4258020	0	0	0	4506122	0	4127004	0	0	0	0	0	4127004	0	0	4127004	0	0	4626842	372503	372503	381230	0	4192512	4507121	0	323819	0	329356	0	0	0	4482068
2026-03-09	0	4524141	0	0	0	4323528	0	0	0	0	0	0	0	0	0	0	0	0	0	4555520	0	0	0	0	0	0	0	0	0	0	309086	0	0	0	0	0	0	0	0	0	0	4437529	0	0	0	0	0	0	0
2026-03-16	0	0	9371973	21103842	38715228	16812376	14768838	19591244	18930336	31488837	10525823	10503116	19870079	6781084	28561650	26924268	21361632	7454754	11704430	6627164	15011120	5225238	10728188	10519452	24558564	14915736	14483184	12044904	9375960	12733408	10735004	15216402	27214656	10186090	12618818	0	0	9856254	6654048	10242960	14949608	28820968	0	0	27720780	23662237	30974190	18291672	33388160
2026-03-23	0	0	5920442	4192512	17987646	0	589572	328628	1703208	8647056	9363451	9078317	1183375	1113636	0	5699196	0	8188500	1768716	9045532	1310160	15452187	4520052	3930480	4909632	8936820	4434680	4429852	8319516	2872189	3864972	923294	4323528	5355077	737644	7795452	0	5413528	8254008	5248916	4913100	4437529	6026736	0	34391700	2059721	43038756	4568704	710128
2026-03-30	0	0	0	0	11734208	0	0	0	85706813	0	0	0	8057484	0	0	0	10022725	0	0	0	0	1048128	0	0	0	0	6223260	0	0	0	0	0	0	0	0	0	0	0	0	22862292	0	0	0	0	0	127961310	0	0	0
2026-04-06	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99600834	0	0	0	0	0	0	10022724	9891708	0	0	0	0	0	0	0	0	0	7729944	96980512	7336896	1	1113636	6943848	10219248	0	56676513	99928372	0	0
2026-04-13	0	0	0	0	0	9760693	0	8778072	0	57913175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60082085	0	0	0	0	0	9891708	9367645	0	0	0	0	0	9629676	0	0	56676513	0	0	0
2026-04-20	8450532	0	0	95759813	1039110	305368	385854	1377844	305212	0	720588	0	1384130	655080	4258020	0	851604	4127004	310138	4192512	8254008	319839	17101164	337083	0	1365624	1466956	0	4323528	0	964166	5175132	1088091	4978608	8778072	0	0	4966790	720588	8712564	314609	4503037	0	0	0	713026	4389036	0	5268164
