date	bytes_sent
2025-09-17	4089866512
2025-09-18	3177134477
2025-09-19	124850171
2025-09-25	61619839
2025-09-28	157098365
2025-10-07	573023539
2025-10-08	4811226
2025-10-12	588928657
2025-10-26	516585463
2025-10-29	581341894
2025-11-04	631516126
2025-11-05	270000317
2025-11-06	275883443
2025-11-07	469999124
2025-11-08	288449164
2025-11-09	419673539
2025-11-10	310137790
2025-11-11	286512034
2025-11-12	299446543
2025-11-13	284634935
2025-11-14	140294944
2025-11-15	145376147
2025-11-16	134168383
2025-11-17	141800176
2025-11-18	164038665
2025-11-19	137263280
2025-11-20	154700261
2025-11-21	132615528
2025-11-22	144711014
2025-11-23	136675940
2025-11-24	112432528
2025-11-25	124888712
2025-11-26	135193716
2025-11-27	147786010
2025-11-28	180229556
2025-11-29	135213648
2025-11-30	158923611
2025-12-01	129492343
2025-12-02	137057236
2025-12-03	113372843
2025-12-04	157249082
2025-12-05	151362735
2025-12-06	109498289
2025-12-07	118725078
2025-12-08	139268347
2025-12-09	230269142
2025-12-10	294397448
2025-12-11	85706812
2025-12-14	68157440
2025-12-15	82907131
2025-12-16	487868073
2025-12-17	373300263
2025-12-18	4526467011
2025-12-19	365620069
2025-12-20	174464030
2025-12-21	72321784
2025-12-23	73993114
2025-12-24	78442944
2025-12-25	26214400
2025-12-27	162187076
2026-01-02	62914560
2026-01-03	47185920
2026-01-05	258643013
2026-01-06	281208038
2026-01-07	211172493
2026-01-08	515981432
2026-01-16	621136989
2026-01-17	2380269253
2026-01-18	497603572
2026-01-19	373459972
2026-01-22	78643200
2026-01-23	310377083
2026-01-24	292763180
2026-01-26	45631992
2026-01-27	548316053
2026-01-28	426776688
2026-01-29	405289687
2026-01-30	560677185
2026-01-31	317436482
2026-02-01	284142157
2026-02-02	53879614
2026-02-03	36700160
2026-02-04	477843814
2026-02-05	387830316
2026-02-10	266819549
2026-02-12	252200982
2026-02-17	242437000
2026-02-20	135463668
2026-02-24	333134051
2026-02-25	4828229
2026-02-26	17986027
2026-02-27	13420337
2026-02-28	283731272
2026-03-01	9828908
2026-03-02	9792108
2026-03-03	19499258
2026-03-04	8692019
2026-03-05	300245
2026-03-06	8932891
2026-03-07	13455857
2026-03-08	13487454
2026-03-09	18149804
2026-03-18	234460591
2026-03-19	364012419
2026-03-20	182597333
2026-03-26	8000252
2026-03-27	132682903
2026-03-28	85366662
2026-03-29	78198516
2026-03-30	204800
2026-03-31	172713530
2026-04-01	56676513
2026-04-03	16114968
2026-04-04	20110957
2026-04-05	163547081
2026-04-06	10677805
2026-04-07	22076196
2026-04-08	9957216
2026-04-09	66568221
2026-04-10	89643617
2026-04-11	26203202
2026-04-12	204245780
2026-04-13	60082085
2026-04-14	168322828
2026-04-15	114667672
2026-04-17	1113636
2026-04-18	1
2026-04-19	64340949
2026-04-20	61826278
2026-04-21	162818995
2026-04-22	68134804
2026-04-23	102441629
2026-04-24	7271388
2026-04-25	27447852
2026-04-26	982620
