week_start	participants.tsv	samples.tsv	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1611_conf.json	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1611_conf.png	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1624_conf.json	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1624_conf.png	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1631_conf.json	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1631_conf.png	sub-01/ses-20201209/microscopy/sub-01_ses-20201210_sample-1648_conf.json	sub-01/ses-20201209/microscopy/sub-01_ses-20201210_sample-1648_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1821_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1821_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1829_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1829_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1838_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1838_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1841_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1841_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1853_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1853_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1861_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1861_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1862_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1862_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2878_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2878_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2888_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2888_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2894_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2894_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2895_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2895_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2896_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2896_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2897_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2897_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2900_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2900_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2901_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2901_conf.png	sub-02/ses-20210813/sub-02_ses-20210813_sample-2945_conf.json	sub-02/ses-20210813/sub-02_ses-20210813_sample-2945_conf.png	sub-02/ses-20210813/sub-02_ses-20210813_sample-2946_conf.json	sub-02/ses-20210813/sub-02_ses-20210813_sample-2946_conf.png	sub-02/ses-20210813/sub-02_ses-20210813_sample-2947_conf.json	sub-02/ses-20210813/sub-02_ses-20210813_sample-2947_conf.png	sub-02/ses-20210813/sub-02_ses-20210813_sample-2952_conf.json	sub-02/ses-20210813/sub-02_ses-20210813_sample-2952_conf.png	sub-02/ses-20210827/sub-02_ses-20210827_sample-3013_conf.json	sub-02/ses-20210827/sub-02_ses-20210827_sample-3013_conf.png
2021-10-04	0	0	425	449311	433	451597	0	0	433	0	0	0	0	0	0	416298	429	438153	430	0	429	0	0	423449	436	415630	435	406323	435	0	0	402541	435	385395	444	0	0	0	445	393181	449	391900	0	418216	449	0	0	389874	443	382309
2021-10-25	0	0	0	0	0	451597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-15	0	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	67	649	0	449311	0	0	425	0	433	0	429	422695	429	0	438	0	429	0	0	439450	429	437242	438	0	0	415630	435	406323	0	395493	444	402541	0	0	0	394936	436	397385	445	393181	449	391900	440	418216	0	0	439	389874	443	382309
2022-07-25	268	1947	2550	1797244	2165	2257985	2550	2650398	3031	2170870	1287	2113475	1716	1793072	1314	1248894	1716	2190765	3440	3076150	2145	2623452	2190	2117245	872	1246890	1740	1218969	1305	395493	888	1610164	1305	385395	1332	1579744	436	1192155	1780	1179543	1796	783800	1320	1254648	449	1237812	1317	1169622	443	764618
2022-08-01	0	649	0	0	0	0	0	0	0	0	0	0	0	0	0	416298	0	0	0	0	0	0	438	0	436	0	0	0	0	0	0	0	0	0	0	0	0	397385	445	0	0	0	440	418216	0	0	0	0	0	382309
2022-08-08	67	0	425	0	433	451597	850	0	0	0	0	422695	0	448268	438	0	0	438153	430	439450	0	437242	0	0	0	415630	435	0	0	0	444	0	435	385395	888	0	0	0	0	393181	449	391900	0	0	0	412604	878	389874	0	0
2022-08-22	0	0	425	449311	0	0	425	0	0	434174	0	422695	429	0	438	416298	429	438153	430	439450	0	0	438	423449	436	0	0	0	435	395493	0	402541	435	385395	0	394936	0	0	445	0	449	0	440	418216	449	412604	439	779748	443	382309
2022-08-29	134	1947	1275	1347933	866	1354791	425	883466	433	434174	429	1268085	1716	448268	1314	1665192	2145	438153	430	878900	858	874484	1314	846898	1308	1246890	1740	1218969	435	1581972	1332	1207623	1305	1156185	888	1184808	872	794770	1335	786362	449	783800	1320	1254648	898	825208	439	1169622	1329	764618
2022-09-12	67	649	850	449311	866	451597	425	441733	433	434174	429	845390	429	896536	876	416298	0	0	860	878900	0	874484	876	423449	436	415630	435	406323	0	395493	444	402541	870	0	444	394936	0	397385	0	393181	449	0	440	418216	0	412604	439	0	886	382309
2022-10-03	0	0	2125	2695866	2165	3161179	2975	2208665	2598	1736696	2574	2113475	2145	448268	2190	1665192	1287	2190765	1720	1757800	2145	2186210	1752	2964143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-01-02	67	1298	425	898622	866	451597	850	883466	866	434174	858	845390	858	896536	876	416298	858	438153	430	0	858	874484	876	846898	872	831260	870	406323	870	790986	888	805082	435	770790	444	394936	436	397385	890	393181	898	391900	880	418216	449	825208	439	389874	443	382309
2023-02-27	67	1298	425	898622	433	903194	850	441733	433	434174	429	845390	858	448268	438	416298	429	876306	430	878900	858	874484	438	423449	436	831260	435	406323	435	790986	444	402541	435	385395	444	789872	436	794770	445	393181	449	391900	440	418216	898	412604	439	389874	443	382309
2023-04-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416298	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397385	0	0	0	0	0	418216	0	0	0	0	0	382309
