region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	12796068118	2070	1536	59
GitHub	23298835760	86702	10724	10439
AWS/ap-southeast-1	1203001508	298	298	0
USA/MA	2499828512	313	6	222
USA	578036240	130	21	32
CHN	3996876741	620	310	85
USA/NY	4161143332	5822	481	101
USA/VA	1554096928	152	152	0
AWS/us-east-1	1864026208	289	108	76
CAN/ON	1554096928	152	152	0
AWS/us-east-2	285429288	26	26	0
AWS/ap-south-1	3982704	1	1	0
VNM	17448864	2	2	0
NPL	5287608	1	1	0
BOL/H	5287608	1	1	0
VNM/SG	126230472	13	13	0
MEX/CMX	227901044	801	113	67
JAM	11354880	1	1	0
URY/MO	6026736	2	2	0
NLD/NH	2423796	1	1	0
BRA/GO	5287608	1	1	0
IDN/YO	15113808	3	3	0
ARG/C	4454544	1	1	0
VEN/K	5287608	1	1	0
ARG/B	20635020	3	3	0
VNM/HN	44356216	7	7	0
AWS/us-west-2	40001096	153	7	2
USA/WA	1959704	8	2	2
GBR/ENG	27381680	1	1	0
USA/GA	17451704	2	2	0
IDN/JI	8909088	1	1	0
VEN/M	3668448	1	1	0
UZB/TK	29544108	3	3	0
BRA/RJ	2947860	1	1	0
RUS	3144384	1	1	0
EGY/C	1179144	1	1	0
BGD/C	12184488	2	2	0
DEU/NW	11552028	83	3	3
OMN/MA	7651152	2	2	0
SRB/00	9171120	1	1	0
USA/MD	123381500	58	16	5
GCP/us-central1	412446280	36	36	0
ALB/11	3982704	1	1	0
BGD/D	3982704	1	1	0
BRA/MG	3982704	1	1	0
USA/CA	13019952	12	3	3
CHN/SH	35080832	2	2	0
MEX/COA	5287608	1	1	0
SEN/DK	15179316	2	2	0
IDN/JK	7664436	1	1	0
VNM/51	20677296	2	2	0
HKG	26334216	4	4	0
BGD	30372480	4	4	0
ALB	12970448	1	1	0
IDN/KI	2685828	1	1	0
IND/MP	5287608	1	1	0
IND/MH	17477352	2	2	0
VNM/68	14660508	2	2	0
USA/NH	8999576	26	1	1
VNM/22	2751336	1	1	0
DZA/16	7664436	1	1	0
XK	7009356	1	1	0
IRN	4651068	1	1	0
BRA/PR	20307480	3	3	0
BRA/ES	18187992	2	2	0
ARM/ER	8647056	1	1	0
MYS/14	17425128	3	3	0
TUR/06	6616308	1	1	0
BRA/SP	12161256	1	1	0
VNM/20	5502672	1	1	0
BOL/S	2947860	1	1	0
AZE	8909088	1	1	0
VEN/A	19062828	3	3	0
ECU/P	5287608	1	1	0
VNM/56	7252848	2	2	0
USA/IL	12726616	87	2	2
VNM/44	5287608	1	1	0
MMR/06	5287608	1	1	0
KHM/12	3013368	1	1	0
ZAF/KZN	12249996	2	2	0
PAK/PB	24172452	4	4	0
ZAF/WC	14215236	1	1	0
USA/NJ	10923840	2	2	0
PER/CUS	7926468	1	1	0
MEX/MEX	5287608	1	1	0
IRQ/KI	5287608	1	1	0
JOR/AM	14196696	3	3	0
PAK/SD	1113636	1	1	0
HUN/BU	17068684	58	1	1
USA/CT	17700416	3	1	1
USA/CO	17540416	1	1	0
FRA/IDF	20692664	15	4	3
IND/PB	3964272	1	1	0
BRA/RS	5287608	1	1	0
IRQ/BG	13691172	1	1	0
VNM/DN	4454544	1	1	0
VNM/69	10677804	1	1	0
IRQ	18866304	2	2	0
SGP	12774060	2	2	0
VNM/27	9760692	1	1	0
UKR/23	12446520	1	1	0
IRQ/AN	3013368	1	1	0
IRQ/BA	5287608	1	1	0
IRQ/NI	1113636	1	1	0
COL/DC	7729944	1	1	0
MMR	12161256	1	1	0
PAK/KP	1113636	1	1	0
CRI/SJ	5945232	1	1	0
RUS/MOS	3668448	1	1	0
ZAF/GP	3982704	1	1	0
NGA/FC	7336896	1	1	0
TUN/52	1310160	1	1	0
MAR/01	851604	1	1	0
PAK/GB	1113636	1	1	0
PHL/11	4454544	1	1	0
ISR/TA	2489304	1	1	0
EST/37	3964272	1	1	0
CHE/VD	5330952	28	2	1
VNM/21	1310160	1	1	0
UKR/46	4651068	1	1	0
MAR/06	3982704	1	1	0
