date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2025-02-19	28621951061	3529	0	223
2025-03-13	1383998099	4842	59	60
2025-03-14	574906522	1912	24	25
2025-03-15	1251754130	4479	54	55
2025-03-16	552434504	2037	24	25
2025-03-17	545627804	1923	24	25
2025-03-18	537587110	1904	23	24
2025-03-19	337801155	1258	15	16
2025-03-20	8508	1	0	1
2025-03-21	8508	1	0	1
2025-03-22	8508	1	0	1
2025-03-23	8508	1	0	1
2025-03-24	8508	1	0	1
2025-03-25	8508	1	0	1
2025-03-26	8508	1	0	1
2025-03-27	8508	1	0	1
2025-03-28	8508	1	0	1
2025-03-29	8508	1	0	1
2025-03-30	8508	1	0	1
2025-03-31	8508	1	0	1
2025-04-01	8508	1	0	1
2025-04-02	8508	1	0	1
2025-04-03	8508	1	0	1
2025-04-04	8508	1	0	1
2025-04-05	8508	1	0	1
2025-04-06	8508	1	0	1
2025-04-07	8508	1	0	1
2025-04-08	8508	1	0	1
2025-04-09	8508	1	0	1
2025-04-10	8508	1	0	1
2025-04-11	8508	1	0	1
2025-04-12	8508	1	0	1
2025-04-13	8508	1	0	1
2025-04-14	8508	1	0	1
2025-04-15	8508	1	0	1
2025-04-16	8508	1	0	1
2025-04-17	8508	1	0	1
2025-04-18	8508	1	0	1
2025-04-19	8508	1	0	1
2025-04-20	8508	1	0	1
2025-04-21	8508	1	0	1
2025-04-22	169289718	4	3	1
2025-04-23	8508	1	0	1
2025-04-24	8508	1	0	1
2025-04-25	8508	1	0	1
2025-04-26	8508	1	0	1
2025-04-27	8508	1	0	1
2025-04-28	8508	1	0	1
2025-04-29	8508	1	0	1
2025-04-30	8508	1	0	1
2025-05-01	8508	1	0	1
2025-05-02	8508	1	0	1
2025-05-03	8508	1	0	1
2025-05-04	8508	1	0	1
2025-05-05	8508	1	0	1
2025-06-26	4294238563	33	33	0
2025-07-26	1015672522	22	0	8
2025-07-27	556926251	12	0	4
2025-07-28	1073009628	25	0	8
2025-07-29	1556094668	37	0	12
2025-07-30	2540575921	57	0	20
2025-07-31	1159623692	27	0	10
2025-08-01	654435203	16	0	6
2025-08-02	1241888856	28	0	11
2025-08-03	1633580387	38	0	13
2025-08-04	1541220768	37	0	13
2025-08-05	936569393	22	0	7
2025-08-06	710356194	15	0	5
2025-08-07	667610010	16	0	6
2025-08-08	387772509	9	0	3
2025-08-09	723690285	17	0	5
2025-08-10	1376600021	33	0	12
2025-08-11	984554532	22	0	7
2025-08-12	560933499	13	0	5
2025-08-13	654609396	16	0	6
2025-08-14	1862793781	119	84	12
2025-08-15	732341223	18	0	6
2025-08-16	636927755	16	0	6
2025-08-17	430742999	10	0	3
2025-08-18	265079926	6	0	2
2025-08-19	279466651	8	0	3
2025-08-20	216157034	5	0	2
2025-08-21	427168583	10	0	3
2025-08-22	503179105	12	0	5
2025-08-23	254894023	6	0	2
2025-08-24	618184445	13	0	5
2025-08-25	8508	1	0	1
2025-08-26	189917266	4	0	1
2025-08-27	837743419	19	1	6
2025-08-28	253238372	8	1	3
2025-08-29	1358439733	29	1	9
2025-08-30	550310290	12	0	4
2025-08-31	440538899	12	0	4
2025-09-01	336408876	10	0	4
2025-09-02	521184798	12	0	4
2025-09-03	361794868	9	0	3
2025-09-04	628693995	17	0	6
2025-09-05	134702303	3	0	1
2025-09-06	674989524	16	0	5
2025-09-07	406385689	10	0	4
2025-09-08	454422671	10	0	4
2025-09-09	675397092	16	0	5
2025-09-10	444713009	11	0	4
2025-09-11	778181495	15	1	5
2025-09-12	413861533	9	0	3
2025-09-13	1099550643	27	0	9
2025-09-16	8508	1	0	1
2025-09-19	8508	1	0	1
2025-09-22	8508	1	0	1
2025-09-25	8508	1	0	1
2025-09-28	8508	1	0	1
2025-10-01	8508	1	0	1
2025-10-04	8508	1	0	1
2025-10-07	8508	1	0	1
2025-10-08	23039253	28	2	2
2025-10-10	8508	1	0	1
2025-10-13	8508	1	0	1
2025-10-16	8508	1	0	1
2025-10-19	8508	1	0	1
2025-10-22	8508	1	0	1
2025-10-25	8508	1	0	1
2025-10-28	8508	1	0	1
2025-10-31	8508	1	0	1
2025-11-01	8508	1	0	1
2025-11-04	8508	1	0	1
2025-11-07	8508	1	0	1
2025-11-10	8508	1	0	1
2025-11-13	8508	1	0	1
2025-11-16	8508	1	0	1
2025-11-19	8508	1	0	1
2025-11-22	8508	1	0	1
2025-11-25	8508	1	0	1
