region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	40213943268	2438	223	88
USA/NC	1545923292	223	223	0
VPN	34854660383	1340	1065	111
AWS/us-east-1	33648010329	3649	120	223
CHN	44497521816	3848	17	211
USA/MA	38857082189	1142	0	296
GitHub	12684280927	50719	1897	1610
AWS/ap-southeast-1	2715961680	483	483	0
AWS/us-east-2	4723346800	36	36	0
KOR/30	28886497672	226	226	0
AUS/VIC	4294238563	33	33	0
GCP/us-west1	151060684	1	1	0
FRA/PAC	982620	1	1	0
PRY/ASU	2685828	1	1	0
VNM/SG	167307432	14	14	0
ISR/TA	6681816	1	1	0
SGP	157625820	4	4	0
PAK/IS	3340908	1	1	0
SEN/DK	38256672	4	4	0
BRA/MG	36946512	3	3	0
GCP/us-east1	16442508	2	2	0
NIC/MN	22469244	2	2	0
IRQ/AR	6812832	1	1	0
ARG/R	11529408	1	1	0
MEX/CMX	132324549	503	72	50
BRA/SP	18276732	3	3	0
BRA/RS	5502672	1	1	0
DZA/35	1506684	1	1	0
EST/37	72000078	1	1	0
CHE/VD	13810536	35	3	2
VNM/HP	13363632	3	3	0
VNM/52	13298124	1	1	0
GCP/us-central1	229041955	3	3	0
CHN/SH	649652169	84	2	6
AWS/us-west-2	23715224	54	6	2
USA/WA	25957720	7	3	2
USA/OH	178517838	4	4	0
VNM/HN	65966556	6	6	0
ECU/P	13625664	1	1	0
USA/AZ	64459872	1	1	0
PAK/SD	13363632	1	1	0
JOR/AM	26006676	2	2	0
IRQ/BG	22927800	3	3	0
BOL/S	7926469	3	2	1
USA/NY	25089564	2	2	0
USA/FL	18080208	1	1	0
ARG/B	12970584	2	2	0
BGD	50703193	8	7	1
BRA/PI	11070852	1	1	0
PAK/PB	34391700	4	4	0
IDN/KS	14215236	1	1	0
PHL/08	9760692	1	1	0
SAU/01	2358289	2	1	1
PER/LMA	15132348	1	1	0
BRA/CE	4389036	1	1	0
USA/CA	10309584	9	3	3
FRA/IDF	3550196	14	3	3
ECU/SD	1113636	1	1	0
BGD/C	31967905	3	2	1
PAK	9629676	3	3	0
MYS/10	11594916	1	1	0
USA/VT	147785920	1	1	0
IRQ/BA	917112	1	1	0
USA/IL	14506654	25	2	3
VNM/13	10088232	1	1	0
ALB/04	9302136	1	1	0
VNM/CT	8319516	1	1	0
DEU/BY	12249996	1	1	0
GBR/WLS	11987964	1	1	0
KEN/31	7271388	1	1	0
VNM/56	8319516	1	1	0
BRA/PR	11987964	1	1	0
USA/AL	1	1	0	1
CHN/GS	84950377	2	1	1
HKG	14870316	3	3	0
COL/ANT	35898384	2	2	0
CHL/RM	15525396	2	2	0
URY/MO	22338228	2	2	0
MEX/GUA	11791440	1	1	0
GBR/ENG	21683148	2	2	0
USA/SC	19128336	1	1	0
UKR/07	22272720	1	1	0
MEX/NLE	4389036	1	1	0
COL/RIS	4061496	1	1	0
CRI/SJ	13298124	1	1	0
GEO/TB	24958548	1	1	0
UKR/63	12970584	1	1	0
ZAF/WC	6943848	2	2	0
BHR/13	4454544	1	1	0
PRY/11	12774060	1	1	0
USA/NJ	1	1	0	1
MEX/OAX	1113636	1	1	0
PHL/05	1	1	0	1
USA/RI	9891708	1	1	0
UKR	4520052	1	1	0
IDN/JK	4061496	1	1	0
ALB/11	8909088	1	1	0
MUS/PL	4061496	1	1	0
KAZ/75	6419784	1	1	0
DOM/01	11660424	1	1	0
COL/DC	13625664	1	1	0
VNM/22	12512028	1	1	0
EGY	5371656	1	1	0
VNM/26	7795452	1	1	0
IND/DL	15525396	1	1	0
IND/RJ	1768716	1	1	0
VNM	11987964	1	1	0
BRA/RJ	10219248	1	1	0
USA/VA	5175132	1	1	0
JAM	3930480	1	1	0
PHL/06	1244652	1	1	0
MAR/04	5633688	1	1	0
UKR/30	9302136	1	1	0
IDN/JB	8385024	1	1	0
BRA/BA	1	1	0	1
USA/TX	14280744	1	1	0
VNM/51	11987964	1	1	0
IND/MH	122974411	1	1	0
JAM/01	13036092	1	1	0
BGD/F	3013368	1	1	0
VEN/A	27644376	1	1	0
AZE/BA	4258020	1	1	0
ARG/M	5306148	1	1	0
ARG/U	4716576	1	1	0
VNM/61	6616308	1	1	0
VNM/06	9302136	1	1	0
BRA/ES	8647056	1	1	0
RUS/TUL	4913100	1	1	0
IDN/YO	6026736	1	1	0
CAN/ON	15525396	1	1	0
DZA/03	2751336	1	1	0
VEN/B	15197856	1	1	0
MEX/TAB	12381012	1	1	0
KEN/30	1441176	1	1	0
BRA/PA	3995988	1	1	0
COL/NSA	1	1	0	1
