week_start	sub-EC2/sub-EC2_ses-EC2-B1.nwb	sub-EC2/sub-EC2_ses-EC2-B105.nwb	sub-EC2/sub-EC2_ses-EC2-B15.nwb	sub-EC2/sub-EC2_ses-EC2-B76.nwb	sub-EC2/sub-EC2_ses-EC2-B8.nwb	sub-EC2/sub-EC2_ses-EC2-B89.nwb	sub-EC2/sub-EC2_ses-EC2-B9.nwb	sub-EC9/sub-EC9_ses-EC9-B15.nwb	sub-EC9/sub-EC9_ses-EC9-B39.nwb	sub-EC9/sub-EC9_ses-EC9-B46.nwb	sub-EC9/sub-EC9_ses-EC9-B49.nwb	sub-EC9/sub-EC9_ses-EC9-B53.nwb	sub-EC9/sub-EC9_ses-EC9-B60.nwb	sub-EC9/sub-EC9_ses-EC9-B63.nwb	sub-GP31/sub-GP31_ses-GP31-B1.nwb	sub-GP31/sub-GP31_ses-GP31-B2.nwb	sub-GP31/sub-GP31_ses-GP31-B21.nwb	sub-GP31/sub-GP31_ses-GP31-B4.nwb	sub-GP31/sub-GP31_ses-GP31-B6.nwb	sub-GP31/sub-GP31_ses-GP31-B63.nwb	sub-GP31/sub-GP31_ses-GP31-B65.nwb	sub-GP31/sub-GP31_ses-GP31-B67.nwb	sub-GP31/sub-GP31_ses-GP31-B69.nwb	sub-GP31/sub-GP31_ses-GP31-B71.nwb	sub-GP31/sub-GP31_ses-GP31-B78.nwb	sub-GP31/sub-GP31_ses-GP31-B82.nwb	sub-GP31/sub-GP31_ses-GP31-B83.nwb	sub-GP31/sub-GP31_ses-GP31-B9.nwb	sub-GP33/sub-GP33_ses-GP33-B1.nwb	sub-GP33/sub-GP33_ses-GP33-B30.nwb	sub-GP33/sub-GP33_ses-GP33-B5.nwb
2021-04-19	1813849118	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2021-05-03	0	1934836859	1626463358	1862205526	1704045744	0	0	558155445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-10	1813849118	0	0	0	0	1702875869	1598965922	0	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	0	1099888379	0	0	0	0	0	0	0	0	0	0
2021-05-24	3627698236	1934836859	1626463358	1862205526	1704045744	1702875869	4796897766	558155445	2561849609	2477338517	2641011196	2433073729	0	0	1136654896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-07	75603456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-30	9755508	0	0	0	0	0	1598965922	3348932670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-18	1813849118	0	0	0	0	0	0	558155445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-25	0	132728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-02-07	1860834830	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	2470148206	1325638278	1753416099	1250064948	3299665137	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	3898003346
2022-02-14	0	0	0	1109632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-14	1813849118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-04	1813849118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	485590	1155350	779284	1176650	779160	290026	288660	549636	272336	266934	255644	272692	271686	271618	254250	282438	254250	253184	287426	290908	269576	278186	300444	290642	291280	316658	307116	287716	262614	317656	307526
2022-04-25	0	0	0	128648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-16	0	0	0	128648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-13	1813849118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-20	1813849118	0	369447292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-27	7255396472	3869673718	2900224564	1862205526	1704045744	1702875869	3240455319	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	3102113892	1828389678	1949001673
2022-07-04	0	141247	0	149781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	1828515066	1949502807	1640200210	1873221454	1720536233	1717541817	1613631870	575807773	2652834396	2702152833	2655677144	2667919165	2698505081	2776353549	1159340450	1517832970	1251000967	1341697870	1768082047	1266788180	1114554327	1369842167	1529134185	1869269984	1759469197	1987763404	2025147328	1634902834	1567746527	1843951071	1965093978
2022-07-18	0	0	0	0	0	0	0	558155445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-25	0	0	0	0	0	0	0	558155445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	1813849118	2037728379	0	0	0	0	0	16744663350	0	0	2641011196	0	0	0	0	0	1235074103	1325638278	0	0	0	1352986207	0	0	0	0	0	1629196026	0	1828389678	0
2022-08-08	0	0	1626463358	1862205526	1704045744	1702875869	1598965922	17860974240	2635779344	2686126892	0	2664866917	2683839133	2761687601	1142418126	1501507922	0	0	1753416099	1250064948	1099888379	0	1513506428	1852978587	1744803249	1970742003	2010481380	0	1551056946	0	1949001673
2022-08-15	0	0	0	0	0	0	0	7527541698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
