date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2024-01-23	31801988019	3	3	0
2024-01-24	2487875565728	1275	155	11
2024-01-25	6704319404664	366250	172	84
2024-01-26	953815232000	116310	25	39
2024-01-27	294665366	1206	13	13
2024-01-28	208462257	970	8	8
2024-01-29	41281055911	2864	26	10
2024-01-30	270524135404	1585	19	8
2024-01-31	124400471976	852	10	5
2024-02-01	687737493340	1083	29	11
2024-02-02	745942532338	744	27	8
2024-02-03	1166526136369	940	37	9
2024-02-04	1233558156016	1220	36	7
2024-02-05	88302720992	1199	12	7
2024-02-06	218880337	1199	7	7
2024-02-07	249324391	1079	11	11
2024-02-08	186632431	727	8	8
2024-02-09	28041409551	1381	12	10
2024-02-10	263002183	1078	11	6
2024-02-11	195826434	1026	6	6
2024-02-12	249496928	1200	9	9
2024-02-13	244313103	973	11	11
2024-02-14	235323160	983	10	10
2024-02-15	100831959	523	3	3
2024-02-16	207872069	1015	6	6
2024-02-17	173076765	844	5	5
2024-02-18	175586322	818	5	5
2024-02-19	240964752	1154	9	9
2024-02-20	55714027249	740	12	8
2024-02-21	27952349373	774	10	8
2024-02-22	173272420	645	7	7
2024-02-23	105128955965	1092	18	10
2024-02-24	171926684	867	5	5
2024-02-25	194133768	959	6	6
2024-02-26	109957837	514	3	3
2024-02-27	459179556	1689	20	9
2024-02-28	84412400528	2292	59	16
2024-02-29	166848851964	1361	23	9
2024-03-01	111526156331	2145	27	11
2024-03-02	124919961823	2623	40	16
2024-03-03	270440283	856	11	8
2024-03-04	27808898532	214	4	1
2024-03-05	83436128748	643	13	3
2024-03-06	55669746266	640	10	3
2024-03-07	181252472	1	1	0
2024-03-08	315740298	61	0	2
2024-03-12	3724298163	10778	130	65
2024-03-13	5638962422	14944	172	86
2024-03-14	2263770528	4999	58	29
2024-03-15	4099992732	10180	118	59
2024-03-16	2725650360	8255	91	45
2024-03-18	23852105050	13351	138	135
2024-03-19	28692651183	3845	28	25
2024-03-20	28632841021	3633	26	24
2024-03-21	871764687	3631	24	24
2024-03-23	9957216	1	1	0
2024-03-25	469398762	1901	12	12
2024-03-26	1986910525	7389	49	48
2024-03-27	781566304	2841	18	18
2024-03-28	1449323065	5526	36	36
2024-03-29	1097783189	4497	30	30
2024-03-30	222312856	1125	7	6
2024-03-31	201677836	1124	6	6
2024-04-01	213862324	1124	6	6
2024-04-02	640494928	3490	18	23
2024-04-03	898505220	4938	24	24
2024-04-04	1154144088	5336	30	30
2024-04-05	1022760100	3713	24	24
2024-04-06	261796721	985	6	6
2024-04-07	414226524	1756	12	12
2024-04-08	207015000	878	6	6
2024-04-09	214024356	878	6	6
2024-04-10	404207276	2248	12	12
2024-04-11	208359652	1124	6	6
2024-04-12	26411848510	2096	46	12
2024-04-13	217152658	1182	6	6
2024-04-14	208169786	1184	6	6
2024-04-15	20000686942	1403	11	7
2024-04-16	290977498	1228	9	8
2024-04-17	61594240	219	0	6
2024-04-18	22190768	147	0	1
2024-04-19	2309416226	10569	16	17
2024-04-20	1120616908	5167	8	8
2024-04-22	1061425278	4849	6	6
2024-04-23	1076073235	4907	6	6
2024-04-24	1114564078	5153	8	8
2024-04-25	1110451220	5128	8	8
2024-04-26	1041687136	4966	6	6
2024-04-27	1022187672	4910	6	6
2024-05-01	27919740784	638	8	3
2024-05-02	85752116242	10468	26	15
2024-05-03	29191687628	5576	16	9
2024-05-04	112452594380	5402	20	8
2024-05-06	84690600934	5400	18	9
2024-05-07	327946578	1238	10	7
2024-05-08	465503382	1305	12	11
2024-05-09	28624657604	2907	24	20
2024-05-10	56086768830	2109	20	13
2024-05-11	239563305	827	6	6
2024-05-12	55622775672	428	8	2
2024-05-13	242517689	829	6	6
2024-05-14	237894203	822	6	6
2024-05-15	233348806	835	6	6
2024-05-16	317998307	992	8	7
2024-05-17	27784659214	4	4	0
2024-05-18	250747887	787	6	6
2024-05-19	274026545	781	6	6
2024-05-20	263378190	779	6	6
2024-05-21	249149123	804	6	6
2024-05-22	379324827	1205	10	7
2024-05-24	139307339592	1892	26	10
2024-05-25	268181898	848	6	6
2024-05-26	243477380	836	6	6
2024-05-27	260243185	845	6	6
2024-05-30	261361378	848	6	6
2024-05-31	335189970	897	8	6
2024-06-01	450432970	1002	14	6
2024-06-02	272538009	883	7	6
2024-06-03	18604272	1	1	0
2024-06-04	554299189	1832	13	12
2024-06-05	40668356138	898	8	6
2024-06-06	20935124175	619	5	4
2024-06-08	174704398	584	4	4
2024-06-09	171037280	617	5	4
2024-06-10	17359620	2	2	0
2024-06-11	256101482	766	7	5
2024-06-12	394156668	593	14	4
2024-06-13	41920791245	1363	14	4
2024-06-14	47088652	14	3	1
2024-06-17	26006676	2	2	0
2024-06-18	185102466	652	7	2
2024-06-20	21159084	2	2	0
2024-06-21	54909826	217	2	1
2024-06-22	108771524	434	4	2
2024-06-23	83454771312	658	13	3
2024-06-24	28054033212	1088	13	3
2024-06-25	83274778470	6	6	0
2024-06-26	55622080612	438	8	2
2024-06-27	27814676000	219	4	1
2024-06-28	83438328804	657	12	3
2024-07-01	55627255744	438	8	2
2024-07-02	393477440599	3284	59	15
2024-07-03	79340673069	439	9	2
2024-07-05	10153740	1	1	0
2024-07-07	9564168	1	1	0
2024-07-09	27814020920	219	4	1
2024-07-10	6141063449	22	22	0
2024-07-11	29029408111	1009	19	7
2024-07-12	29874936	36	2	1
2024-07-13	612134053	1403	15	13
2024-07-14	371113734	686	7	6
2024-07-15	304499779	767	6	6
2024-07-16	81083421516	820	8	7
2024-07-17	249788096	766	6	6
2024-07-18	293828165	796	7	6
2024-07-19	28033871160	953	10	7
2024-07-20	215985268	734	6	6
2024-07-21	220963876	734	6	6
2024-07-22	10481713056	735	7	6
2024-07-23	3167885492	1076	290	6
2024-07-24	225968580	810	6	7
2024-07-25	230244740	792	6	6
2024-07-26	221990732	792	6	6
2024-07-27	240749750	855	7	6
2024-07-28	223717670	854	6	6
2024-07-29	232823282	854	6	6
2024-07-30	239374082	854	6	6
2024-07-31	239167610	848	6	6
2024-08-01	319756572	1066	9	7
2024-08-02	233861462	848	6	6
2024-08-03	235040606	848	6	6
2024-08-04	362709440	994	8	7
2024-08-05	319335376	784	10	6
2024-08-06	270500731	787	6	6
2024-08-07	83733349267	1450	19	9
2024-08-08	580670377	773	9	6
2024-08-09	386043914	814	10	6
2024-08-10	862611111	785	12	6
2024-08-11	569130199	790	10	6
2024-08-12	299771381	760	8	6
2024-08-13	246051768	795	6	6
2024-08-14	256773745	788	6	6
2024-08-15	252573307	786	7	6
2024-08-16	271615394	890	7	6
2024-08-17	254936880	1023	6	6
2024-08-18	256940082	876	6	6
2024-08-19	269453023	945	6	6
