week_start	Neurophysiology
2024-01-22	10178315318034
2024-01-29	4269969981354
2024-02-05	117457796319
2024-02-12	1386500306
2024-02-19	189575630211
2024-02-26	488546948322
2024-03-04	167411766316
2024-03-11	18452674205
2024-03-18	82059319157
2024-03-25	6208972537
2024-04-01	4605789905
2024-04-08	27870777238
2024-04-15	23805482582
2024-04-22	6426388619
2024-04-29	255316139034
2024-05-06	226057816305
2024-05-13	29341192651
2024-05-20	140710851010
2024-05-27	1579765512
2024-06-03	62522125452
2024-06-10	42635497667
2024-06-17	83850720888
2024-06-24	278203897098
2024-07-01	528465087320
2024-07-08	63997615203
2024-07-15	110402357860
2024-07-22	14792270020
2024-07-29	1862733054
2024-08-05	86721640975
2024-08-12	1838662557
2024-08-19	1907332493
2024-08-26	894556312298
2024-09-02	3132943748290
2024-09-09	3977642041201
2024-09-16	1069609802
2024-09-23	36925738644
2024-09-30	1602217744
2024-10-07	1737846562
2024-10-14	7605174931
2024-10-21	1793114018
2024-10-28	4314234334
2024-11-04	2884028879
2024-11-11	111383413279
2024-11-18	95094675008
2024-11-25	55831968244
2024-12-02	2142386388
2025-01-13	111272776700
2025-01-27	87678376
2025-02-03	2411961984
2025-02-10	233151109772
2025-02-17	158049818156
2025-02-24	27809828408
2025-03-03	222495400192
2025-03-10	723114621110
2025-03-17	254712060
2025-03-24	3931200
2025-03-31	8189576687
2025-04-07	55767273919
2025-04-14	56700129299
2025-04-21	3057600
2025-04-28	2184000
2025-05-12	1970200284
2025-05-19	19781280
2025-05-26	151465214
2025-06-09	318812578
2025-06-16	14105260
2025-06-23	145665929383
2025-06-30	1765495855186
2025-07-07	196861264914
2025-07-14	319366972604
2025-07-21	403174785176
2025-07-28	2028036231527
2025-08-04	1871472171601
2025-08-11	1237978044888
2025-08-18	745003888702
2025-08-25	577664003864
2025-09-01	613267885316
2025-09-08	836001023746
2025-09-15	81753984
2025-09-22	49851588
2025-09-29	138614928
2025-10-06	184782626
2025-10-13	873600
2025-10-20	436800
2025-10-27	436800
2025-11-03	10219248
2025-11-10	436800
2025-11-17	11267376
2025-12-08	288436933965
2025-12-15	848289442690
2025-12-22	6635190326727
2025-12-29	2343312175303
2026-01-05	581774703140
2026-01-12	1110113326673
2026-01-19	979113581242
2026-01-26	1886286437920
2026-02-02	1243992254394
2026-02-16	207052947
2026-02-23	259567186379
2026-03-02	542382157411
2026-03-09	1368254188
2026-03-16	18498351860
2026-03-23	17986542344
2026-03-30	37140466634
2026-04-06	19336412537
2026-04-13	1596429960
2026-04-20	92385497180
2026-04-27	2875312636
2026-05-04	174836591597
2026-05-11	239407967831
