week_start	Miscellaneous
2025-05-05	389113654
2025-05-12	181282353
2025-06-23	144122857
2025-07-21	290926
2025-07-28	46757017
2025-08-04	69518192
2025-08-11	2472873
2025-08-18	26122411
2025-08-25	18020754
2025-09-01	45977814
2025-09-08	35849292
2025-09-29	144446546
2025-11-10	131902660
2025-12-08	290926
2025-12-15	451158956
2025-12-22	1893426
2025-12-29	9221327
2026-01-05	17694209
2026-01-12	89029227
2026-01-19	211979217
2026-01-26	83482218
2026-02-02	15500825
2026-03-09	107165015
2026-03-16	43226909
2026-03-23	3401
2026-03-30	356901905
2026-04-06	144131430
2026-04-13	144126677
2026-04-20	57136929
2026-04-27	2105
2026-05-04	138906558
2026-05-11	144122857
