week_start	sub-677038/sub-677038_ses-1280089433-acq-1280384858_ophys.nwb
2025-03-03	7381640736
2025-03-17	18342240
2025-06-23	288592416
2025-07-14	96197472
2025-08-11	706988912
2025-08-25	706988912
2025-09-29	23306480
2025-10-06	2397613496
2025-12-15	1450924336
2026-02-02	706988912
2026-02-16	45889404
2026-02-23	25716728
2026-03-02	25271720
2026-03-23	9064932
2026-04-06	15535772
2026-04-27	6682516
2026-05-04	29202200
2026-05-11	1762423244
2026-05-25	19044300
2026-06-01	22649012
2026-06-08	8371272
2026-06-15	28793012
