week_start	sub-Achilles/sub-Achilles_ses-Achilles-10252013_behavior+ecephys.nwb	sub-Achilles/sub-Achilles_ses-Achilles-11012013_behavior+ecephys.nwb	sub-Buddy/sub-Buddy_ses-Buddy-06272013_behavior+ecephys.nwb	sub-Cicero/sub-Cicero_ses-Cicero-09012014_behavior+ecephys.nwb	sub-Cicero/sub-Cicero_ses-Cicero-09102014_behavior+ecephys.nwb	sub-Cicero/sub-Cicero_ses-Cicero-09172014_behavior+ecephys.nwb	sub-Gatsby/sub-Gatsby_ses-Gatsby-08022013_behavior+ecephys.nwb	sub-Gatsby/sub-Gatsby_ses-Gatsby-08282013_behavior+ecephys.nwb
2021-04-19	5701314368	5989466112	3246391296	4689231872	4571791360	4599122687	3657433088	4454350848
2021-05-03	0	9189442768	5237757153	8681533792	9122396663	0	0	0
2021-08-16	0	0	0	0	0	0	0	8439009562
2021-10-04	161144	0	0	0	0	0	0	0
2021-11-15	0	2950485129	0	8681533792	9122396663	11557790479	7943570110	8439009562
2021-11-22	0	0	5237757153	0	0	0	0	0
2022-02-14	0	0	400648	8681533792	0	0	7943570110	0
2022-04-11	68289152	62619312	891744	148047424	107531656	61857432	286480	46606064
2022-04-25	0	0	250456	0	0	0	0	0
2022-05-16	0	0	258520	0	0	0	0	0
2022-07-11	4676648960	6301010928	2589040061	3641743448	4215060983	4299161600	2721661630	4664135962
2022-07-18	0	0	576001092	0	0	0	0	0
2022-08-01	0	0	0	0	0	3919645439	0	0
2022-08-08	7516192768	3283862736	3758096384	1610612736	5901171191	0	2147483648	5754655002
2022-08-22	8737990464	9189442768	5237757153	0	0	16777881188	7943570110	0
2022-10-03	0	0	4992145	0	0	0	0	0
2022-10-17	1510186358	0	0	0	0	0	0	0
2022-12-12	123301994	165907102	111723255	63508596	100307903	151440013	125125652	107639966
2023-01-02	135710683	188670976	170153544	88660483	14101881	131099792	102463257	87664968
2023-02-06	626916643	113413262	771168503	106477810	189764630	99211421	167796270	156713661
2023-02-27	87238464	0	0	0	0	0	0	0
2023-03-27	0	0	0	109424992	0	0	0	0
2023-04-03	217801958	133819723	116530549	282036737	129206018	178845407	267603974	205357301
2023-04-10	0	0	277559567	0	133121604	8473185995	127546145	0
2023-04-17	154721679	170185319	41708367	121840552	299196052	153363562	135742513	292024105
2023-04-24	211328185	295311413	65035782	229678355	391968234	61318460	0	92874073
2023-05-01	84082250	0	481592292	432379330	102563217	434537512	194174498	596793795
2023-05-08	234654717	185946355	513146029	137104272	193180086	188599977	326170728	178646315
2023-05-15	210069255	146427945	519784305	140754347	152797123	434202933	235652053	368574455
2023-05-22	252274000	0	410375672	0	266112136	0	668131343	195006393
2023-05-29	290365998	276564052	165330675	344648826	323945134	90618635	175759895	269729498
2023-06-05	267071241	0	189338318	148984366	433973777	169258099	445153931	0
2023-06-12	142247013	140817897	5553775690	165936202	135513412	220984726	66362124	96056841
2023-06-19	0	0	494986433	0	0	0	0	0
2023-06-26	327566193	157345292	1038436832	226363024	98381402	211891037	291962321	203499274
2023-07-03	168395422	69018560	347722356	190028155	44529306	429165725	256358559	330115165
2023-07-10	8765597888	136577112	5620593109	8852884812	285165280	194113872	26545600	184955640
2023-07-17	264886802	373754599	1240960	492118959	0	148815228	282271356	677337296
2023-07-24	353708974	92508602	339015584	137966121	287878645	306126814	38490182	207344524
2023-07-31	8846493728	36333821	5289368667	8681533792	9147747711	151902561	15897127533	24221922
2023-08-07	130537160	138633568	185132288	273817864	192920148	121247028	6370944	333744556
2023-08-14	246011348	205993856	372723582	322595404	363940176	144872612	100208812	241629668
2023-08-21	0	219531284	385374620	229021336	145204432	8521469143	275941512	104191480
2023-08-28	202343836	383716648	419907452	325115580	39353024	701730452	0	214354892
2023-09-04	199888368	297640884	1104136	459171688	204399464	534028624	74327680	0
2023-09-11	93175056	100475096	227149652	89856856	66762184	390883960	392738840	0
2023-09-18	0	463881876	273525432	234132192	78242328	116667084	274878860	323390944
2023-09-25	0	63510348	131186544	0	332682732	198229268	80632260	261007956
2023-10-02	155291760	206790224	71117244	373495764	94501508	295518064	88926932	337392920
2023-10-09	177921056	115937908	245080596	78707704	514319344	426520600	107974228	154362664
2023-10-16	1548303864	11184111908	7514521877	10617721388	9188627935	218603016	184690184	146465348
2023-10-23	8737990464	9189442768	5238160569	8681533792	9122396663	8357219071	155822672	85609560
2023-10-30	254703376	292596392	214303460	156483828	111955240	162525436	111159700	98484176
2023-11-06	0	349205712	145200	41875684	208648416	0	222185844	7701673798
2023-11-13	0	133323620	272690744	0	320933820	0	0	61851248
2023-11-20	0	9189442768	10764047498	0	9122396663	0	15887140220	8439009562
2023-11-27	0	0	642864	0	0	0	0	0
2023-12-04	87238464	61588688	210493994	109424992	0	0	0	0
2023-12-11	0	0	189424	0	0	0	0	0
2024-01-08	113946988	90254212	72129012	68222192	168896380	66296808	77048604	77048604
2024-01-22	9548292	0	14400988	5773668	2897075	6777806	13534686	6632542
2024-02-26	0	0	19045640	61386700	85956240	71621616	0	0
2024-03-04	0	0	166947426	190729308	175598316	183031084	116004272	26346508
2024-03-11	17679779880	265589440	4014072268	215874252	76517692	54619922	72934036	273021496
2024-03-18	144672692	0	0	0	275191591	273087860	0	0
2024-03-25	174003144	208234424	100276706	709235040	6370944	13839486	6370944	171400244
2024-04-01	12713064	10645396	6370944	0	2140663	284893214	154807226	7300040
2024-04-08	0	140486028	461007096	0	0	382219489	1468194302	300194000
2024-04-15	8748013620	163436808	137000085	351732424	656429199	245340551	0	351717486
2024-04-22	139219488	297836680	242553842	0	733298607	823587216	178532768	0
2024-04-29	662200148	846703024	0	244550820	0	398111002	599533580	306100910
2024-05-06	0	260189652	1229372464	0	532604297	159385766	433890384	259425512
2024-05-13	266353656	1127110768	0	152906876	0	8357219071	0	0
2024-05-20	0	149575508	122236130	193870716	218725893	406396891	192542730	148693026
2024-05-27	410482384	464633752	449880452	1023260424	268784021	0	452183092	0
2024-06-03	190293916	154412520	0	128834284	153117053	241756398	0	342787294
2024-06-10	0	252488840	129542528	0	0	526015625	0	0
2024-06-17	0	0	0	0	0	0	7943570110	8439009562
2024-07-01	8791230888	0	0	0	0	0	0	0
2024-07-08	9960148034	244387508	3769270162	8689032924	9122396663	1424800460	19378288	127101920
2024-07-15	18714648	0	25948324	0	0	0	0	0
2024-07-22	0	13538256	10020964	0	0	10419148	0	11746428
2024-07-29	428269688	0	0	0	0	0	0	0
2024-08-05	105555176	98288848	5415559538	8790958784	88914423	99683071	79250110	92344602
2024-08-26	0	9490052	114932233	10419148	20108292	8369761867	132728	21170116
2024-09-02	0	0	0	0	0	15969018402	0	0
2024-09-09	0	64179824	0	0	6265939651	0	4126614880	62075726
