week_start	sub-sub-01/sub-sub-01.nwb
2026-01-26	3615320
2026-02-09	190280
2026-02-16	1361000
2026-02-23	1170720
2026-03-02	380560
2026-03-23	585360
2026-04-06	761120
2026-05-11	570840
2026-05-25	965920
2026-06-01	585360
2026-06-08	1068320
2026-06-22	380560
2026-06-29	380560
2026-07-06	1902804
2026-08-03	585360
