week_start	sub-173732Voltron2JF525cell2-488/sub-173732Voltron2JF525cell2-488_ses-20230302T173732_image.nwb	sub-180242Voltron2JF525cell3/sub-180242Voltron2JF525cell3_ses-20230302T180242_image.nwb	sub-182405Voltron2JF525cell4t1/sub-182405Voltron2JF525cell4t1_ses-20230302T182405_image.nwb	sub-184058Voltron2JF525cell5ref/sub-184058Voltron2JF525cell5ref_ses-20230302T184058_image.nwb	sub-190334Voltron2JF525cell6t1/sub-190334Voltron2JF525cell6t1_ses-20230302T190334_image.nwb	sub-193922J2Pcellt1/sub-193922J2Pcellt1_ses-20230302T193922_image.nwb	sub-195654J2Pcell2t1hp/sub-195654J2Pcell2t1hp_ses-20230302T195654_image.nwb	sub-195901J2Pcell2t2hp/sub-195901J2Pcell2t2hp_ses-20230302T195901_image.nwb	sub-201125J2Pcell3t1hp/sub-201125J2Pcell3t1hp_ses-20230302T201125_image.nwb	sub-203147J2Pcell4t1hp/sub-203147J2Pcell4t1hp_ses-20230302T203147_image.nwb	sub-204028J2Pcell5t1hp/sub-204028J2Pcell5t1hp_ses-20230302T204028_image.nwb
2023-05-08	0	177661200	177661200	0	0	0	0	0	0	0	0
2023-05-22	0	0	0	0	1138656	0	0	0	0	0	0
2023-05-29	0	0	0	0	1328432	0	0	0	0	0	0
2023-06-05	0	0	0	0	1328416	0	0	0	0	0	0
2023-06-12	0	0	0	0	1328432	0	0	0	0	0	0
2023-06-19	482814080	0	0	104260880	156227952	312782640	0	0	0	104260880	104260880
2023-06-26	0	0	0	0	341608480	0	0	0	0	0	0
2023-07-03	104260880	0	0	0	21703232	0	0	0	0	0	0
2023-07-10	0	0	0	0	1328432	0	0	0	0	0	0
2023-07-17	0	0	0	0	1328432	0	0	0	0	0	0
2023-07-24	0	0	0	0	1328432	0	0	0	0	0	0
2023-07-31	0	177661200	177661200	0	1328432	0	0	0	0	0	0
2023-08-07	0	0	0	0	948880	0	0	0	0	0	0
2023-08-14	0	0	0	0	1328432	0	0	0	0	0	0
2023-08-21	0	0	0	0	1328432	0	0	0	0	0	0
2023-08-28	0	532983600	532983600	0	1707984	0	0	0	0	0	0
2023-09-04	0	0	0	0	1328432	0	0	0	0	0	0
2023-09-11	0	0	0	0	1138656	0	0	0	0	0	0
2023-09-18	0	0	0	0	1328432	0	0	0	0	0	0
2023-09-25	0	177661200	177661200	0	1328432	0	0	0	0	0	0
2023-10-02	0	0	0	0	379552	0	0	0	0	0	0
2023-10-09	0	0	0	0	178040752	0	0	0	0	0	0
2023-10-16	127279334	0	0	0	189776	0	0	0	0	0	0
2023-10-23	0	355322400	355322400	0	379552	0	0	0	0	0	0
2023-10-30	0	177661200	177661200	0	189776	0	0	0	0	0	0
2023-11-06	0	0	0	0	189776	0	0	0	177661200	0	0
2023-11-13	0	177661200	177661200	0	351944016	0	0	0	0	0	0
2023-11-20	0	0	0	0	372015312	0	0	0	0	0	0
2023-11-27	0	0	0	0	379552	0	0	0	0	0	0
2023-12-04	0	0	0	0	189776	0	0	0	0	0	0
2023-12-11	46589200	224250400	224250400	46589200	46589200	46589200	46589200	46589200	46589200	46589200	46589200
2024-01-01	0	355322400	355322400	0	0	0	0	0	0	0	0
2024-01-22	25108092	208337472	195170364	22487772	22094724	17640180	16389352	16067988	12851920	14358604	13507000
2024-03-04	0	0	0	0	160142400	0	0	0	0	0	0
2024-03-11	19071260	13175540	13044524	14813240	14682224	17957624	9376076	17368052	15664844	15533828	19988372
2024-03-18	36578168	37429772	33237260	38084852	33695816	32975228	37233248	33564800	38281376	33433784	34481912
2024-03-25	25763172	25239108	23077344	22946328	15347400	24584028	21963708	25959696	21112104	24715044	18753816
2024-04-01	8260184	9242804	8260184	8194676	8391200	8260184	8522216	8260184	8194676	8260184	8522216
2024-04-15	8260184	8718740	1971416	5901896	8718740	6229436	8194676	8194676	7539596	7736120	7539596
2024-04-29	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200
2024-05-06	355322400	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200
2024-05-13	11725932	0	0	0	0	0	0	0	0	0	0
2024-05-20	177661200	0	0	0	0	0	0	0	0	0	0
2024-06-10	380899424	16929968	16864460	23511484	35155644	13378084	0	366592560	0	0	0
2024-06-24	0	0	0	0	0	0	0	0	23975928	0	0
2024-07-08	6217400	6741464	9361784	7658576	4907240	8706704	6741464	2548952	5824352	9623816	4841732
2024-07-22	10022724	10022724	12577536	13625664	13429140	11463900	10022724	8843580	9433152	10022724	12577536
2024-08-26	30854268	14411760	16377000	20176464	68403364	26268708	26465232	17097588	18342240	31574856	18735288
2024-09-02	0	0	0	0	0	0	0	177661200	0	0	7860960
2024-09-09	0	0	0	0	0	0	0	80320484	540827280	0	0
2024-09-16	7200020	6741464	17091728	6872480	6806972	6872480	2548952	8772212	8379164	9689324	9296276
2024-09-23	0	7860960	0	0	0	0	0	0	0	0	0
2024-10-07	0	0	0	13756680	0	0	0	0	0	0	0
2024-10-21	12577536	8319516	9957216	9564168	9891708	13822188	7926468	12446520	10219248	9957216	12118980
2024-11-04	0	0	9564168	0	0	0	0	0	0	0	0
2024-11-11	18669780	18342240	8647056	15394380	19062828	16639032	16377000	12643044	13887696	21748656	12577536
2024-11-18	6223260	9891708	6223260	6354276	8778072	6288768	19914432	10219248	10088232	14280744	8319516
2025-03-03	177661200	177661200	177661200	177661200	177661200	774529680	177661200	177661200	177661200	177661200	177661200
2025-05-12	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200
2025-07-21	211790868	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	177661200	177661200	0	177661200	0	0	177661200	0	0
2025-08-04	0	0	0	0	177661200	0	0	177661200	0	0	0
2025-08-11	0	177661200	0	0	177661200	0	177661200	0	0	177661200	177661200
2025-09-01	0	0	0	0	18931812	0	0	0	0	0	0
2025-09-08	177661200	0	21421116	0	0	21945180	0	0	14346252	0	0
2025-09-29	0	0	0	0	18289084	0	0	0	0	0	0
2025-10-06	0	0	0	0	17282392	0	0	0	0	0	0
2025-11-24	42056136	0	37077528	0	35898384	26399724	32426460	39632340	36553464	12839568	18866304
2025-12-15	365607156	367375872	369079080	370716780	371306352	368424000	369865176	371371860	367441380	371699400	371633892
2025-12-29	0	0	0	0	0	0	0	177661200	0	0	177661200
2026-01-05	0	0	0	0	0	177661200	0	0	177661200	0	0
2026-01-12	0	532983600	0	0	0	0	0	0	0	0	0
2026-01-19	0	0	0	177661200	0	0	0	0	0	0	0
2026-01-26	0	177661200	177661200	0	177661200	0	177661200	0	0	177661200	0
2026-02-02	193841676	0	0	0	0	0	0	0	0	0	0
2026-02-09	355322400	0	0	0	0	0	0	0	0	0	0
2026-02-16	15028836	9264132	12146484	12867072	15159852	15290868	11753436	15356376	14177232	16994076	0
2026-02-23	0	0	6032912	6229436	6032912	0	6163928	0	22409912	0	5967404
2026-03-02	5967404	5967404	0	0	0	6294944	6229436	3281576	0	6491468	0
2026-03-16	0	0	0	8778072	0	13101600	0	25089564	12708552	0	17752668
2026-03-23	996372	52537416	4730328	0	5123376	0	0	0	6812832	0	0
2026-03-30	0	0	58957200	0	9629676	0	0	35439828	1506684	0	0
2026-04-06	0	0	0	0	0	0	0	0	8385024	0	0
2026-04-13	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200	177661200
2026-04-20	0	0	0	0	0	19390368	0	22993308	36225924	0	31312824
2026-04-27	0	0	0	0	16311492	0	0	0	28758012	0	0
2026-05-04	0	0	0	0	0	0	0	0	87453180	79162336	0
2026-05-11	0	0	0	0	355322400	10350264	0	0	0	0	0
2026-05-18	6163928	0	6098420	2757512	0	23320848	6163928	14417936	16049460	93610932	37470576
2026-05-25	2385792	5339828	2320284	2385792	5208812	8615228	2254776	2254776	2254776	5143304	5798384
2026-06-01	0	0	2757512	12577536	5515024	2757512	0	2692004	2560988	0	0
