region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	216536164	973	58	71
AWS/us-east-1	22042725219	2638	0	19
VPN	650471959	922	17	16
USA/IL	8840492	25	2	2
ITA/25	780214173	124	5	3
USA/MA	9639345444	1341	2	10
GBR/ENG	73719610	30	2	3
AWS/ap-southeast-1	2161764	2	2	0
USA/MD	797880693	16	4	2
HUN/BU	2740874	9	2	1
BEL/VLG	20369764	19	1	1
USA/CA	793663055	17	3	2
GBR/SCT	399037724	12	2	1
ITA	17557738	21	2	1
GCP/us-central1	345239504	1	1	0
FRA/IDF	9086207	15	3	3
MEX/CMX	9314788	48	4	1
