region	bytes_sent
GitHub	78821053075
US/Wisconsin	68973723557
US/California	62045730586
CN/Shanghai	49949747374
DE/Baden-Wurttemberg	46669926160
VPN	36049269093
CN/Fujian	35950496580
US/Oklahoma	35767002762
GCP/us-central1	34136824176
AWS/us-east-1	33297688941
US/Washington	31042474859
US/Illinois	28550047781
IT/Lombardy	28278222595
CN/Guangdong	26001909939
CH/Vaud	24827410895
US/Massachusetts	24139768327
CA/Ontario	23902889191
CN/Beijing	23844668508
GCP/asia-southeast1	23844668508
AWS/us-east-2	15972179010
NL/North Holland	14298572665
IT/Piedmont	13453858297
US/New York	13253584809
HK/Hong Kong	12823507478
IN/Maharashtra	12178067056
US/Virginia	12137489995
US/Texas	12092402455
GCP/us-west1	12028327733
PT/Lisbon	11987281462
US/Pennsylvania	11968996172
CN/Yunnan	11962584352
SE/Stockholm	11950347774
JP/Aichi	11949540874
CA/Quebec	11946252814
FR/Île-de-France	11941020701
DE/North Rhine-Westphalia	11935009778
US/New Hampshire	11930783404
US/District of Columbia	11922334254
US/New Mexico	11922334254
DE/Saarland	11922334254
AU/South Australia	11912979602
US/North Carolina	11140566979
US/Maryland	10105049007
TW/Taiwan	9033603077
AWS/ap-southeast-1	6045026471
HK/Kwai Tsing	5763305274
GCP/us-east1	4771523321
SG/Singapore	4251306860
TR/Bursa Province	2522376474
KW/Al Aḩmadī	1403802364
CA/British Columbia	213447669
GB/England	209330792
CH/Zurich	202085647
US/New Jersey	186012949
NO/Vestland	153605286
DE/Thuringia	67184008
US/Georgia	56027040
US/Vermont	50392727
US/Indiana	49035902
IN/Punjab	38811084
US/Rhode Island	37351360
FI/Uusimaa	37296796
IN/Uttar Pradesh	36138914
AWS/ap-northeast-2	26628560
VN/Ho Chi Minh	23661989
US/Arizona	18675680
IL/Central District	18675680
BE/Flanders	18416700
ES/Catalonia	18373619
PL/Silesia	17559326
ZA/Western Cape	9337840
NL/Gelderland	9337840
JP/Chiba	9337840
FR/Hauts-de-France	9337840
US/Michigan	8779663
RU/St.-Petersburg	8779663
DE/Hesse	8779663
AWS/eu-west-3	8779663
AU/Victoria	8779663
AL/Tirana	8779663
GCP/us-east4	6636400
AWS/us-west-2	6636400
VN/Kiên Giang Province	5787151
US/Florida	32769
