region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	218580981	44	9	1
VPN	893965400	109	55	21
GitHub	56086912	142	40	34
AWS/us-east-1	548084619	62	21	2
CHN	698729000	51	15	2
USA/MD	64355981	85	25	13
AWS/ap-southeast-1	30868680	12	12	0
USA/CA	14020313	13	4	3
USA/MA	2236462114	281	0	16
NOR/03	7617620	1	0	1
EST/37	180462805	1	1	0
MEX/CMX	29868543	94	33	18
IRQ/BG	12381012	2	2	0
THA/10	7467912	1	1	0
ZAF	30199188	1	1	0
UKR/30	10612296	1	1	0
BGD/C	3013368	1	1	0
IDN/BA	4061496	1	1	0
SYR	5306148	1	1	0
AWS/us-east-2	180462805	1	1	0
FRA/IDF	20410389	86	21	9
CHE/VD	668160	4	2	1
BRA/RN	231680	1	1	0
GCP/us-central1	1071000	4	4	0
CHN/SH	231680	1	0	1
SGP	176017578	25	3	19
USA/IL	1115904	6	2	2
CHN/GS	557952	2	2	0
KEN/30	2685828	1	1	0
BGD	276584	1	1	0
ZAF/MP	276584	1	1	0
ARG/T	276584	1	1	0
