week_start	sub-Mouse001/sub-Mouse001_obj-43j6c1_ophys.nwb	sub-Mouse001/sub-Mouse001_ophys.nwb	sub-Mouse001/sub-Mouse001_ses-behavior.nwb	sub-Mouse001/sub-Mouse001_ses-behavior2.nwb	sub-Mouse001/sub-Mouse001_ses-fluorescence.nwb	sub-Mouse001/sub-Mouse001_ses-fluorescence2.nwb
2025-04-28	203475279	179294455	1382920	1158400	1406840	1406840
2025-05-05	7617620	0	0	0	0	0
2025-07-28	0	0	0	231680	0	0
2025-08-04	180462805	0	0	0	0	0
2025-08-11	0	0	276584	0	281368	0
2025-08-25	0	0	276584	0	281368	0
2025-09-01	0	0	0	0	0	281368
2025-09-08	0	153288265	0	0	0	0
2025-10-06	15610070	0	0	0	0	0
2025-12-15	392238434	333369302	829752	695040	844104	844104
2025-12-22	180462805	0	0	0	0	0
2025-12-29	0	0	0	231680	0	0
2026-01-12	541388415	0	829752	695040	844104	844104
2026-01-19	0	0	0	0	0	281368
2026-01-26	0	153288265	276584	0	281368	0
2026-02-16	45650730	45051270	1659504	1002240	1688208	1688208
2026-02-23	22156585	27970234	1106336	1131520	1125472	1688208
2026-03-02	4468209	0	553168	0	562736	0
2026-03-16	21486624	0	0	463360	0	0
2026-03-23	8794624	4266296	0	0	0	0
2026-04-20	23582880	0	0	463360	0	0
2026-05-11	180462805	0	0	0	562736	0
2026-05-18	194284993	4699977	0	231680	0	0
2026-05-25	5432991	5763863	2212672	1002240	1688208	2250944
2026-06-01	20910717	29609616	0	1131520	0	0
2026-06-08	96554619	2382322	1936088	565760	0	0
