region	bytes_sent
US/California	3252542487586
NL/North Holland	1281027857749
TW/Taiwan	1208617236980
AWS/us-east-1	1068611470808
US/New Mexico	330923473522
CN/Shanghai	192206443891
VPN	189681441075
US/Indiana	167416982304
KR/Seoul	109151013004
HK/Hong Kong	95460061333
GitHub	69402518051
SG/Singapore	44157184683
MX/Querétaro	41523411664
US/Delaware	30658127637
AWS/us-east-2	23804854447
AWS/ap-northeast-1	11612160581
US/Maryland	10204732712
PL/Mazovia	9145033275
CA/Quebec	7584853820
JP/Tokyo	2014384163
US/New York	1740652532
US/Rhode Island	442369136
US/Connecticut	425249657
US/Washington	199853694
GB/England	60192148
AWS/ap-southeast-1	21900120
