date	bytes_sent	number_of_requests	number_of_downloads
2026-06-25	463015129	340	<50
2026-06-26	8909088	<50	<50
2026-06-27	61507551	<50	<50
2026-06-29	10904558	<50	<50
2026-07-04	173850225	<50	<50
2026-07-06	1074141112	240	<50
2026-07-07	80001450	<50	<50
2026-07-08	10887426	40	<50
2026-07-09	9629676	<50	<50
2026-07-10	10822348	40	<50
2026-07-11	30653956	180	<50
2026-07-13	10413356	60	<50
2026-07-15	4698664	<50	<50
2026-07-16	101683511	440	<50
2026-07-17	18079078	100	<50
2026-07-20	7480692	<50	<50
