region	bytes_sent
US/Maryland	66819110095
GB/England	60441487784
US/New York	31927425783
US/California	31367400855
US/Indiana	31179297815
AWS/us-east-1	29927923967
US/Massachusetts	29690527463
US/New Mexico	29683186079
JP/Osaka	29574287383
GitHub	25591049773
IR/Fars	24463298977
AWS/us-east-2	13816692486
CN/Shanghai	7188043223
VPN	5640719712
KR/Seoul	5279569060
CA/Quebec	3540723299
US/Georgia	3356107433
CA/Ontario	3185289167
DE/North Rhine-Westphalia	2754807148
GCP/us-central1	1538103544
SE/Stockholm	1465372979
IN/Maharashtra	1356801308
HK/Hong Kong	1178184900
BR/São Paulo	864460092
GB/Scotland	790252668
US/Pennsylvania	570785714
US/Rhode Island	516118920
CA/British Columbia	379631204
PT/Lisbon	201234782
AWS/us-west-2	49467516
US/New Jersey	47755332
US/Delaware	47689824
IT/Apulia	38711787
AWS/eu-central-1	20045448
FR/Nouvelle-Aquitaine	18342240
US/Texas	17752668
US/Florida	16835556
DE/Bavaria	15918444
IN/Telangana	13822188
